# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
29810	Tibetan_Batang	ABOVE	ja¹³tɕøʔ⁵³	over / above	OLD	j a ¹³ + tɕ ø ʔ ⁵³	3	198	6 7 8 9 2 7 1 8	AXT_AXLT	JA2_CUH3	48	48.J.C 48.A.V 48.2.T 48._._ 48.C.C 48.U.V 48.H.c 48.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0
10019	Old_Tibetan	ABOVE	steŋ		OLD	s t e ŋ	1	20	3 1 7 4	ACYN	STEN	39	39.S.C 39.T.C 39.E.V 39.N.c	2.0 1.5 1.3 0.8	0
30363	Jingpho	ABOVE	n³¹tsa̱³³	over / above	OLD	n ³¹ + ts a̠ ³³	3	1765	4 8 9 2 7 8	AT_AXT	N3_CA4	22	22.N.C 22.3.T 22._._ 22.C.C 22.A.V 22.4.T	1.6 1.0 0.0 1.6 3.0 1.0	0
31603	Zhaba_Daofu_County	ABOVE	ʌ¹³tʂhɿ³³	over / above	OLD	ʌ ¹³ + ʈʂʰ ɿ ³³	3	2262	7 8 9 2 7 8	XT_AXT	E2_CI4	58	58.E.V 58.2.T 58._._ 58.C.C 58.I.V 58.4.T	3.0 1.0 0.0 1.6 3.0 1.0	0
31766	rGyalrong_Maerkang	ABOVE	wu prɐi	over / above	OLD	w u _ p r ɐ i	10	2290	6 7 9 1 5 7 7	AX_ACXZ	WY_PREI	42	42.W.C 42.Y.V 42._._ 42.P.C 42.R.C 42.E.V 42.I.V	2.0 1.5 0.0 2.0 1.5 1.5 0.8	0
32401	Tibetan_Xiahe	ABOVE	jan tɕhar	over / above	OLD	j a n _ tɕʰ a r	5	198	6 7 4 9 2 7 5	AXN_AXN	JAN_CAR	50	50.J.C 50.A.V 50.N.c 50._._ 50.C.C 50.A.V 50.R.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	0
#
198	Gyalsumdo	ALL	t̪aɡɹaŋ	All:	NEW	t̪ a ɡ ɹ a ŋ	12	0	1 7 1 5 7 4	AXBCYN	TAKRAN	17	17.T.C 17.A.V 17.K.C 17.R.C 17.A.V 17.N.c	2.0 1.5 1.75 1.5 1.3 0.8	1
456	Jirel	ALL	ŋɡaŋe	All:	NEW	ŋ ɡ a ŋ e	12	0	4 1 7 4 7	ACYBZ	NKANE	23	23.N.C 23.K.C 23.A.V 23.N.C 23.E.V	2.0 1.5 1.3 1.75 0.8	1
715	Kagate	ALL	t̪ʰamdzer	All:	NEW	t̪ʰ a m d z e r	13	0	1 7 4 1 3 7 5	AXMBCYN	TAMTSER	24	24.T.C 24.A.V 24.M.c 24.T.C 24.S.C 24.E.V 24.R.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	1
33668	Lisu	ALL	hɑ̃³³ŋɑ̱³³ mɑ̱³³	all / everything	OLD	h ɑ̃ ∼ ³³ + ŋ ɑ̠ ³³ _ m ɑ̠ ³³	11	3683	3 7 4 8 9 4 7 8 9 4 7 8	AXLT_AXT_AXT	HA94_NA4_MA4	29	29.H.C 29.A.V 29.9.c 29.4.T 29._._ 29.N.C 29.A.V 29.4.T 29._._ 29.M.C 29.A.V 29.4.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0
975	Lowa	ALL	kiɾi	All:	NEW	k i ɾ i	12	0	1 7 5 7	AXBZ	KIRI	31	31.K.C 31.I.V 31.R.C 31.I.V	2.0 1.5 1.75 0.8	1
