ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG
42978	Bunan	I	gi	I	OLD	g i	799	799
43178	Byangsi	I	je	1sg, I, me	OLD	j e	799	799
43630	Kulung	I	kɔŋ	I (pron.)	OLD	k ɔ ŋ	29760	29760
43951	Bantawa	I	ɨŋka		OLD	ɨ ŋ k a	29722	29722
44933	Rangoon	I	ŋɑ	I	OLD	ŋ ɑ	327	327
44997	Atsi	I	ŋo	I	OLD	ŋ o	327	327
45074	Maru	I	ŋɔ	I	OLD	ŋ ɔ	327	327
45140	Lashi	I	ŋo	I	OLD	ŋ o	327	327
45419	Achang_Longchuan	I	ŋɔ	I	OLD	ŋ ɔ	327	327
45711	Bahing	I	gu	I (pron)	OLD	g u	799	799
45900	Lushai	I	ka	I	OLD	k a	29721	29721
46176	Beijing	I	wɔ	I (first person singular)	OLD	w ɔ	327	327
46177	Guangzhou	I	ŋɔ	I (first person singular)	OLD	ŋ ɔ	327	327
46178	Chaozhou	I	ua		OLD	u a	327	327
46180	Jieyang	I	ua		OLD	u a	327	327
46181	Xingning	I	ŋai		OLD	ŋ a i	327	327
47553	Ukhrul	I	ʔi	1sg, I, me	OLD	ʔ i	2029	2029
47758	Hayu	I	aŋ	my, me (pron po)	OLD	a ŋ	10388	10388
47759	Hayu	I	gu	I, me, we, us (pron (1)	OLD	g u	799	799
15054	Old_Tibetan	I	ŋa	I	OLD	ŋ a	327	327
15067	Khaling	I	ʔuŋ	I	OLD	ʔ u ŋ	29761	29761
15068	Limbu	I	iŋga	I	OLD	i ŋ g a	29722	29722
15083	Japhug	I	aʑo	I	OLD	a ʑ o	327	327
15087	Tangut	I	ŋa	I	OLD	ŋ a	327	327
48041	Tangut	I	mjo		OLD	m j o	105	105
48357	Mikir	I	ne		OLD	n e	10389	10389
48596	Rabha	I	aŋ	I	OLD	a ŋ	10388	10388
33725	Bokar	I	ŋ	I	OLD	ŋ	327	327
45186	Xiandao	I	ŋɔ	I	OLD	ŋ ɔ	327	327
45239	Bola	I	ŋa	I	OLD	ŋ a	327	327
26954	Jingpho	I	ŋai	I	OLD	ŋ a i	327	327
27100	Yidu	I	ŋɑ	I	OLD	ŋ ɑ	327	327
27115	Motuo_Menba	I	aŋ	I	OLD	a ŋ	10390	10390
27972	rGyalrong_Maerkang	I	ŋɑ	I	OLD	ŋ ɑ	327	327
29223	Daofu	I	ŋa	I	OLD	ŋ a	327	327
29683	Dulong	I	ŋɑ	I	OLD	ŋ ɑ	327	327
29921	Tibetan_Batang	I	ŋa	I	OLD	ŋ a	327	327
46179	Longgang	I	ŋai		OLD	ŋ a i	327	327
31719	Zhaba_Daofu_County	I	ŋa	I	OLD	ŋ a	327	327
32525	Tibetan_Xiahe	I	ŋa	I	OLD	ŋ a	327	327
33977	Darang_Taraon	I	xɑŋ	I	OLD	x ɑ ŋ	10387	10387
