"","unique_topology","count","percentage"
"1",1,5227,29.0372757069052
"6",6,2166,12.0326648519527
"4",4,2014,11.1882673184823
"2",2,1090,6.05521915449142
"7",7,1003,5.57191267151825
"11",11,976,5.42192100438865
"3",3,604,3.35536914615855
"5",5,508,2.82206544080884
"10",10,445,2.4720848841731
"19",19,402,2.23320926615188
"8",8,375,2.08321759902228
"32",32,340,1.88878395644686
"29",29,232,1.28881728792845
"36",36,201,1.11660463307594
"13",13,180,0.999944447530693
"26",26,135,0.74995833564802
"28",28,111,0.616632409310594
"31",31,102,0.566635186934059
"38",38,102,0.566635186934059
"27",27,93,0.516637964557525
"35",35,93,0.516637964557525
"15",15,81,0.449975001388812
"9",9,63,0.349980556635742
"47",47,58,0.322204321982112
"37",37,53,0.294428087328482
"24",24,51,0.28331759346703
"25",25,48,0.266651852674851
"43",43,48,0.266651852674851
"44",44,38,0.211099383367591
"54",54,37,0.205544136436865
"58",58,37,0.205544136436865
"64",64,33,0.18332314871396
"52",52,30,0.166657407921782
"65",65,30,0.166657407921782
"95",95,29,0.161102160991056
"12",12,28,0.15554691406033
"86",86,28,0.15554691406033
"49",49,27,0.149991667129604
"73",73,27,0.149991667129604
"20",20,25,0.138881173268152
"76",76,25,0.138881173268152
"22",22,24,0.133325926337426
"14",14,21,0.116660185545247
"62",62,20,0.111104938614521
"30",30,19,0.105549691683795
"53",53,18,0.0999944447530693
"107",107,17,0.0944391978223432
"56",56,16,0.0888839508916171
"60",60,14,0.077773457030165
"102",102,14,0.077773457030165
"46",46,13,0.0722182100994389
"57",57,13,0.0722182100994389
"66",66,13,0.0722182100994389
"77",77,13,0.0722182100994389
"114",114,13,0.0722182100994389
"139",139,13,0.0722182100994389
"17",17,12,0.0666629631687128
"50",50,12,0.0666629631687128
"78",78,12,0.0666629631687128
"79",79,12,0.0666629631687128
"83",83,12,0.0666629631687128
"94",94,12,0.0666629631687128
"146",146,12,0.0666629631687128
"23",23,11,0.0611077162379868
"34",34,11,0.0611077162379868
"48",48,11,0.0611077162379868
"68",68,11,0.0611077162379868
"70",70,11,0.0611077162379868
"72",72,11,0.0611077162379868
"41",41,10,0.0555524693072607
"120",120,10,0.0555524693072607
"81",81,9,0.0499972223765346
"87",87,9,0.0499972223765346
"51",51,8,0.0444419754458086
"67",67,8,0.0444419754458086
"89",89,8,0.0444419754458086
"110",110,8,0.0444419754458086
"112",112,8,0.0444419754458086
"124",124,8,0.0444419754458086
"33",33,7,0.0388867285150825
"99",99,7,0.0388867285150825
"116",116,7,0.0388867285150825
"157",157,7,0.0388867285150825
