SN.		Nepali	English	Namrung	Lhi	Lho	Sho	Sama
४२		चन्द्रमा	moon	da̤wa	ɖʰa̤kar	ɖʰa̤kar	ɖʰa̤kar	ɖʰa̤kar
४३		आकाश	sky	nam	nam	nam	nam	nam
४४		तारा	star	kʌrma	karma	karma	karma	karma
४५		वर्षा	rain	namgjap	namgjap	namgjap	namgjap	namgjap
४६		पानी	water	tsū	tsū	tsū	tsū	tsū
४७		नदी	river	tsāŋpo	tsāŋbo	tsaŋbo	luŋba	luŋba
४८		बादल	cloud	múkpa	múkpa	mukpa	mukpa	mukpa
४९		बिजुली चम्कनु	lightening	dúk	dúk	dúk	dúk	dúk
५०		इन्द्रेणी	rainbow	dzjadzuk	dzjadzuk	dzʰjasuk	dzjasuk	dzjasuk
५१		बतास	wind	l̥awa	l̥aba	l̥awa	l̥awa	l̥awa
५२		ढुङ्गा	stone	do	to	ɖò	ɖò	ɖò
५३		बाटो	path	lamgjak	lamgjak	lamgjak	lamgjap	lamgjá
५४		बालुवा	sand	bjã	bjã	bjã	bjã	ɖʰẽ
५५		आगो	fire	mɛ̀	mɛ̀	mɛ̀	mɛ̀	mɛ̀
५६		धुवाँ	smoke	ɖopa	ɖupa	ɖʰopa	ɖʰopa	ɖʰupa
५७		खरानी	ash	góktal	tʰala	góktal	góktal	gókdal
५८		माटो	mud	tʰala	tʰala	tʰala	tʰala	tʰala
५९		धुलो	dust	tʰala	tʰalauŋ	tʰala	tʰala	-
६०		सुन	gold	ser	ser	ser	ser	ser
६१		रूख	tree	doŋbo	doŋbo	doŋbo	doŋbo	doŋbu
६२		पात	leaf	lema	lema	lema	lema	lepti
६३		जरा	root	bʌda̤k	bʌda̤k	bʌda̤k	bʌda̤k	hjurma
६४		काँडो	thorn	tsʰerma	tsʰerma	tsʰerma	tsʰerma	tsʰerma
६५		फूल	flower	mendòk	mendòk	mɛndok	mɛndok	mendo
६६		फलफूल	fruit	siŋdok	ʃĩ̤	-	-	-
६७		आँप	mango	-	-	-	-	-
६८		केरा	banana	-	-	-	-	-
६९		गहुँ	wheat (husked)	nɛ̃	nɛ̃	nɛ̃	nɛ̃	nɛ̃
७०		जौ	barley	ɖo	nɛ	nɛkaru	-	nɛ
७१		चामल	rice (husked)	ɖe	ɖe	ɖẽ	ɖẽ	ɖɛ̃
७२		आलु	potato	hɛ̄	hɛ̄	hɛ	hɛ	hɛ̀
७३		भण्टा	eggplant	-	-	-	-	-
७४		बदाम	groundnut	-	-	-	-	-
७५		खुर्सानी	chili	kʰortsen	kʰortsen	kʰortsen	kʰortsen	-
७६		बेसार	turmeric	-	-	-	-	-
७७		लसुन	garlic	gókpa	gókpa	gókpa	gókpa	gókpa
७८		प्याज	onion	tsōŋ	tsōŋ	tsōŋ	tsōŋ	tsoŋ
७९		काउली	cauliflower	-	-	-	-	-
८०		गोलभेँडा	tomato	-	-	-	-	-
८१		बन्दा	cabbage	-	-	-	-	-
८२		तेल	oil	nùm	nùm	nùm	nùm	nùm
८३		नुन	salt	tsā	tsā	tsā	tsā	tsā
८४		मासु	meat	ʃjà	ʃjà	ʃjà	ʃjà	ʃjà
८५		बोसो	fat (of meat)	tsʰīlu	tsʰīlu	tsʰīlu	tsʰīlu	tsʰīlu
८६		माछा	fish	ɳa̤	ɳa̤	ɳa̤	ɳa̤	ɳa̤
८७		चल्ला	chicken	dzipʈuk	dzhedzum	dzʰjãu	dzʰjãu	dzʰjōŋ
८८		अण्डा	egg	gʷa̤	gʷa̤	gʷa̤	gʷa̤	gʷa̤
८९		गाई	cow	bʌlaŋ	bʌlaŋ	ʈolmo	ʈolmo	dzʰobu
९०		भैँसी	buffalo	mai	-	mai	mai	-
९१		दुध	milk	wá	ɦoma	wʰama	wʰa	homā
९२		सिङ	horns	ɦarkjók	ɦarkjók	sakjok	ɾakjók	arkjók
९३		पुच्छर	tail	nā	nā	wa	nā	ŋoma
९४		बाख्रो	goat	ra̤	ra̤	ra̤	ra̤	luk
९५		कुकुर	dog	kì	kì	kì	kì	kì
९६		सर्प	snake	ɖul	ɖul	ɖul	ɖul	ɖul
९७		बाँदर	monkey	ʈegen	ʈegen	ʈegen	ʈegen	ʈegen
९८		लामखुट्टे	mosquito	-	-	-	kisik	-
९९		कमिला	ant	ɖoŋbor	ɖoŋbor	kisik	ɖaŋbor	rʷamu
१००		माकुरो	spider	babla	babla	tsasik	babla	babla
१०१		नाम	name	miŋ	miŋ	miŋ	miŋ	miŋ
१०२		मान्छे	man	mì	mɛ̀	mɛ	mɛ	mi̤
१०३		आइमाई	woman	bʰõbèsa	bʰõ	bomsja	bʰõ	bʰõ
१०४		बच्चा	child	bèsa	bèsa	bisa	bèdza	bīdza
१०५		बाबा	father	aʷa	apa	aʷa	aʷa	ẽ
१०६		आमा	mother	ã	ã	ã	a	ã
१०७		दाजु	older brother	atsjo	atsjo	atsjo	atsjo	dzʰī
