SN	CONCEPT	CONCEPTID	GLOSS
1	BODY	1480	Body
2	HEAD	1256	Head
3	HAIR	1040	Hair
4	FACE	1560	Face
5	EYE	1248	Eye
6	EAR	1247	Ear
7	NOSE	1221	Nose
8	MOUTH	674	Mouth
9	TOOTH	1380	Teeth
10	TONGUE	1205	Tongue
11	BREAST	1402	Breast
12	BELLY	1251	Belly
13	ARM OR HAND	2121	Arm/Hand
14	ELBOW	981	Elbow
15	PALM TREE	1181	Palm
16	FINGER	1303	Finger
17	FINGERNAIL	1258	Fingernail
18	LEG	1297	Leg
19	SKIN	763	Skin
20	BONE	1394	Bone
21	HEART	1223	Heart
22	BLOOD	946	Blood
23	URINE	1142	Urine
24	FAECES (EXCREMENT)	675	Faeces
25	VILLAGE	930	Village
26	HOUSE	1252	House
27	ROOF	769	Roof
28	DOOR	1567	Door
29	FIREWOOD	10	Firewood
30	BROOM	245	Broom
31	MORTAR CRUSHER	224	Mortar
32	PESTLE	225	Pestle
33	HAMMER	1481	Hammer
34	KNIFE	1352	Knife
35	AXE	677	Axe
36	ROPE	1218	Rope
37	THREAD	1161	Thread
38	NEEDLE (FOR SEWING)	1382	Needle
39	CLOTH	1616	Cloth
40	RING	1374	Ring
41	SUN	1343	Sun
42	MOON	1313	Moon
43	SKY	1732	Sky
44	STAR	1430	Star
45	RAIN (RAINING)	1253	Rain
46	WATER	948	Water
47	RIVER	666	River
48	CLOUD	1489	Cloud
49	LIGHTNING	1654	Lightening
50	RAINBOW	1733	Rainbow
51	WIND	960	Wind
52	STONE	857	Stone
53	PATH	2252	Path
54	SAND	671	Sand
55	FIRE	221	Fire
56	SMOKE (INHALE)	1689	Smoke
57	ASH	646	Ash
58	MUD	640	Mud
59	DUST	2	Dust
60	GOLD	1369	Gold
61	TREE	906	Tree
62	LEAF	628	Leaf
63	ROOT	670	Root
64	THORN	124	Thorn
65	FLOWER	239	Flower
66	FRUIT	1507	Fruit
67	MANGO	2398	Mango
68	BANANA	868	Banana
69	WHEAT	1077	Wheat (husked)
70	BARLEY	932	Barley
71	RICE	926	Rice (husked)
72	POTATO	593	Potato
73	AUBERGINE	1146	Eggplant
74	PEANUT	2364	Groundnut
75	NUT	191	Chilli
76	TURMERIC	2842	Turmeric
77	GARLIC	2368	Garlic
78	ONION	2366	Onion
79	CAULIFLOWER	2843	Cauliflower
80	TOMATO	986	Tomato
81	CABBAGE	774	Cabbage
82	OIL (ORGANIC SUBSTANCE)	1484	Oil
83	SALT	1274	Salt
84	MEAT	634	Meat
85	FAT (OF MEAT AND FOOD)	2449	Fat (of meat)
86	FISH	227	Fish
87	CHICKEN	1318	Chicken
88	EGG	744	Egg
89	COW	1007	Cow
90	BUFFALO	934	Buffalo
91	MILK	635	Milk
92	HORN (ANATOMY)	1393	Horns
93	TAIL	1220	Tail
94	GOAT	1502	Goat
95	DOG	2009	Dog
96	SNAKE	730	Snake
97	MONKEY	1350	Monkey
98	MOSQUITO	1509	Mosquito
99	ANT	587	Ant
100	SPIDER	843	Spider
101	NAME	1405	Name
102	MAN	1554	Man
103	WOMAN	962	Woman
104	CHILD	2099	Child
105	FATHER	1217	Father
106	MOTHER	1216	Mother
107	OLDER BROTHER	1759	Older brother
108	YOUNGER BROTHER	1760	Younger brother
109	OLDER SISTER	1758	Older sister
