Id	English	English gloss	Concept set
Dunn-2012-207-1	I		I
Dunn-2012-207-2	all		ALL
Dunn-2012-207-3	and		AND
Dunn-2012-207-4	animal		ANIMAL
Dunn-2012-207-5	ashes		ASH
Dunn-2012-207-6	at		AT
Dunn-2012-207-7	back		BACK
Dunn-2012-207-8	bad		BAD
Dunn-2012-207-9	bark		BARK
Dunn-2012-207-10	because		BECAUSE
Dunn-2012-207-11	belly		BELLY
Dunn-2012-207-12	big		BIG
Dunn-2012-207-13	bird		BIRD
Dunn-2012-207-14	bite		BITE
Dunn-2012-207-15	black		BLACK
Dunn-2012-207-16	blood		BLOOD
Dunn-2012-207-17	blow		BLOW (OF WIND)
Dunn-2012-207-18	bone		BONE
Dunn-2012-207-19	breast		BREAST
Dunn-2012-207-20	breathe		BREATHE
Dunn-2012-207-21	burn		BURN
Dunn-2012-207-22	child		CHILD
Dunn-2012-207-23	cloud		CLOUD
Dunn-2012-207-24	cold		COLD
Dunn-2012-207-25	come		COME
Dunn-2012-207-26	count		COUNT
Dunn-2012-207-27	cut		CUT
Dunn-2012-207-28	day		DAY (NOT NIGHT)
Dunn-2012-207-29	die		DIE
Dunn-2012-207-30	dig		DIG
Dunn-2012-207-31	dirty		DIRTY
Dunn-2012-207-32	dog		DOG
Dunn-2012-207-33	drink		DRINK
Dunn-2012-207-34	dry		DRY
Dunn-2012-207-35	dull		BLUNT
Dunn-2012-207-36	dust		DUST
Dunn-2012-207-37	ear		EAR
Dunn-2012-207-38	earth		EARTH (SOIL)
Dunn-2012-207-39	eat		EAT
Dunn-2012-207-40	egg		EGG
Dunn-2012-207-41	eye		EYE
Dunn-2012-207-42	fall		FALL
Dunn-2012-207-43	far		FAR
Dunn-2012-207-44	fat		FAT (ORGANIC SUBSTANCE)
Dunn-2012-207-45	father		FATHER
Dunn-2012-207-46	fear		FEAR (BE AFRAID)
Dunn-2012-207-47	feather		FEATHER
Dunn-2012-207-48	few		FEW
Dunn-2012-207-49	fight		FIGHT
Dunn-2012-207-50	fingernail		FINGERNAIL
Dunn-2012-207-51	fire		FIRE
Dunn-2012-207-52	fish		FISH
Dunn-2012-207-53	five		FIVE
Dunn-2012-207-54	float		FLOAT
Dunn-2012-207-55	flow		FLOW
Dunn-2012-207-56	flower		FLOWER
Dunn-2012-207-57	fly		FLY (MOVE THROUGH AIR)
Dunn-2012-207-58	fog		FOG
Dunn-2012-207-59	foot		FOOT
Dunn-2012-207-60	four		FOUR
Dunn-2012-207-61	freeze		FREEZE
Dunn-2012-207-62	fruit		FRUIT
Dunn-2012-207-63	full		FULL
Dunn-2012-207-64	give		GIVE
Dunn-2012-207-65	good		GOOD
Dunn-2012-207-66	grass		GRASS
Dunn-2012-207-67	green		GREEN
Dunn-2012-207-68	guts		GUTS
Dunn-2012-207-69	hair		HAIR
Dunn-2012-207-70	hand		HAND
Dunn-2012-207-71	he		HE
Dunn-2012-207-72	head		HEAD
Dunn-2012-207-73	hear		HEAR
Dunn-2012-207-74	heart		HEART
Dunn-2012-207-75	heavy		HEAVY
Dunn-2012-207-76	here		HERE
Dunn-2012-207-77	hit		HIT
Dunn-2012-207-78	hold		HOLD
Dunn-2012-207-79	horn		HORN (ANATOMY)
Dunn-2012-207-80	how		HOW
Dunn-2012-207-81	hunt		HUNT
Dunn-2012-207-82	husband		HUSBAND
Dunn-2012-207-83	ice		ICE
Dunn-2012-207-84	if		IF
Dunn-2012-207-85	in		IN
Dunn-2012-207-86	kill		KILL
Dunn-2012-207-87	knee		KNEE
Dunn-2012-207-88	know		KNOW (SOMETHING)
Dunn-2012-207-89	lake		LAKE
Dunn-2012-207-90	laugh		LAUGH
Dunn-2012-207-91	leaf		LEAF
Dunn-2012-207-92	left		LEFT
