ID,Name,Parameter,Language,Frequency,Confidence,References
Swadesh-1964-100-1,alle [english]; ___ [russian],ALL,English,,,
Swadesh-1964-100-122,rain [english]; _____ [russian],RAIN (PRECIPITATION),English,,,
Swadesh-1964-100-123,red [english]; _______ [russian],RED,English,,,
Swadesh-1964-100-127,road [english]; ______ [russian],ROAD,English,,,
Swadesh-1964-100-128,root [english]; ______ [russian],ROOT,English,,,
Swadesh-1964-100-133,sand [english]; _____ [russian],SAND,English,,,
Swadesh-1964-100-136,see [english]; ______ [russian],SEE,English,,,
Swadesh-1964-100-137,seed [english]; ____ [russian],SEED,English,,,
Swadesh-1964-100-145,sit [english]; ______ [russian],SIT,English,,,
Swadesh-1964-100-147,skin [english]; ____ [russian],SKIN,English,,,
Swadesh-1964-100-149,sleep [english]; _____ [russian],SLEEP,English,,,
Swadesh-1964-100-150,small [english]; _________ [russian],SMALL,English,,,
Swadesh-1964-100-152,smoke [english]; ___ [russian],SMOKE (EXHAUST),English,,,
Swadesh-1964-100-163,stand [english]; ______ [russian],STAND,English,,,
Swadesh-1964-100-164,star [english]; ______ [russian],STAR,English,,,
Swadesh-1964-100-166,stone [english]; ______ [russian],STONE,English,,,
Swadesh-1964-100-169,sun [english]; ______ [russian],SUN,English,,,
Swadesh-1964-100-171,swim [english]; _______ [russian],SWIM,English,,,
Swadesh-1964-100-172,tail [english]; _____ [russian],TAIL,English,,,
Swadesh-1964-100-174,that [english]; ___ [russian],THAT,English,,,
Swadesh-1964-100-180,this [english]; ____ [russian],THIS,English,,,
Swadesh-1964-100-181,thou [english]; __ [russian],THOU,English,,,
Swadesh-1964-100-185,tongue [english]; ____ [russian],TONGUE,English,,,
Swadesh-1964-100-186,tooth [english]; ___ [russian],TOOTH,English,,,
Swadesh-1964-100-187,tree [english]; ______ [russian],TREE,English,,,
Swadesh-1964-100-190,two [english]; ___ [russian],TWO,English,,,
Swadesh-1964-100-192,walk [english]; ____ [russian],WALK,English,,,
Swadesh-1964-100-193,warm [english]; ______ [russian],WARM,English,,,
Swadesh-1964-100-195,water [english]; ____ [russian],WATER,English,,,
Swadesh-1964-100-196,we [english]; __ [russian],WE,English,,,
Swadesh-1964-100-198,what [english]; ___ [russian],WHAT,English,,,
Swadesh-1964-100-201,white [english]; _____ [russian],WHITE,English,,,
Swadesh-1964-100-202,who [english]; ___ [russian],WHO,English,,,
Swadesh-1964-100-209,woman [english]; _______ [russian],WOMAN,English,,,
Swadesh-1964-100-215,yellow [english]; ______ [russian],YELLOW,English,,,
Swadesh-1964-100-216,*say [english]; _______ [russian],SAY,English,,,
Swadesh-1964-100-217,*moon [english]; ____ [russian],MOON,English,,,
Swadesh-1964-100-218,*round [english]; _______ [russian],ROUND,English,,,
Swadesh-1964-100-219,*full [english]; ______ [russian],FULL,English,,,
Swadesh-1964-100-220,*knee [english]; ______ [russian],KNEE,English,,,
Swadesh-1964-100-221,*claw [english]; ______ [russian],CLAW,English,,,
Swadesh-1964-100-222,*horn [english]; ___ [russian],HORN (ANATOMY),English,,,
Swadesh-1964-100-223,*breast [english]; _____ [russian],BREAST,English,,,
