"","unique_topology","count","percentage"
"109",109,3,0.0166657407921782
"110",110,3,0.0166657407921782
"118",118,3,0.0166657407921782
"119",119,3,0.0166657407921782
"123",123,3,0.0166657407921782
"129",129,3,0.0166657407921782
"140",140,3,0.0166657407921782
"150",150,3,0.0166657407921782
"171",171,3,0.0166657407921782
"174",174,3,0.0166657407921782
"192",192,3,0.0166657407921782
"193",193,3,0.0166657407921782
"208",208,3,0.0166657407921782
"43",43,2,0.0111104938614521
"54",54,2,0.0111104938614521
"68",68,2,0.0111104938614521
"74",74,2,0.0111104938614521
"96",96,2,0.0111104938614521
"108",108,2,0.0111104938614521
"127",127,2,0.0111104938614521
"128",128,2,0.0111104938614521
"134",134,2,0.0111104938614521
"139",139,2,0.0111104938614521
"149",149,2,0.0111104938614521
"159",159,2,0.0111104938614521
"162",162,2,0.0111104938614521
"164",164,2,0.0111104938614521
"167",167,2,0.0111104938614521
"168",168,2,0.0111104938614521
"172",172,2,0.0111104938614521
"176",176,2,0.0111104938614521
"181",181,2,0.0111104938614521
"182",182,2,0.0111104938614521
"184",184,2,0.0111104938614521
"188",188,2,0.0111104938614521
"197",197,2,0.0111104938614521
"200",200,2,0.0111104938614521
"206",206,2,0.0111104938614521
"210",210,2,0.0111104938614521
"214",214,2,0.0111104938614521
"22",22,1,0.00555524693072607
"63",63,1,0.00555524693072607
"76",76,1,0.00555524693072607
"77",77,1,0.00555524693072607
"78",78,1,0.00555524693072607
"83",83,1,0.00555524693072607
"107",107,1,0.00555524693072607
"112",112,1,0.00555524693072607
"113",113,1,0.00555524693072607
"115",115,1,0.00555524693072607
"117",117,1,0.00555524693072607
"121",121,1,0.00555524693072607
"124",124,1,0.00555524693072607
"125",125,1,0.00555524693072607
"126",126,1,0.00555524693072607
"130",130,1,0.00555524693072607
"131",131,1,0.00555524693072607
"138",138,1,0.00555524693072607
"143",143,1,0.00555524693072607
"144",144,1,0.00555524693072607
"145",145,1,0.00555524693072607
"147",147,1,0.00555524693072607
"148",148,1,0.00555524693072607
"152",152,1,0.00555524693072607
"153",153,1,0.00555524693072607
"154",154,1,0.00555524693072607
"155",155,1,0.00555524693072607
"157",157,1,0.00555524693072607
"160",160,1,0.00555524693072607
"161",161,1,0.00555524693072607
"165",165,1,0.00555524693072607
"166",166,1,0.00555524693072607
"170",170,1,0.00555524693072607
"173",173,1,0.00555524693072607
"175",175,1,0.00555524693072607
"177",177,1,0.00555524693072607
"180",180,1,0.00555524693072607
"183",183,1,0.00555524693072607
"185",185,1,0.00555524693072607
"186",186,1,0.00555524693072607
"189",189,1,0.00555524693072607
"190",190,1,0.00555524693072607
"191",191,1,0.00555524693072607
"194",194,1,0.00555524693072607
"195",195,1,0.00555524693072607
"196",196,1,0.00555524693072607
"198",198,1,0.00555524693072607
"199",199,1,0.00555524693072607
"201",201,1,0.00555524693072607
"202",202,1,0.00555524693072607
"203",203,1,0.00555524693072607
"204",204,1,0.00555524693072607
"205",205,1,0.00555524693072607
"207",207,1,0.00555524693072607
"209",209,1,0.00555524693072607
"211",211,1,0.00555524693072607
"212",212,1,0.00555524693072607
"213",213,1,0.00555524693072607
"215",215,1,0.00555524693072607
"216",216,1,0.00555524693072607
"217",217,1,0.00555524693072607
"218",218,1,0.00555524693072607
"219",219,1,0.00555524693072607
"220",220,1,0.00555524693072607
"221",221,1,0.00555524693072607
"222",222,1,0.00555524693072607
"223",223,1,0.00555524693072607
"224",224,1,0.00555524693072607
"225",225,1,0.00555524693072607
"226",226,1,0.00555524693072607
"227",227,1,0.00555524693072607
"228",228,1,0.00555524693072607
"229",229,1,0.00555524693072607
"230",230,1,0.00555524693072607
"231",231,1,0.00555524693072607
