"","unique_topology","count","percentage"
"6",6,5646,31.3649241708794
"2",2,2378,13.2103772012666
"1",1,2363,13.1270484973057
"5",5,1639,9.10504971946003
"14",14,616,3.42203210932726
"10",10,589,3.27204044219766
"4",4,474,2.63318704516416
"7",7,400,2.22209877229043
"9",9,311,1.72768179545581
"32",32,299,1.6610188322871
"12",12,297,1.64990833842564
"8",8,223,1.23882006555191
"18",18,215,1.19437809010611
"28",28,207,1.1499361146603
"35",35,178,0.98883395366924
"25",25,148,0.822176545747458
"20",20,113,0.627742903172046
"50",50,96,0.533303705349703
"19",19,93,0.516637964557525
"29",29,90,0.499972223765346
"3",3,87,0.483306482973168
"34",34,81,0.449975001388812
"11",11,79,0.43886450752736
"51",51,78,0.433309260596634
"42",42,64,0.355535803566469
"33",33,53,0.294428087328482
"15",15,49,0.272207099605577
"16",16,45,0.249986111882673
"40",40,39,0.216654630298317
"53",53,35,0.194433642575412
"39",39,32,0.177767901783234
"55",55,30,0.166657407921782
"59",59,30,0.166657407921782
"95",95,28,0.15554691406033
"31",31,26,0.144436420198878
"67",67,25,0.138881173268152
"46",46,24,0.133325926337426
"86",86,23,0.1277706794067
"52",52,21,0.116660185545247
"61",61,21,0.116660185545247
"69",69,21,0.116660185545247
"23",23,19,0.105549691683795
"58",58,19,0.105549691683795
"62",62,19,0.105549691683795
"75",75,19,0.105549691683795
"111",111,19,0.105549691683795
"41",41,15,0.0833287039608911
"66",66,15,0.0833287039608911
"104",104,15,0.0833287039608911
"81",81,14,0.077773457030165
"84",84,13,0.0722182100994389
"122",122,13,0.0722182100994389
"90",90,12,0.0666629631687128
"105",105,12,0.0666629631687128
"146",146,12,0.0666629631687128
"38",38,11,0.0611077162379868
"26",26,10,0.0555524693072607
"49",49,10,0.0555524693072607
"94",94,10,0.0555524693072607
"71",71,9,0.0499972223765346
"80",80,9,0.0499972223765346
"88",88,9,0.0499972223765346
"92",92,9,0.0499972223765346
"97",97,9,0.0499972223765346
"106",106,9,0.0499972223765346
"133",133,9,0.0499972223765346
"137",137,9,0.0499972223765346
"158",158,9,0.0499972223765346
"37",37,8,0.0444419754458086
"135",135,8,0.0444419754458086
"142",142,8,0.0444419754458086
"64",64,7,0.0388867285150825
"70",70,7,0.0388867285150825
"13",13,6,0.0333314815843564
"21",21,6,0.0333314815843564
"44",44,6,0.0333314815843564
"48",48,6,0.0333314815843564
"57",57,6,0.0333314815843564
"72",72,6,0.0333314815843564
"85",85,6,0.0333314815843564
"101",101,6,0.0333314815843564
"120",120,6,0.0333314815843564
"132",132,6,0.0333314815843564
"151",151,6,0.0333314815843564
"179",179,6,0.0333314815843564
"65",65,5,0.0277762346536304
"91",91,5,0.0277762346536304
"99",99,5,0.0277762346536304
"114",114,5,0.0277762346536304
"116",116,5,0.0277762346536304
"136",136,5,0.0277762346536304
"178",178,5,0.0277762346536304
"24",24,4,0.0222209877229043
"27",27,4,0.0222209877229043
"30",30,4,0.0222209877229043
"47",47,4,0.0222209877229043
"87",87,4,0.0222209877229043
"100",100,4,0.0222209877229043
"103",103,4,0.0222209877229043
"141",141,4,0.0222209877229043
"156",156,4,0.0222209877229043
"163",163,4,0.0222209877229043
"169",169,4,0.0222209877229043
"187",187,4,0.0222209877229043
"17",17,3,0.0166657407921782
"36",36,3,0.0166657407921782
"45",45,3,0.0166657407921782
"56",56,3,0.0166657407921782
"60",60,3,0.0166657407921782
"73",73,3,0.0166657407921782
"79",79,3,0.0166657407921782
"82",82,3,0.0166657407921782
"89",89,3,0.0166657407921782
"93",93,3,0.0166657407921782
"98",98,3,0.0166657407921782
"102",102,3,0.0166657407921782
