language	glotto
Gyalsumdo	gyal1236
Jirel	jire1238
Kagate	kaga1252
Lowa	lowa1242
Nubri	nubr1243
Nubri Lho	lhoo1238
Nubri Namrung	namr1238
Nubri Sama	sama1294
Tsum	tsum1240
Sherpa	sher1255
Yolmo	lamj1247
