"ID","DOCULECT","CONCEPT","VALUE","FORM","TOKENS","MORPHEMES","COGIDS","COGID","ALIGNMENT","NOTE"
2,"Gyalsumdo","HEAD","ko","ko","k o","head","1263",1284,"k o - - -","[x]"
269,"Jirel","HEAD","ŋɡo","ŋɡo","ⁿg o","head","1263",1284,"ⁿg o - - -","[x]"
528,"Kagate","HEAD","ɡo","ɡo","g o","head","1263",1284,"g o - - -","[x]"
780,"Lowa","HEAD","ŋɡo","ŋɡo","ⁿg o","head","1263",1284,"ⁿg o - - -","[x]"
781,"Lowa","HEAD","ŋɡowa","ŋɡowa","ⁿg o + w a","head _:wa-suffix","1263 2305",1284,"ⁿg o + w a","[ ] wa-suffix"
1039,"Nubri","HEAD","ko","ko","k o","head","1263",1284,"k o - - -","[x]"
1287,"Sherpa","HEAD","ɡo","ɡo","g o","head","1263",1284,"g o - - -","[x]"
1532,"Tsum","HEAD","ŋɡo","ŋɡo","ⁿg o","head","1263",1284,"ⁿg o - - -","[x]"
1793,"Yolmo","HEAD","ŋɡo","ŋɡo","ⁿg o","head","1263",1284,"ⁿg o - - -","[x]"
2330,"OldTibetan","HEAD","mgo","m.g.o","m.g o","None","None",1284,"m.g o",""
2331,"Lhasa","HEAD","ko¹³","k.o.¹³","k o ¹³","None","None",1284,"- k o ¹³ - -",""
2332,"Batang","HEAD","ŋgᴜ⁵³","ŋ.g.ᴜ.⁵³","ⁿg u ⁵³","None","None",1284,"ⁿg u ⁵³","!"
2333,"Xiahe","HEAD","ngo tə","n.g.o._.t.ə","ⁿg o + t ə","None","None",1284,"ⁿg o + t ə","!"
2334,"Alike","HEAD","ngo","n.g.o","ⁿg o","None","None",1284,"ⁿg o","!"
2336,"OldChinese","HEAD","*l̥uʔ","l̥.u.ʔ","l̥ u.ʔ","None","None",1286,"l̥ u.ʔ",""
2337,"OldTibetan","HEAD","dbu","d.b.u","d.b u","None","None",1287,"d.b u",""
3,"Gyalsumdo","HAIR","ta","ta","t a","hair","1217",1282,"- - - - - - t a",""
270,"Jirel","HAIR","ŋɡokita","ŋɡokita","ⁿg o + k i + t a","_head _/ki hair","1263 1219 1217",1282,"ⁿg o + k i + t a",""
529,"Kagate","HAIR","ta","ta","t a","hair","1217",1282,"- - - - - - t a",""
782,"Lowa","HAIR","ʂɹa","ʂɹa","ʂ.ɹ a","hair","1217",1282,"- - - - - - ʂ.ɹ a",""
1040,"Nubri","HAIR","hɹa","hɹa","h.ɹ a","hair","1217",1282,"- - - - - - h.ɹ a",""
1288,"Sherpa","HAIR","hɹa","hɹa","h.ɹ a","hair","1217",1282,"- - - - - - h.ɹ a",""
1533,"Tsum","HAIR","tɹa","tɹa","t.ɹ a","hair","1217",1282,"- - - - - - t.ɹ a",""
1794,"Yolmo","HAIR","tɹa","tɹa","t.ɹ a","hair","1217",1282,"- - - - - - t.ɹ a",""
2324,"OldTibetan","HAIR","spu","s.k.r.a","s.k r.a","None","27",1282,"s.k r.a",""
2325,"Alike","HAIR","rcçæ","r.cç.æ","r.cç æ","None","None",1282,"r.cç æ","!"
2326,"Batang","HAIR","tʂa⁵³","tʂ.a.⁵³","ʈʂ a ⁵³","None","None",1282,"- ʈʂ - a ⁵³",""
2327,"Lhasa","HAIR","tʂa⁵⁵","tʂ.a.⁵⁵","ʈʂ a ⁵⁵","None","None",1282,"- ʈʂ - a ⁵⁵",""
2328,"Xiahe","HAIR","htɕa","h.tɕ.a","h tɕ a","None","None",1282,"h tɕ - a -","!"
2329,"OldChinese","HAIR","*pot","p.o.t","p o.t","None","29",1283,"p o.t",""
5,"Gyalsumdo","EYE","mi","mi","m i","*eye","828",1246,"m i","[x] ← Chinese /muk/"
272,"Jirel","EYE","mik","mik","m i.k","*eye","828",1246,"m i.k","[x] ← Chinese /muk/"
531,"Kagate","EYE","mi","mi","m i","*eye","828",1246,"m i","[x] ← Chinese /muk/"
784,"Lowa","EYE","mik","mik","m i.k","*eye","828",1246,"m i.k","[x] ← Chinese /muk/"
1042,"Nubri","EYE","mik","mik","m i.k","*eye","828",1246,"m i.k","[x] ← Chinese /muk/"
1290,"Sherpa","EYE","mik","mik","m i.k","*eye","828",1246,"m i.k","[x] ← Chinese /muk/"
1535,"Tsum","EYE","miʔ","miʔ","m i.ʔ","*eye","828",1246,"m i.ʔ","[x] ← Chinese /muk/"
1796,"Yolmo","EYE","mi","mi","m i","*eye","828",1246,"m i","[x] ← Chinese /muk/"
2221,"OldTibetan","EYE","dmʲig","d.mʲ.i.g","d.mʲ i.g","None","None",1246,"d.mʲ i.g",""
2222,"Lhasa","EYE","mi⁵²","m.i.⁵²","m i ⁵²","None","None",1246,"- - - m i - ⁵²",""
2223,"Batang","EYE","miʔ⁵³","m.i.ʔ.⁵³","m i.ʔ ⁵³","None","None",1246,"m i.ʔ ⁵³",""
2224,"Xiahe","EYE","hȵɔχ","h.ȵ.ɔ.χ","h.ȵ ɔ.χ","None","40",1246,"h.ȵ ɔ.χ",""
2225,"Alike","EYE","ɣȵək","ɣ.ȵ.ə.k","ɣ.ȵ ə.k","None","None",1246,"ɣ.ȵ ə.k",""
2226,"OldChinese","EYE","*C.m(r)[u]k","C/.+.m.u.k","ç/k + m u.k","None","39",1246,"ç/k + m u.k",""
6,"Gyalsumdo","EAR","amtɕo","amtɕo","a.m + tɕ o","_ear/am ear/dzo","7 706",1239,"- a.m + tɕ o","[x]"
7,"Gyalsumdo","EAR","amdʑo","amdʑo","a.m + dʑ o","_ear/am ear/dzo","7 706",1239,"- a.m + dʑ o","[x]"
273,"Jirel","EAR","n̪amdʑjok","n̪amdʑjok","n̪ a.m + dʑ.j o.k","_ear/nam ear/dzo","705 706",1238,"n̪ a.m + dʑ.j o.k","[x]"
532,"Kagate","EAR","namdzjo","namdzjo","n a.m + dz.j o","_ear/nam ear/dzo","705 706",1238,"n a.m + dz.j o","[x]"
785,"Lowa","EAR","amtɕjoʔ","amtɕjoʔ","a.m + tɕ.j o.ʔ","_ear/am ear/dzo","7 706",1239,"- a.m + tɕ.j o.ʔ","[x]"
1043,"Nubri","EAR","amtɕjoʔ","amtɕjoʔ","a.m + tɕ.j o.ʔ","_ear/am ear/dzo","7 706",1239,"- a.m + tɕ.j o.ʔ","[x]"
1291,"Sherpa","EAR","namdzjok","namdzjok","n a.m + dz.j o.k","_ear/nam ear/dzo","705 706",1238,"n a.m + dz.j o.k","[x]"
1536,"Tsum","EAR","amdʑjoʔ","amdʑjoʔ","a.m + dʑ.j o.ʔ","_ear/am ear/dzo","7 706",1239,"- a.m + dʑ.j o.ʔ","[x]"
1797,"Yolmo","EAR","nəmdʑjo","nəmdʑjo","n ə.m + dʑ.j o","_ear/am ear/dzo","705 706",1238,"n ə.m + dʑ.j o","[x]"
2196,"OldTibetan","EAR","rna","r.n.a","r.n a","None","None",1238,"r.n a",""
2197,"Alike","EAR","rnæ","r.n.æ","r.n æ","None","None",1238,"r.n æ",""
2198,"Lhasa","EAR","am⁵⁵tɕo⁵²","a.m.⁵⁵.◦.tɕ.o.⁵²","a.m ⁵⁵ + tɕ o ⁵²","None","None",1239,"a.m ⁵⁵ + tɕ o ⁵²",""
2199,"Batang","EAR","na⁵⁵jo⁵³","n.a.⁵⁵.◦.j.o.⁵³","n a ⁵⁵ + j o ⁵³","None","None",1238,"- - - n a - ⁵⁵ + j o - ⁵³",""
2200,"Xiahe","EAR","na ndʑoχ","n.a._.ndʑ.o.χ","n a + ⁿdʑ o./o χ","None","None",1238,"- - - n a - + - ⁿdʑ o./o χ -","!"
2201,"OldChinese","EAR","*C.nəʔ","C/.+.n.ə.ʔ","ç/k + n ə.ʔ","None","None",1238,"ç/k + n ə.ʔ",""
8,"Gyalsumdo","NOSE","naɾki","naɾki","n a.ɾ + k i","nose _/ki","1948 1949",1352,"n a.ɾ + k i","[x]"
274,"Jirel","NOSE","n̪əu","n̪əu","!n̪/n əu","nose","1948",1352,"!n̪/n əu - - -","[x]"
533,"Kagate","NOSE","nasum","nasum","n a + s u.m","nose _/sum","1948 1950",1352,"n a + s u.m","[x]"
786,"Lowa","NOSE","na","na","n a","nose","1948",1352,"n a - - -","[x]"
1044,"Nubri","NOSE","nat̪u","nat̪u","n a + t̪ u","nose _/tu","1948 1951",1352,"n a + t̪ u","[x]"
1292,"Sherpa","NOSE","nəu","nəu","n əu","nose","1948",1352,"n əu - - -","[x]"
