ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Gyalsumdo	BODY	1480	suɡu			Body	शरीर	Low
2	2	Gyalsumdo	HEAD	1256	ko			Head	टाउको	Low
3	3	Gyalsumdo	HAIR	1040	ta			Hair	कपाल	High-Fall
4	4	Gyalsumdo	FACE	1560	ŋot̪oŋ			Face	अनुहार	Low-Rise
5	5	Gyalsumdo	EYE	1248	mi			Eye	आँखा	High-Fall
6	6	Gyalsumdo	EAR	1247	amtɕo			Ear	कान	Mid
7	6	Gyalsumdo	EAR	1247	amdʑo			Ear	कान	Mid
8	7	Gyalsumdo	NOSE	1221	naɾki			Nose	नाक	Mid
9	8	Gyalsumdo	MOUTH	674	kʰa			Mouth	मुख	High-Fall
10	9	Gyalsumdo	TOOTH	1380	so			Teeth	दाँत	High-Fall
11	10	Gyalsumdo	TONGUE	1205	tɕemu			Tongue	जिब्रो	Mid
12	11	Gyalsumdo	BREAST	1402	oma			Breast	स्तन	Low-Rise
13	11	Gyalsumdo	BREAST	1402	ɦoma			Breast	स्तन	Low-Rise
14	12	Gyalsumdo	BELLY	1251	toba			Belly	पेट	Low-Rise
15	13	Gyalsumdo	ARM OR HAND	2121	laɡpa			Arm/Hand	हात	Low-Rise
16	14	Gyalsumdo	ELBOW	981	temaɲuŋ			Elbow	कुइनो	
17	15	Gyalsumdo	PALM TREE	1181	laɡpat̪ʰil			Palm	हत्केला	
18	15	Gyalsumdo	PALM TREE	1181	laɡt̪ʰel			Palm	हत्केला	
19	16	Gyalsumdo	FINGER	1303	tsuɡu			Finger	औँला	Low-Rise
20	17	Gyalsumdo	FINGERNAIL	1258	seɹmu			Fingernail	नङ	High-Fall
21	18	Gyalsumdo	LEG	1297	kaŋpa			Leg	खुट्टा	Mid
22	19	Gyalsumdo	SKIN	763	paɡpa			Skin	छाला	Mid
23	19	Gyalsumdo	SKIN	763	poɡo			Skin	छाला	Mid
24	20	Gyalsumdo	BONE	1394	ɹoɡo			Bone	हाड	Low-Rise
25	21	Gyalsumdo	HEART	1223	ɲiŋ			Heart	मुटु	High
26	22	Gyalsumdo	BLOOD	946	tʰak			Blood	रगत	High-Fall
27	23	Gyalsumdo	URINE	1142	tɕiŋ			Urine	पिसाब	High
28	24	Gyalsumdo	FAECES (EXCREMENT)	675	kjaɡpa			Faeces	दिसा	Mid
29	25	Gyalsumdo	VILLAGE	930	jul			Village	गाउँ	Low-Rise
30	26	Gyalsumdo	HOUSE	1252	kʰaŋpa			House	घर	Mid
31	27	Gyalsumdo	ROOF	769	kʰaŋt̪ø			Roof	छानो	Mid
32	27	Gyalsumdo	ROOF	769	 t̪ʰo			Roof	छानो	High
33	28	Gyalsumdo	DOOR	1567	ko			Door	ढोका	Mid-High
34	29	Gyalsumdo	FIREWOOD	10	ɕiŋ			Firewood	दाउरा	High-Fall
35	30	Gyalsumdo	BROOM	245	tɕʰama			Broom	कुचो	Mid
36	31	Gyalsumdo	MORTAR CRUSHER	224	t̪ʰasa			Mortar	सिलौटो	xxx
37	31	Gyalsumdo	MORTAR CRUSHER	224	 koɡtsʰum			Mortar	सिलौटो	Low-Rise
38	32	Gyalsumdo	PESTLE	225	koɡt̪o			Pestle	लोहोरो	Low-Rise
39	33	Gyalsumdo	HAMMER	1481	t̪ʰowa			Hammer	हथौडा	High-Fall
40	34	Gyalsumdo	KNIFE	1352	kaɾt̪a			Knife	चक्कु	Mid-High
41	35	Gyalsumdo	AXE	677	t̪aɹi			Axe	वन्चरो	High
42	36	Gyalsumdo	ROPE	1218	t̪ʰaɡpa			Rope	डोरी	Mid-High
43	37	Gyalsumdo	THREAD	1161	kupa			Thread	धागो	High-Fall
44	38	Gyalsumdo	NEEDLE (FOR SEWING)	1382	kʰap			Needle	सियो	High 
45	39	Gyalsumdo	CLOTH	1616	køla			Cloth	लुगा (कपडा)	Low-Rise
46	40	Gyalsumdo	RING	1374	soɹt̪ob			Ring	औँठी	High-Fall
47	41	Gyalsumdo	SUN	1343	ɲima			Sun	घाम	Low-Rise
48	42	Gyalsumdo	MOON	1313	t̪akaɹ			Moon	चन्द्रमा	Low-Rise
49	42	Gyalsumdo	MOON	1313	t̪awa			Moon	चन्द्रमा	Low-Rise
50	43	Gyalsumdo	SKY	1732	nam			Sky	आकास	High
51	44	Gyalsumdo	STAR	1430	kaɹma			Star	तारा	High
52	45	Gyalsumdo	RAIN (RAINING)	1253	nam			Rain	वर्षा	
53	46	Gyalsumdo	WATER	948	tɕʰu			Water	पानी	Mid-Fall
54	47	Gyalsumdo	RIVER	666	tsaŋpu			River	नदी	Mid 
55	48	Gyalsumdo	CLOUD	1489	muɡpa			Cloud	बादल	High
56	49	Gyalsumdo	LIGHTNING	1654	loɡmaɹ			Lightening	बिजुली चम्कनु	High
57	50	Gyalsumdo	RAINBOW	1733	sa			Rainbow	इन्द्रेणी	Mid
58	51	Gyalsumdo	WIND	960	hlawa			Wind	वतास	Low
