ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Nubri	BODY	1480	su			Body	शरीर	(Low-)Rise
2	2	Nubri	HEAD	1256	ko			Head	टाउको	(Low-)Rise
3	3	Nubri	HAIR	1040	hɹa			Hair	कपाल	(Mid-)Fall
4	4	Nubri	FACE	1560	tɕuŋu			Face	अनुहार	(Low-)Rise
5	5	Nubri	EYE	1248	mik			Eye	आँखा	Mid
6	6	Nubri	EAR	1247	amtɕjoʔ			Ear	कान	Mid
7	7	Nubri	NOSE	1221	nat̪u			Nose	नाक	Mid
8	8	Nubri	MOUTH	674	kʰabt̪u			Mouth	मुख	Mid
9	9	Nubri	TOOTH	1380	sa			Teeth	दाँत	(Mid-)Fall
10	10	Nubri	TONGUE	1205	tɕe			Tongue	जिब्रो	Mid
11	11	Nubri	BREAST	1402	tɕju			Breast	स्तन	Mid
12	12	Nubri	BELLY	1251	topa			Belly	पेट	(Low-)Rise
13	13	Nubri	ARM OR HAND	2121	lakpa			Arm/Hand	हात	(Low-)Rise
14	14	Nubri	ELBOW	981	tsʰikt̪oʔ			Elbow	कुइनो	Mid(-High)
15	15	Nubri	PALM TREE	1181	lakpa t̪ʰil			Palm	हत्केला	
16	16	Nubri	FINGER	1303	tsuku			Finger	औँला	Mid
17	17	Nubri	FINGERNAIL	1258	sermo			Fingernail	नङ	Mid(-High)
18	18	Nubri	LEG	1297	kaŋpa			Leg	खुट्टा	Mid
19	19	Nubri	SKIN	763	pau			Skin	छाला	Mid
20	20	Nubri	BONE	1394	hɹypa			Bone	हाड	(Mid-)Fall
21	21	Nubri	HEART	1223	ɲiŋ			Heart	मुटु	High
22	22	Nubri	BLOOD	946	tʰa			Blood	रगत	Mid
23	23	Nubri	URINE	1142	tɕʰi			Urine	पिसाब	Mid
24	24	Nubri	FAECES (EXCREMENT)	675	aʔ			Faeces	दिसा	High
25	25	Nubri	VILLAGE	930	jul			Village	गाउँ	Mid
26	26	Nubri	HOUSE	1252	kʰim			House	घर	Mid
27	27	Nubri	ROOF	769	t̪ʰɔ			Roof	छानो	Mid
28	28	Nubri	DOOR	1567	ko			Door	ढोका	Mid
29	29	Nubri	FIREWOOD	10	ɕiŋ			Firewood	दाउरा	High
30	30	Nubri	BROOM	245	koŋmo			Broom	कुचो	High
31	31	Nubri	MORTAR CRUSHER	224	koɡtsʰum			Mortar	सिलौटो	(Low-)Rise
32	32	Nubri	PESTLE	225	t̪iktsa			Pestle	लोहोरो	Mid(-High)
33	33	Nubri	HAMMER	1481	t̪ʰɔ			Hammer	हथौडा	Mid
34	34	Nubri	KNIFE	1352	tuku			Knife	चक्कु	(Low-)Rise
35	35	Nubri	AXE	677	t̪aɹi			Axe	वन्चरो	High
36	36	Nubri	ROPE	1218	t̪ʰaɡpa			Rope	डोरी	(Mid-)Fall
37	37	Nubri	THREAD	1161	kupa			Thread	धागो	Mid(-High)
38	38	Nubri	NEEDLE (FOR SEWING)	1382	kʰap			Needle	सियो	High
39	39	Nubri	CLOTH	1616	kalaʔ			Cloth	लुगा (कपडा)	(Low-)Rise
40	40	Nubri	RING	1374	soɹt̪ob			Ring	औँठी	High
41	41	Nubri	SUN	1343	ɲo			Sun	घाम	(Low-)Rise
42	42	Nubri	MOON	1313	t̪a			Moon	चन्द्रमा	(Low-)Rise
43	43	Nubri	SKY	1732	nam			Sky	आकास	High
44	44	Nubri	STAR	1430	kaɹma			Star	तारा	Mid
45	45	Nubri	RAIN (RAINING)	1253	nam			Rain	वर्षा	High
46	46	Nubri	WATER	948	tɕʰju			Water	पानी	High
47	47	Nubri	RIVER	666	kjuɡtɕʰju			River	नदी	
48	48	Nubri	CLOUD	1489	muɡpa			Cloud	बादल	High
49	49	Nubri	LIGHTNING	1654	tuk			Lightening	बिजुली चम्कनु	Mid
50	50	Nubri	RAINBOW	1733	tɕja			Rainbow	इन्द्रेणी	Mid
51	51	Nubri	WIND	960	hlawa			Wind	वतास	Mid
52	52	Nubri	STONE	857	t̪oh			Stone	ढुङ्गा	(Mid-)Fall
53	53	Nubri	PATH	2252	lamkja			Path	बाटो	(Low-)Rise
54	54	Nubri	SAND	671	pɛ̃:			Sand	बालुवा	(Low-)Rise
55	55	Nubri	FIRE	221	mẽ			Fire	आगो	(Low-)Rise
56	56	Nubri	SMOKE (INHALE)	1689	t̪ohpa			Smoke	धुवाँ	(Low-)Rise
57	57	Nubri	ASH	646	kot̪ʰal			Ash	खरानी	(Low-)Rise
58	58	Nubri	MUD	640	t̪ampa			Mud	माटो	(Low-)Rise
59	59	Nubri	DUST	2	t̪ʰala			Dust	धुलो	Mid
60	60	Nubri	GOLD	1369	seɹ			Gold	सुन	Mid
61	61	Nubri	TREE	906	t̪oŋpo			Tree	रुख	(Low-)Rise
62	62	Nubri	LEAF	628	loma			Leaf	पात	(Low-)Rise
63	63	Nubri	ROOT	670	tsa			Root	जरा	Mid
64	64	Nubri	THORN	124	tsʰerma			Thorn	काँडो	(Mid-)Fall
65	65	Nubri	FLOWER	239	met̪o			Flower	फूल	(Low-)Rise
66	66	Nubri	FRUIT	1507	ɕiŋt̪oʔ			Fruit	फलफुल	
67	67	Nubri	MANGO	2398	ãb			Mango	आँप	Mid
68	68	Nubri	BANANA	868	kela			Banana	केरा	Mid
69	69	Nubri	WHEAT	1077	toh			Wheat (husked)	गहुँ	(Mid-)Fall
70	70	Nubri	BARLEY	932	n̪e:			Barley	जौ	(Low-)Rise
71	71	Nubri	RICE	926	te:			Rice (husked)	चामल	(Low-)Rise
72	72	Nubri	POTATO	593	t̪ɔ:			Potato	आलु	(Low-)Rise
73	73	Nubri	AUBERGINE	1146	pɛnta			Eggplant	भन्टा	
74	74	Nubri	PEANUT	2364	pat̪am			Groundnut	बदाम	
75	75	Nubri	NUT	191	kʰoɹtsʰen			Chilli	खुर्सानी	Mid
76	76	Nubri	TURMERIC	2842	peseɹ			Turmeric	बेसार	
77	77	Nubri	GARLIC	2368	koɡpa			Garlic	लसुन	(Low-)Rise
78	78	Nubri	ONION	2366	tsoŋ			Onion	प्याज	Mid
79	79	Nubri	CAULIFLOWER	2843	kauli			Cauliflower	काउली	
80	80	Nubri	TOMATO	986	tumaʈa			Tomato	गोलभेँडा	
81	81	Nubri	CABBAGE	774	pənd̪a			Cabbage	बन्दा	(Low-)Rise
