ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Kagate	BODY	1480	dzubu			Body	शरीर	Mid 
2	2	Kagate	HEAD	1256	ɡo			Head	टाउको	Mid-High
3	3	Kagate	HAIR	1040	ta			Hair	कपाल	Mid-High
4	4	Kagate	FACE	1560	t̪oŋba			Face	अनुहार	Mid
5	5	Kagate	EYE	1248	mi			Eye	आँखा	High
6	6	Kagate	EAR	1247	namdzjo			Ear	कान	Mid
7	7	Kagate	NOSE	1221	nasum			Nose	नाक	Mid-High
8	8	Kagate	MOUTH	674	kʰa			Mouth	मुख	Mid
9	9	Kagate	TOOTH	1380	so			Teeth	दाँत	Mid-High
10	10	Kagate	TONGUE	1205	tse			Tongue	जिब्रो	High
11	11	Kagate	BREAST	1402	oma			Breast	स्तन	Low-Rise
12	11	Kagate	BREAST	1402	praŋɡok			Breast	स्तन	 Mid
13	12	Kagate	BELLY	1251	topa			Belly	पेट	Mid
14	13	Kagate	ARM OR HAND	2121	laɡpa			Arm/Hand	हात	Low-Rise
15	14	Kagate	ELBOW	981	uti			Elbow	कुइनो	High
16	15	Kagate	PALM TREE	1181	t̪ʰaldze			Palm	हत्केला	Mid-High
17	16	Kagate	FINGER	1303	t̪ʰebu			Finger	औँला	Mid-High
18	17	Kagate	FINGERNAIL	1258	sermu			Fingernail	नङ	High
19	18	Kagate	LEG	1297	kaŋba			Leg	खुट्टा	High
20	19	Kagate	SKIN	763	koba			Skin	छाला	High
21	20	Kagate	BONE	1394	rekok			Bone	हाड	Mid
22	21	Kagate	HEART	1223	niŋ			Heart	मुटु	High
23	22	Kagate	BLOOD	946	tʰa			Blood	रगत	High 
24	23	Kagate	URINE	1142	tsiŋ			Urine	पिसाब	High 
25	24	Kagate	FAECES (EXCREMENT)	675	kjakpa			Faeces	दिसा	High
26	25	Kagate	VILLAGE	930	jul			Village	गाउँ	Low-Rise
27	26	Kagate	HOUSE	1252	kʰim			House	घर	High
28	27	Kagate	ROOF	769	t̪uŋso			Roof	छानो	Rise
29	28	Kagate	DOOR	1567	ko			Door	ढोका	High
30	29	Kagate	FIREWOOD	10	siŋ			Firewood	दाउरा	High
31	30	Kagate	BROOM	245	pʰema			Broom	कुचो	High
32	31	Kagate	MORTAR CRUSHER	224	t̪olep			Mortar	सिलौटो	Mid
33	32	Kagate	PESTLE	225	t̪imbu			Pestle	लोहोरो	High
34	33	Kagate	HAMMER	1481	t̪ʰwa			Hammer	हथौडा	High
35	34	Kagate	KNIFE	1352	kart̪a			Knife	चक्कु	High
36	35	Kagate	AXE	677	t̪əri			Axe	वन्चरो	High 
37	36	Kagate	ROPE	1218	t̪ʰakpa			Rope	डोरी	High 
38	37	Kagate	THREAD	1161	kupa			Thread	धागो	High
39	38	Kagate	NEEDLE (FOR SEWING)	1382	kʰap			Needle	सियो	High 
40	39	Kagate	CLOTH	1616	kela			Cloth	लुगा (कपडा)	Low-Rise
41	40	Kagate	RING	1374	sipt̪ur			Ring	औँठी	High 
42	41	Kagate	SUN	1343	ŋima			Sun	घाम	Low-Rise
43	42	Kagate	MOON	1313	d̪aɡarmu			Moon	चन्द्रमा	
44	43	Kagate	SKY	1732	nam			Sky	आकास	High
45	44	Kagate	STAR	1430	karma			Star	तारा	High 
46	45	Kagate	RAIN (RAINING)	1253	nam			Rain	वर्षा	
47	46	Kagate	WATER	948	tɕʰju			Water	पानी	High
48	47	Kagate	RIVER	666	tsaŋbu			River	नदी	High
49	48	Kagate	CLOUD	1489	mukpa			Cloud	बादल	High
50	49	Kagate	LIGHTNING	1654	milik			Lightening	बिजुली चम्कनु	
51	50	Kagate	RAINBOW	1733	dzakormu			Rainbow	इन्द्रेणी	
52	51	Kagate	WIND	960	hlaba			Wind	वतास	Mid 
53	52	Kagate	STONE	857	t̪o			Stone	ढुङ्गा	Low-Rise 
54	53	Kagate	PATH	2252	lam			Path	बाटो	Low-Rise
55	54	Kagate	SAND	671	pema			Sand	बालुवा	Low-Rise
56	55	Kagate	FIRE	221	me			Fire	आगो	Low-Rise
57	56	Kagate	SMOKE (INHALE)	1689	d̪ipa			Smoke	धुवाँ	..Rise
58	57	Kagate	ASH	646	t̪ʰala			Ash	खरानी	Mid
59	58	Kagate	MUD	640	sebi			Mud	माटो	High
60	59	Kagate	DUST	2	t̪ʰaldzuk			Dust	धुलो	High
61	60	Kagate	GOLD	1369	ser			Gold	सुन	High
62	61	Kagate	TREE	906	t̪oŋbo			Tree	रुख	Low-Rise
63	62	Kagate	LEAF	628	loma			Leaf	पात	Low-Rise
64	63	Kagate	ROOT	670	tsarŋe			Root	जरा	High
65	64	Kagate	THORN	124	tsʰermaŋ			Thorn	काँडो	High
66	65	Kagate	FLOWER	239	mend̪o			Flower	फूल	Low-Rise
67	66	Kagate	FRUIT	1507	brumd̪o			Fruit	फलफुल	
68	67	Kagate	MANGO	2398	ãp			Mango	आँप	
69	68	Kagate	BANANA	868	alamu			Banana	केरा	
70	69	Kagate	WHEAT	1077	nẽjã			Wheat (husked)	गहुँ	
71	70	Kagate	BARLEY	932	wa			Barley	जौ	High
72	71	Kagate	RICE	926	brea			Rice (husked)	चामल	Mid
73	72	Kagate	POTATO	593	he			Potato	आलु	..Rise
74	73	Kagate	AUBERGINE	1146	bjanta			Eggplant	भन्टा	
