ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Yolmo	BODY	1480	ndzuɡu			Body	शरीर	Mid
2	2	Yolmo	HEAD	1256	ŋɡo			Head	टाउको	Mid-High
3	3	Yolmo	HAIR	1040	tɹa			Hair	कपाल	High-Fall
4	4	Yolmo	FACE	1560	t̪oŋba			Face	अनुहार	Low-Rise
5	5	Yolmo	EYE	1248	mi			Eye	आँखा	High
6	6	Yolmo	EAR	1247	nəmdʑjo			Ear	कान	Mid-High
7	7	Yolmo	NOSE	1221	n̪aɾko			Nose	नाक	Mid-High 
8	8	Yolmo	MOUTH	674	kʰa			Mouth	मुख	Mid-High
9	9	Yolmo	TOOTH	1380	so			Teeth	दाँत	High-Fall
10	10	Yolmo	TONGUE	1205	tsele			Tongue	जिब्रो	High
11	11	Yolmo	BREAST	1402	praŋɡo			Breast	स्तन	Mid
12	11	Yolmo	BREAST	1402	woma			Breast	स्तन	Low-Rise
13	12	Yolmo	BELLY	1251	pʰo			Belly	पेट	High
14	13	Yolmo	ARM OR HAND	2121	laɡpa			Arm/Hand	हात	(Mid-)Fall
15	14	Yolmo	ELBOW	981	laɡpatsi			Elbow	कुइनो	
16	15	Yolmo	PALM TREE	1181	laɡpan̪aŋ			Palm	हत्केला	
17	16	Yolmo	FINGER	1303	ndzuɡu			Finger	औँला	Mid-Rise
18	17	Yolmo	FINGERNAIL	1258	simu			Fingernail	नङ	High
19	18	Yolmo	LEG	1297	kaŋba			Leg	खुट्टा	High
20	19	Yolmo	SKIN	763	pawa			Skin	छाला	High
21	20	Yolmo	BONE	1394	ɹeko			Bone	हाड	Mid
22	21	Yolmo	HEART	1223	ɲiŋ			Heart	मुटु	High
23	22	Yolmo	BLOOD	946	tʰa			Blood	रगत	High
24	23	Yolmo	URINE	1142	tsiŋ			Urine	पिसाब	High
25	24	Yolmo	FAECES (EXCREMENT)	675	kjakpa			Faeces	दिसा	High-Fall
26	25	Yolmo	VILLAGE	930	jul			Village	गाउँ	Mid-Rise
27	26	Yolmo	HOUSE	1252	kʰaŋba			House	घर	High
