ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Sherpa	BODY	1480	dzubu			Body	शरीर	Low-Rise
2	2	Sherpa	HEAD	1256	ɡo			Head	टाउको	Low
3	3	Sherpa	HAIR	1040	hɹa			Hair	कपाल	Mid
4	4	Sherpa	FACE	1560	ŋot̪oŋ			Face	अनुहार	Low-Rise
5	5	Sherpa	EYE	1248	mik			Eye	आँखा	Mid
6	6	Sherpa	EAR	1247	namdzjok			Ear	कान	Low
7	7	Sherpa	NOSE	1221	nəu			Nose	नाक	Mid
8	8	Sherpa	MOUTH	674	kʰa			Mouth	मुख	Mid-Fall
9	9	Sherpa	TOOTH	1380	sa			Teeth	दाँत	Mid-Fall
10	10	Sherpa	TONGUE	1205	tɕjalak			Tongue	जिब्रो	Low
11	11	Sherpa	BREAST	1402	oma			Breast	स्तन	Low-Rise
12	12	Sherpa	BELLY	1251	tʰopa			Belly	पेट	Low-Rise
13	13	Sherpa	ARM OR HAND	2121	laɡpa			Arm/Hand	हात	Low-Rise
14	14	Sherpa	ELBOW	981	laɡpatsʰi			Elbow	कुइनो	
15	15	Sherpa	PALM TREE	1181	laɡpa			Palm	हत्केला	
16	16	Sherpa	FINGER	1303	t̪ʰept̪ok			Finger	औँला	Mid
17	17	Sherpa	FINGERNAIL	1258	seɹmoŋ			Fingernail	नङ	Mid
18	18	Sherpa	LEG	1297	kaŋba			Leg	खुट्टा	Low-Rise
19	19	Sherpa	SKIN	763	kwa			Skin	छाला	Low-Rise
20	20	Sherpa	BONE	1394	ɹukjok			Bone	हाड	Low-Rise
21	21	Sherpa	HEART	1223	ɲiŋ			Heart	मुटु	Mid
22	22	Sherpa	BLOOD	946	tʰak			Blood	रगत	Mid-High
23	23	Sherpa	URINE	1142	tsiŋ			Urine	पिसाब	Mid
24	24	Sherpa	FAECES (EXCREMENT)	675	kjakpa			Faeces	दिसा	Low-Rise
25	25	Sherpa	VILLAGE	930	iul			Village	गाउँ	
26	25	Sherpa	VILLAGE	930	jul			Village	गाउँ	
27	26	Sherpa	HOUSE	1252	kʰaŋba			House	घर	Low-Rise
28	27	Sherpa	ROOF	769	t̪ʰok			Roof	छानो	Mid
29	28	Sherpa	DOOR	1567	ɡo			Door	ढोका	Low-Rise
30	29	Sherpa	FIREWOOD	10	ɕiŋ			Firewood	दाउरा	Mid-High
