ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Tsum	BODY	1480	zu			Body	शरीर	Low-Rise
2	2	Tsum	HEAD	1256	ŋɡo			Head	टाउको	Mid
3	3	Tsum	HAIR	1040	tɹa			Hair	कपाल	High
4	4	Tsum	FACE	1560	tɕeʔ			Face	अनुहार	(High-)Rise
5	5	Tsum	EYE	1248	miʔ			Eye	आँखा	High
6	6	Tsum	EAR	1247	amdʑjoʔ			Ear	कान	High
7	7	Tsum	NOSE	1221	na			Nose	नाक	High
8	8	Tsum	MOUTH	674	kʰa			Mouth	मुख	High-Fall
9	9	Tsum	TOOTH	1380	sa			Teeth	दाँत	High-Fall
10	10	Tsum	TONGUE	1205	tɕe			Tongue	जिब्रो	High-Fall
11	11	Tsum	BREAST	1402	paʔ			Breast	स्तन	High
12	12	Tsum	BELLY	1251	pʰowa			Belly	पेट	High
13	13	Tsum	ARM OR HAND	2121	lakpa			Arm/Hand	हात	Low-Rise
14	14	Tsum	ELBOW	981	tɹejoʔ			Elbow	कुइनो	Mid-Rise
15	15	Tsum	PALM TREE	1181	paɾa			Palm	हत्केला	(High-)Rise
16	16	Tsum	FINGER	1303	ziu			Finger	औँला	Low-Rise
17	17	Tsum	FINGERNAIL	1258	semu			Fingernail	नङ	High 
18	18	Tsum	LEG	1297	kaŋba			Leg	खुट्टा	High
19	19	Tsum	SKIN	763	koa			Skin	छाला	High
20	20	Tsum	BONE	1394	ɹiɡoʔ			Bone	हाड	Low-Rise 
21	21	Tsum	HEART	1223	ɲiŋ			Heart	मुटु	High
22	22	Tsum	BLOOD	946	tʰɹaʔ			Blood	रगत	(Low-)Rise
23	23	Tsum	URINE	1142	tsiŋ			Urine	पिसाब	High
24	24	Tsum	FAECES (EXCREMENT)	675	aʔ			Faeces	दिसा	High
25	25	Tsum	VILLAGE	930	jul			Village	गाउँ	Low-Rise
26	26	Tsum	HOUSE	1252	koɹtsa			House	घर	Low-Rise
27	26	Tsum	HOUSE	1252	kʰim			House	घर	High
28	27	Tsum	ROOF	769	kʰand̪oʔ			Roof	छानो	Mid-Rise
29	28	Tsum	DOOR	1567	ko			Door	ढोका	Mid-Rise
30	29	Tsum	FIREWOOD	10	ɕiŋ			Firewood	दाउरा	High 
31	30	Tsum	BROOM	245	koŋmo			Broom	कुचो	High 
32	31	Tsum	MORTAR CRUSHER	224	kombot			Mortar	सिलौटो	Low-Rise
33	32	Tsum	PESTLE	225	tɕʰiu			Pestle	लोहोरो	High 
34	33	Tsum	HAMMER	1481	t̪ʰoa			Hammer	हथौडा	High
35	34	Tsum	KNIFE	1352	tʰɹiu			Knife	चक्कु	Low-Rise
36	35	Tsum	AXE	677	t̪aɾi			Axe	वन्चरो	Mid-Rise
37	36	Tsum	ROPE	1218	t̪ʰakpa			Rope	डोरी	Mid-Rise
38	37	Tsum	THREAD	1161	kuɾt̪oʔ			Thread	धागो	High-Rise
39	38	Tsum	NEEDLE (FOR SEWING)	1382	kʰap			Needle	सियो	High
40	39	Tsum	CLOTH	1616	kølaʔ			Cloth	लुगा (कपडा)	Low-Rise
41	40	Tsum	RING	1374	sot̪ob			Ring	औँठी	High-Rise
42	41	Tsum	SUN	1343	ɲiã			Sun	घाम	Low-Rise
43	42	Tsum	MOON	1313	nd̪akar			Moon	चन्द्रमा	Low-Rise
44	43	Tsum	SKY	1732	n̪am			Sky	आकास	High
45	44	Tsum	STAR	1430	kaɹma			Star	तारा	Mid-Rise
