S. N.	Syuba Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
148	[karmu]	White	सेतो	High
149	[nakpu]	Black	कालो	Low-Rise
150	[marmu]	Red	रातो	Low-Rise
151	[tɕi]	One	एक	High 
152	[ŋi]	Two	दुई	Low-Rise
153	[sum]	Three	तीन	High
154	[ɕi]	Four	चार	Low-Rise
155	[ŋa]	Five	पाँच	Mid 
156	[tuk]	Six	छ	Rise
157	[t̪in]	Seven	सात	Low-Rise
158	[ke]	Eight	आठ	Rise
159	[ku]	Nine	नौ	Low-Rise
160	[tɕju]	Ten	दश	High 
161	[tɕjudʑik]	Eleven	एघार	
162	[tɕikŋi]	Twelve	बाह्र	
163	[ŋiɕju]	Twenty	वीस	
164	[kjatɕik]	One Hundred	एक सय	
165	[su]	Who	को	High 
166	[tsi]	What	के	High
167	[kala]	Where	कहाँ	Low-Rise
168	[nam]	When	कहिले	Low-Rise 
169	[kadze]	How many	कति	Low-Rise
170	[kãd̪i]	Which	कुन	Low-Rise
171	[d̪ikʰo]	This 	यो	
172	[wokʰo]	That	त्यो	
173	[d̪ikʰokja]	These	यी	
174	[wokʰokja]	Those	ती	
175	[wokʰora]	Same	उही	
176	[raŋsara]	Different	फरक	
177	[t̪ʰamdzer]/[kopt̪ar]	Whole	सबै	High/Low-Rise
178	[tɕʰjako]	Broken	फुटेको	High
179	[t̪ibi]	Few	थोरै	High
180	[maŋbu]	Many	धेरै	Low-Rise
181	[t̪ʰamdzer]	All	सबै	
182	[sadze]	To eat	खानु	Low-Rise
183	[murtse]	To bite	टोक्नु	Low-Rise
184	[d̪opat̪odze]	To be hungry	भोकाउनु	
185	[t̪ʰuŋdze]	To drink	पिउनु	High
186	[kondze]	To be thirsty	तिर्खाउनु	High
187	[ɲaldze]	To sleep	सुत्नु	Low-Rise
188	[t̪ʰaŋsodze]	To lie	पल्टनु	
189	[t̪etse]	To sit	बस्नु	
190	[t̪ertse]	To give	दिनु	
191	[sadze]	To burn	डढाउनु	High
192	[ɕidze]	To die	मर्नु	High
193	[setse]	To kill	मार्नु	High
194	[urtse]	To fly	उड्नु	Low-Rise
195	[dodze]	To walk	हिँड्नु	Low-Rise
196	[tɕʰjoŋdze]	To run	दौडिनु	High
197	[dodze]	To go	जानु	
198	[oŋdze]	To come	आउनु	Low-Rise
199	[latse]	To speak	बोल्नु	Low-Rise
200	[kodze]	To hear/listen	सुन्नु	Low-Rise
201	[t̪adze]	To look	हेर्नु	High
202	[ŋa]	I	म	Low-Rise
203	[kʰjo]	You (informal)	तँ	High
204	[kʰja]	You (formal)	तपाइँ	
205	[kʰo]	He	उ	High-Fall
206	[mo]	She	उनी	Low-Rise
207	[u]	We (inclusive)	हामी (समावेशी)	Low-Rise
208	[ŋi]	We (exclusive)	हामी (असमावेशी)	Low-Rise
209	[kʰjokja]	You (plural)	तिमीहरु	
210	[kʰuŋkja]	They	उनीहरु	
211	[kʰurpu]	Load	भारी	High 
212	[tsamba]	Flour (eaten as food)	पिठो	High
213	[serak]	Hailstone	असिना	High
214	[kjuma]	Intestine	आन्द्रा	Rise
215	[kot̪oŋ]/[ild̪o]	Yard	आँगन	Low-Rise/High
216	[podze]	To uproot	उखेल्नु	High
217	[kwaɡa]	Oven	चुल्हो	Low-Rise
218	[t̪iŋba]	Heel	कुर्कुच्चो	High
219	[t̪odzi]	Spade	कोदालो	High 
220	[t̪abu]	Horse	घोडा	High
221	[ɕjuwa]	Load	भारी	High
222	[modze]	To plough	जोत्नु	High
223	[siu]	Bond	तमसुक	
224	[maid̪an]	Beam (main wooden beam)	निदाल	
225	[t̪ʰakpa]	Rope used to tie animals	दाम्लो	
226	[maŋre]	Bread	दाह्री	Rise
227	[t̪aptse]	To measure	नाप्नु	Low-Rise
228	[paŋlek]	Plank	फल्याक	High
229	[sup]	Hole	प्वाल	High
230	[t̪ʰoŋ]	Plough (noun)	हलो	High
231	[kʰaptɕju]	Lid (cover)	बिर्को	High
232	[joaɡa]	Handle	बिँड	
233	[t̪om]	Bear	भालु	Rise
234	[ɦendi]	Ghost	भुत	Rise
235	[tɕʰja]	Manure	मल	High 
236	[kʰura]	Bread	रोटी	Mid-High
237	[ro]/[pʰumbu]	Corpse	लास	Low-Rise/ High
238	[pʰa]	Pig	सुँगुर	Mid-High
239	[du]	Grains	अन्न	Rise
240	[perka]	Stick	लठ्ठी	Mid
241	[ŋuldʑju]	Sweat	पसिना	High
242	[d̪etse]	To chew	चपाउनु	Rise
243	[ɲiktse]	To swallow	निल्नु	
244	[kurtse]	To throw	फ्याँक्नु	High
