ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	NOTE
1415	Sherpa	Evening	ɡuŋse	ɡuŋse	g u.ŋ + s e	evening night/se	811 814	99	g u.ŋ + s e	[x]
1658	Tsum	Evening	kuŋmu	kuŋmu	k u.ŋ + m u	evening :mu-suffix/mu	811 3365	250	k u.ŋ + m u	[x]
1922	Yolmo	Evening	kuŋse	kuŋse	k u.ŋ + s e	evening night/se	811 814	99	k u.ŋ + s e	[x]
135	Gyalsumdo	Yesterday	t̪aŋ	t̪aŋ	t̪ a.ŋ	yesterday	3753	1151	t̪ a.ŋ	[x]
395	Jirel	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd a.ŋ	yesterday	3753	1151	ⁿd a.ŋ	[x]
654	Kagate	Yesterday	d̪aŋ	d̪aŋ	d̪ a.ŋ	yesterday	3753	1151	d̪ a.ŋ	[x]
909	Lowa	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd a.ŋ	yesterday	3753	1151	ⁿd a.ŋ	[x]
1162	Nubri	Yesterday	t̪aŋ	t̪aŋ	t̪ a.ŋ	yesterday	3753	1151	t̪ a.ŋ	[x]
1416	Sherpa	Yesterday	d̪aŋ	d̪aŋ	d̪ a.ŋ	yesterday	3753	1151	d̪ a.ŋ	[x]
1659	Tsum	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd a.ŋ	yesterday	3753	1151	ⁿd a.ŋ	[x]
1923	Yolmo	Yesterday	nd̪aŋ	nd̪aŋ	ⁿd a.ŋ	yesterday	3753	1151	ⁿd a.ŋ	[x]
136	Gyalsumdo	Today	t̪iɹiŋ	t̪iɹiŋ	t̪ i + ɹ i.ŋ	today long	79 1607	1018	t̪ i + ɹ i.ŋ -	[x]
396	Jirel	Today	tʰəɹiŋ	tʰəɹiŋ	tʰ ə + ɹ i.ŋ	today long	79 1607	1018	tʰ ə + ɹ i.ŋ -	[x]
655	Kagate	Today	t̪iriŋ	t̪iriŋ	t̪ i + r i.ŋ	today long	79 1607	1018	t̪ i + r i.ŋ -	[x]
910	Lowa	Today	t̪iɾiŋ	t̪iɾiŋ	t̪ i + ɾ i.ŋ	today long	79 1607	1018	t̪ i + ɾ i.ŋ -	[x]
1163	Nubri	Today	t̪iɹiŋ	t̪iɹiŋ	t̪ i + ɹ i.ŋ	today long	79 1607	1018	t̪ i + ɹ i.ŋ -	[x]
1417	Sherpa	Today	ariŋ	ariŋ	a + r i.ŋ	:a-prefix long	489 1607	103	a + r i.ŋ -	[x]
1660	Tsum	Today	t̪iɾiŋ	t̪iɾiŋ	t̪ i + ɾ i.ŋ	today long	79 1607	1018	t̪ i + ɾ i.ŋ -	[x]
1924	Yolmo	Today	t̪iɹiŋ	t̪iɹiŋ	t̪ i + ɹ i.ŋ	today long	79 1607	1018	t̪ i + ɹ i.ŋ -	[x]
137	Gyalsumdo	Tomorrow	ŋato	ŋato	ŋ a + t o	tomorrow/ŋar tomorrow/to	3347 3348	1028	ŋ a - + t o	[x]
397	Jirel	Tomorrow	ŋaɹo	ŋaɹo	ŋ a + ɹ o	tomorrow/ŋar tomorrow/to	3347 3349	1028	ŋ a - + ɹ o	[x]
656	Kagate	Tomorrow	ŋart̪o	ŋart̪o	ŋ a.r + t̪ o	tomorrow/ŋar tomorrow/to	3347 3348	1028	ŋ a.r + t̪ o	[x]
