ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
144	Jirel_Sikri	HEAVY	1210	tsinde /tsende			heavy	1210	HEAVY	2
146	Jirel_Sikri	ABOVE	1741	kheŋla 			above	1741	ABOVE	2
148	Jirel_Sikri	WHITE	1335	karmu			white	1335	WHITE	2
149	Jirel_Sikri	BLACK	163	nakpo			black	163	BLACK	2
150	Jirel_Sikri	RED	156	mərmu /marmu			red	156	RED	2
151	Jirel_Sikri	ONE	1493	dakpəi /dokpai			one	1493	ONE	2
152	Jirel_Sikri	TWO	1498	ŋi			two	1498	TWO	2
153	Jirel_Sikri	THREE	492	sum			three	492	THREE	2
154	Jirel_Sikri	FOUR	1500	si			four	1500	FOUR	2
155	Jirel_Sikri	FIVE	493	ŋa			five	493	FIVE	2
156	Jirel_Sikri	SIX	1703	ṭhuk			six	1703	SIX	2
157	Jirel_Sikri	SEVEN	1704	don			seven	1704	SEVEN	2
158	Jirel_Sikri	EIGHT	1705	get			eight	1705	EIGHT	2
159	Jirel_Sikri	NINE	1483	gu			nine	1483	NINE	2
160	Jirel_Sikri	TEN	1515	tsutamba /tsətəmba			ten	1515	TEN	2
161	Jirel_Sikri	ELEVEN	1706	tsutsik			eleven	1706	ELEVEN	2
162	Jirel_Sikri	TWELVE	1707	tsuŋgi			twelve	1707	TWELVE	2
163	Jirel_Sikri	TWENTY	1710	khaldzik/khadzjuk 			twenty	1710	TWENTY	2
164	Jirel_Sikri	HUNDRED	1634	səe dzik			one hundred	1634	HUNDRED	2
165	Jirel_Sikri	WHO	1235	su			who	1235	WHO	2
166	Jirel_Sikri	WHAT	1236	tsi			what	1236	WHAT	2
167	Jirel_Sikri	WHERE	1237	khapa			where	1237	WHERE	2
168	Jirel_Sikri	WHEN	1238	nam			when	1238	WHEN	2
169	Jirel_Sikri	HOW MANY	822	thoe			how many	822	HOW MANY	2
170	Jirel_Sikri	WHICH	727	khaŋ			which	727	WHICH	2
171	Jirel_Sikri	THIS	1214	di			this	1214	THIS	2
172	Jirel_Sikri	THAT	78	the			that	78	THAT	2
173	Jirel_Sikri	THIS	1214	diba / diwa			these	1214	THIS	2
174	Jirel_Sikri	THAT	78	theba /thewa			those	78	THAT	2
175	Jirel_Sikri	SAME	200	dhokraŋ			same	200	SAME	2
176	Jirel_Sikri	DIFFERENT	2504	dzendzik/khuduk			different	2504	DIFFERENT	2
177	Jirel_Sikri	WHOLE	2277	gaŋe			whole	2277	WHOLE	2
178	Jirel_Sikri	BROKEN	588	tsjakpate			broken	588	BROKEN	2
179	Jirel_Sikri	FEW	1242	ṭikpi			few	1242	FEW	2
181	Jirel_Sikri	ALL	98	gaŋe			all	98	ALL	2
182	Jirel_Sikri	EAT	1336	sobap / satsja			to eat	1336	EAT	1
183	Jirel_Sikri	BITE	1403	murap / sataptsja			to bite	1403	BITE	1
184	Jirel_Sikri	BE HUNGRY	1533	twabalasuŋ			to  be hungry	1533	BE HUNGRY	3
185	Jirel_Sikri	DRINK	1401	thubap /thuŋtsja			to drink	1401	DRINK	1
186	Jirel_Sikri	THIRSTY	847	kombalasuŋ / kombalatsja			to  be thirsty	847	THIRSTY	3
187	Jirel_Sikri	SLEEP	1585	ŋjalap /ŋjaltsja			to sleep	1585	SLEEP	1
188	Jirel_Sikri	LIE (REST)	1411	rilap /riltsja			to lie	1411	LIE (REST)	1
189	Jirel_Sikri	SIT	1416	detap / dettsja			to  sit	1416	SIT	3
190	Jirel_Sikri	GIVE	1447	bindap/ tersja			to  give 	1447	GIVE	3
192	Jirel_Sikri	DIE	1494	situŋ /sitsja			to die	1494	DIE	1
194	Jirel_Sikri	FLY (MOVE THROUGH AIR)	1441	phurap/ phurtsja			to  fly	1441	FLY (MOVE THROUGH AIR)	3
201	Jirel_Sikri	LOOK	1819	tawap /tatshja			to  look/look	1819	LOOK	3
202	Jirel_Sikri	I	1209	ŋa			I 	1209	I	2
203	Jirel_Sikri	THOU	1215	kho			you (informal)	1215	THOU	2
204	Jirel_Sikri	YOU (FORMAL ADDRESS)	2844	khoraŋ			you (formal)	2844	YOU (FORMAL ADDRESS)	2
206	Jirel_Sikri	SHE	1834	the 			she	1834	SHE	2
207	Jirel_Sikri	WE (INCLUSIVE)	1131	ŋwokon /oroŋ 			we (inclusive)	1131	WE (INCLUSIVE)	2
208	Jirel_Sikri	WE (EXCLUSIVE)	1130	ŋwokon /oroŋ			we (exclusive)	1130	WE (EXCLUSIVE)	2
209	Jirel_Sikri	YOU	1213	kjokonbəri /khekon			you (plural)	1213	YOU	2
210	Jirel_Sikri	THEY	817	thewabəri /theba			they	817	THEY	2
#	210/210	100%							

