ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	GLOSSNEPALI	ORTHOGRAPHIC
1	Nubri_Namrung	BODY	1480	sṳ			body	शरीर	१
2	Nubri_Namrung	HEAD	1256	gō			head	टाउको	२
3	Nubri_Namrung	HAIR	1040	ʃà			hair	कपाल	३
4	Nubri_Namrung	FACE	1560	ŋōdoŋ			face	अनुहार	४
5	Nubri_Namrung	EYE	1248	mìk			eye	आँखा	५
6	Nubri_Namrung	EAR	1247	amtsók			ear	कान	६
7	Nubri_Namrung	NOSE	1221	narki			nose	नाक	७
8	Nubri_Namrung	MOUTH	674	kʰa			mouth	मुख	८
9	Nubri_Namrung	TOOTH	1380	sō			teeth	दाँत	९
10	Nubri_Namrung	TONGUE	1205	tsjeũ			tongue	जिब्रो	१०
11	Nubri_Namrung	BREAST	1402	nowa			breast	स्तन	११
12	Nubri_Namrung	BELLY	1251	ɖʰopa			belly	पेट	१२
13	Nubri_Namrung	ARM	1673	la̤kpa			arm/ hand	हात	१३
14	Nubri_Namrung	ELBOW	981	rúdzuma			elbow	कुइनो	१४
15	Nubri_Namrung	PALM TREE	1181	para			palm	हत्केला	१५
16	Nubri_Namrung	FINGER	1303	dziũ			finger	औँला	१६
17	Nubri_Namrung	FINGERNAIL	1258	sérmo			fingernail	नङ	१७
18	Nubri_Namrung	LEG	1297	kaŋba			leg	खुट्टा	१८
19	Nubri_Namrung	SKIN	763	pegò			skin	छाला	१९
20	Nubri_Namrung	BONE	1394	ruipa			bone	हाड	२०
21	Nubri_Namrung	HEART	1223	niŋ			heart	मुटु	२१
22	Nubri_Namrung	BLOOD	946	ʈʰak			blood	रगत	२२
23	Nubri_Namrung	URINE	1142	tsin			urine	पिसाब	२३
24	Nubri_Namrung	FAECES (EXCREMENT)	675	ã			feces	दिसा	२४
25	Nubri_Namrung	VILLAGE	930	hjṳl			village	गाउँ	२५
26	Nubri_Namrung	HOUSE	1252	kʰim			house	घर	२६
27	Nubri_Namrung	ROOF	769	tʰok			roof	छानो	२७
28	Nubri_Namrung	DOOR	1567	gò			door	ढोका	२८
29	Nubri_Namrung	FIREWOOD	10	sīŋ			firewood	दाउरा	२९
30	Nubri_Namrung	BROOM	245	koŋmo			broom	कुचो	३०
31	Nubri_Namrung	MORTAR CRUSHER	224	gókdzum			mortar	सिलौटो	३१
32	Nubri_Namrung	PESTLE	225	tīktsa			pestle	लोहोरो	३२
33	Nubri_Namrung	HAMMER	1481	tʰówa			hammer	हथौडा	३३
34	Nubri_Namrung	KNIFE	1352	ɖiù			knife	चक्कु	३४
35	Nubri_Namrung	AXE	677	tʌri			axe	बञ्चरो	३५
36	Nubri_Namrung	ROPE	1218	tʰakpa			rope	डोरी	३६
37	Nubri_Namrung	THREAD	1161	siŋga			thread	धागो	३७
38	Nubri_Namrung	NEEDLE (FOR SEWING)	1382	kʰap			needle	सियो	३८
39	Nubri_Namrung	CLOTH	1616	golák			cloth	लुगा (कपडा)	३९
40	Nubri_Namrung	RING	1374	sertop			ring	औँठी	४०
41	Nubri_Namrung	SUN	1343	ŋewa			sun	घाम	४१
42	Nubri_Namrung	MOON	1313	da̤wa			moon	चन्द्रमा	४२
