"","DOCULECT","CONCEPT","CONCEPTID"
"1","Tsum","BELLY","2527"
"2","Tsum","ARM","2489"
"3","Tsum","PALM TREE","2093"
"4","Tsum","FIREWOOD","988"
"5","Tsum","NEEDLE (FOR SEWING)","2214"
"6","Tsum","CLOTH","2603"
"7","Tsum","PATH","204"
"8","Tsum","ASH","1097"
"9","Tsum","FRUIT","2670"
"10","Tsum","RICE","313"
"11","Tsum","CHILI PEPPER","1542"
"12","Tsum","OIL (ORGANIC SUBSTANCE)","1685"
"13","Tsum","FAT (OF MEAT AND FOOD)","349"
"14","Tsum","CHICKEN","2437"
"15","Tsum","HORN (ANATOMY)","591"
"16","Tsum","MAN","902"
"17","Tsum","OLDER BROTHER","1807"
"18","Tsum","YOUNGER SISTER","2576"
"19","Tsum","SON","464"
"20","Tsum","DAUGHTER","1814"
"21","Tsum","NIGHT","2737"
"22","Tsum","TOMORROW","98"
"23","Tsum","YEAR","2650"
"24","Tsum","DRY","1118"
"25","Tsum","HOW MANY","1818"
"26","Tsum","SAME","27"
"27","Tsum","FEW","968"
"28","Tsum","LIE (REST)","2496"
"29","Tsum","BURN","1953"
"30","Tsum","KILL","2022"
"31","Tsum","LISTEN","1822"
"32","Tsum","THOU","404"
"33","Tsum","YOU (FORMAL ADDRESS)","1964"
"34","Tsum","HE","802"
"35","Tsum","SHE","1597"
"36","Tsum","WE (EXCLUSIVE)","1581"
"37","Tsum","THEY","2050"
"38","Tsum","HAIL","1861"
"39","Tsum","HEEL","2882"
"40","Tsum","BOARD","1741"
"41","Tsum","PLOUGH (INSTRUMENT)","1789"
"42","Tsum","LID (COVER, CAP)","901"
"43","Tsum","DUNG (ANIMAL FAECES)","1815"
"44","Tsum","BREAD","303"
"45","Tsum","PIG","2469"
"46","Tsum","THROW","2924"
"47","Tsum","MOUSTACHE","290"
"48","Nubri","HEAD","404"
"49","Nubri","NOSE","82"
"50","Nubri","TOOTH","1673"
"51","Nubri","BREAST","988"
"52","Nubri","BELLY","1542"
"53","Nubri","ARM","1097"
"54","Nubri","ELBOW","2737"
"55","Nubri","PALM TREE","3056"
"56","Nubri","FINGERNAIL","2093"
"57","Nubri","SKIN","1017"
"58","Nubri","BONE","349"
"59","Nubri","BLOOD","1118"
"60","Nubri","MORTAR CRUSHER","896"
"61","Nubri","PESTLE","9"
"62","Nubri","HAMMER","464"
"63","Nubri","KNIFE","2576"
"64","Nubri","CLOTH","2496"
"65","Nubri","RING","1873"
"66","Nubri","SUN","2847"
"67","Nubri","MOON","2804"
"68","Nubri","SKY","1320"
"69","Nubri","STAR","2357"
"70","Nubri","RIVER","1935"
"71","Nubri","RAINBOW","181"
"72","Nubri","WIND","2212"
"73","Nubri","PATH","2096"
"74","Nubri","SAND","1648"
"75","Nubri","SMOKE (INHALE)","1778"
"76","Nubri","ASH","2527"
"77","Nubri","GOLD","27"
"78","Nubri","FRUIT","2469"
"79","Nubri","MANGO","1863"
"80","Nubri","BANANA","303"
"81","Nubri","POTATO","587"
"82","Nubri","AUBERGINE","1741"
"83","Nubri","PEANUT","803"
"84","Nubri","CHILI PEPPER","901"
"85","Nubri","TURMERIC","1885"
"86","Nubri","GARLIC","1789"
"87","Nubri","ONION","2757"
"88","Nubri","CAULIFLOWER","2882"
"89","Nubri","TOMATO","2632"
"90","Nubri","CABBAGE","802"
"91","Nubri","FAT (OF MEAT AND FOOD)","1685"
"92","Nubri","CHICKEN","2022"
"93","Nubri","EGG","2214"
"94","Nubri","BUFFALO","1861"
"95","Nubri","MILK","65"
"96","Nubri","HORN (ANATOMY)","2650"
"97","Nubri","TAIL","2046"
"98","Nubri","DOG","1822"
"99","Nubri","MONKEY","2987"
"100","Nubri","MOSQUITO","1669"
"101","Nubri","ANT","2489"
"102","Nubri","SPIDER","2745"
"103","Nubri","WOMAN","977"
"104","Nubri","YOUNGER BROTHER","1894"
"105","Nubri","OLDER SISTER","1826"
"106","Nubri","YOUNGER SISTER","1309"
"107","Nubri","BOY","968"
"108","Nubri","GIRL","313"
"109","Nubri","NOON","1577"
"110","Nubri","WEEK","1561"
"111","Nubri","YEAR","1925"
"112","Nubri","DRY","902"
"113","Nubri","SHORT","1000"
"114","Nubri","HEAVY","2924"
"115","Nubri","BLACK","1814"
"116","Nubri","HOW MANY","1964"
"117","Nubri","WHICH","1568"
"118","Nubri","WHOLE","1387"
"119","Nubri","BROKEN","2670"
"120","Nubri","FEW","1807"
"121","Nubri","BITE","2603"
"122","Nubri","BE HUNGRY","1953"
"123","Nubri","THIRSTY","876"
"124","Nubri","LIE (REST)","2535"
"125","Nubri","WALK","2121"
"126","Nubri","LISTEN","1676"
"127","Nubri","THOU","261"
"128","Nubri","YOU (FORMAL ADDRESS)","646"
"129","Nubri","WE (INCLUSIVE)","1886"
"130","Nubri","WE (EXCLUSIVE)","1061"
"131","Nubri","FLOUR","204"
"132","Nubri","HAIL","1597"
"133","Nubri","YARD","1889"
"134","Nubri","OVEN","619"
"135","Nubri","HEEL","98"
"136","Nubri","TIE","2980"
"137","Nubri","BEARD","2437"
"138","Nubri","BOARD","1815"
"139","Nubri","HOLE","1581"
"140","Nubri","PLOUGH (INSTRUMENT)","1275"
"141","Nubri","LID (COVER, CAP)","853"
"142","Nubri","HANDLE","2050"
"143","Nubri","DUNG (ANIMAL FAECES)","290"
"144","Nubri","CHEW","1818"
"145","Nubri","CAVE","591"
"146","Nubri","MOUSTACHE","1870"
"147","Nubri_Namrung","MANGO","902"
"148","Nubri_Namrung","BANANA","1097"
"149","Nubri_Namrung","AUBERGINE","2489"
"150","Nubri_Namrung","PEANUT","2093"
"151","Nubri_Namrung","TURMERIC","98"
"152","Nubri_Namrung","CAULIFLOWER","2603"
"153","Nubri_Namrung","TOMATO","2924"
"154","Nubri_Namrung","CABBAGE","1542"
"155","Nubri_Namrung","MOSQUITO","2214"
"156","Nubri_Namrung","NOON","1685"
"157","Nubri_Namrung","DIFFERENT","349"
"158","Nubri_Namrung","LOAD","1822"
"159","Nubri_Namrung","FLOUR","988"
"160","Nubri_Namrung","HAIL","802"
"161","Nubri_Namrung","INTESTINES","901"
"162","Nubri_Namrung","YARD","2650"
"163","Nubri_Namrung","OVEN","1807"
"164","Nubri_Namrung","HEEL","591"
"165","Nubri_Namrung","SPADE","313"
"166","Nubri_Namrung","HORSE","2022"
"167","Nubri_Namrung","WOUND","1581"
"168","Nubri_Namrung","PLOUGH","2469"
"169","Nubri_Namrung","TIE","404"
"170","Nubri_Namrung","BEAM","2527"
"171","Nubri_Namrung","BEARD","303"
"172","Nubri_Namrung","MEASURE","290"
"173","Nubri_Namrung","BOARD","1953"
"174","Nubri_Namrung","HOLE","1818"
"175","Nubri_Namrung","PLOUGH (INSTRUMENT)","1789"
"176","Nubri_Namrung","LID (COVER, CAP)","2496"
"177","Nubri_Namrung","HANDLE","2882"
"178","Nubri_Namrung","BEAR","1741"
"179","Nubri_Namrung","GHOST","2670"
"180","Nubri_Namrung","DUNG (ANIMAL FAECES)","968"
"181","Nubri_Namrung","BREAD","2437"
"182","Nubri_Namrung","CORPSE","1815"
"183","Nubri_Namrung","PIG","204"
"184","Nubri_Namrung","GRAIN","1861"
"185","Nubri_Namrung","STICK","27"
"186","Nubri_Namrung","SWEAT (SUBSTANCE)","464"
"187","Nubri_Namrung","CHEW","1118"
"188","Nubri_Namrung","SWALLOW","1597"
"189","Nubri_Namrung","THROW","2050"
"190","Nubri_Namrung","CAVE","1814"
"191","Nubri_Namrung","MOUSTACHE","2737"
"192","Nubri_Lhi","MANGO","290"
"193","Nubri_Lhi","BANANA","2527"
"194","Nubri_Lhi","AUBERGINE","1097"
"195","Nubri_Lhi","PEANUT","204"
"196","Nubri_Lhi","TURMERIC","1581"
"197","Nubri_Lhi","CAULIFLOWER","1118"
"198","Nubri_Lhi","TOMATO","98"
"199","Nubri_Lhi","CABBAGE","1814"
"200","Nubri_Lhi","BUFFALO","2603"
"201","Nubri_Lhi","MOSQUITO","2737"
"202","Nubri_Lhi","NOON","1807"
"203","Nubri_Lhi","ALL","2489"
"204","Nubri_Lhi","LOAD","902"
"205","Nubri_Lhi","FLOUR","2670"
"206","Nubri_Lhi","HAIL","2882"
"207","Nubri_Lhi","INTESTINES","2496"
"208","Nubri_Lhi","YARD","1964"
"209","Nubri_Lhi","OVEN","2093"
"210","Nubri_Lhi","HEEL","1818"
"211","Nubri_Lhi","SPADE","27"
"212","Nubri_Lhi","HORSE","901"
"213","Nubri_Lhi","WOUND","2650"
"214","Nubri_Lhi","PLOUGH","1789"
"215","Nubri_Lhi","TIE","2924"
"216","Nubri_Lhi","BEAM","1741"
"217","Nubri_Lhi","BEARD","1953"
"218","Nubri_Lhi","MEASURE","2214"
"219","Nubri_Lhi","BOARD","2437"
"220","Nubri_Lhi","HOLE","2022"
"221","Nubri_Lhi","PLOUGH (INSTRUMENT)","313"
"222","Nubri_Lhi","LID (COVER, CAP)","1822"
"223","Nubri_Lhi","HANDLE","591"
"224","Nubri_Lhi","BEAR","303"
"225","Nubri_Lhi","GHOST","1861"
"226","Nubri_Lhi","DUNG (ANIMAL FAECES)","988"
"227","Nubri_Lhi","BREAD","1542"
"228","Nubri_Lhi","CORPSE","968"
"229","Nubri_Lhi","PIG","2469"
"230","Nubri_Lhi","GRAIN","802"
"231","Nubri_Lhi","STICK","1597"
"232","Nubri_Lhi","SWEAT (SUBSTANCE)","2050"
"233","Nubri_Lhi","CHEW","349"
"234","Nubri_Lhi","SWALLOW","464"
"235","Nubri_Lhi","THROW","404"
"236","Nubri_Lhi","CAVE","1815"
"237","Nubri_Lhi","MOUSTACHE","1685"
"238","Nubri_Lho","FRUIT","2670"
"239","Nubri_Lho","MANGO","290"
"240","Nubri_Lho","BANANA","2527"
"241","Nubri_Lho","AUBERGINE","1097"
"242","Nubri_Lho","PEANUT","2093"
"243","Nubri_Lho","TURMERIC","98"
"244","Nubri_Lho","CAULIFLOWER","1814"
"245","Nubri_Lho","TOMATO","2924"
"246","Nubri_Lho","CABBAGE","2603"
"247","Nubri_Lho","MOSQUITO","2737"
"248","Nubri_Lho","ALL","2489"
"249","Nubri_Lho","LOAD","902"
"250","Nubri_Lho","FLOUR","988"
"251","Nubri_Lho","HAIL","2882"
"252","Nubri_Lho","INTESTINES","2496"
"253","Nubri_Lho","YARD","2650"
"254","Nubri_Lho","OVEN","1807"
"255","Nubri_Lho","HEEL","1818"
"256","Nubri_Lho","SPADE","313"
"257","Nubri_Lho","HORSE","901"
"258","Nubri_Lho","WOUND","1581"
"259","Nubri_Lho","PLOUGH","2469"
"260","Nubri_Lho","TIE","404"
"261","Nubri_Lho","BEAM","1741"
"262","Nubri_Lho","BEARD","1953"
"263","Nubri_Lho","MEASURE","2214"
"264","Nubri_Lho","BOARD","2437"
"265","Nubri_Lho","HOLE","2022"
"266","Nubri_Lho","PLOUGH (INSTRUMENT)","1789"
"267","Nubri_Lho","LID (COVER, CAP)","1822"
"268","Nubri_Lho","HANDLE","591"
"269","Nubri_Lho","BEAR","303"
"270","Nubri_Lho","GHOST","1861"
"271","Nubri_Lho","DUNG (ANIMAL FAECES)","968"
"272","Nubri_Lho","BREAD","1542"
"273","Nubri_Lho","CORPSE","349"
"274","Nubri_Lho","PIG","204"
"275","Nubri_Lho","GRAIN","802"
"276","Nubri_Lho","STICK","27"
"277","Nubri_Lho","SWEAT (SUBSTANCE)","464"
"278","Nubri_Lho","CHEW","1815"
"279","Nubri_Lho","SWALLOW","1597"
"280","Nubri_Lho","THROW","2050"
"281","Nubri_Lho","CAVE","1118"
"282","Nubri_Lho","MOUSTACHE","1685"
"283","Nubri_Sama","DUST","1818"
"284","Nubri_Sama","FRUIT","901"
"285","Nubri_Sama","MANGO","313"
"286","Nubri_Sama","BANANA","2527"
"287","Nubri_Sama","AUBERGINE","1097"
"288","Nubri_Sama","PEANUT","2924"
"289","Nubri_Sama","CHILI PEPPER","1861"
"290","Nubri_Sama","TURMERIC","896"
"291","Nubri_Sama","CAULIFLOWER","968"
"292","Nubri_Sama","TOMATO","2804"
"293","Nubri_Sama","CABBAGE","349"
"294","Nubri_Sama","BUFFALO","1118"
"295","Nubri_Sama","MOSQUITO","1597"
"296","Nubri_Sama","BOY","2603"
"297","Nubri_Sama","GIRL","1822"
"298","Nubri_Sama","NOON","2050"
"299","Nubri_Sama","SAME","1964"
"300","Nubri_Sama","DIFFERENT","2882"
"301","Nubri_Sama","ALL","2489"
"302","Nubri_Sama","BE HUNGRY","1741"
"303","Nubri_Sama","LIE (REST)","2469"
"304","Nubri_Sama","BURN","1815"
"305","Nubri_Sama","SHE","2576"
"306","Nubri_Sama","WE (EXCLUSIVE)","1669"
"307","Nubri_Sama","LOAD","1789"
"308","Nubri_Sama","FLOUR","2022"
"309","Nubri_Sama","HAIL","290"
"310","Nubri_Sama","INTESTINES","2093"
"311","Nubri_Sama","YARD","1577"
"312","Nubri_Sama","OVEN","404"
"313","Nubri_Sama","HEEL","2737"
"314","Nubri_Sama","SPADE","853"
"315","Nubri_Sama","HORSE","1807"
"316","Nubri_Sama","WOUND","1870"
"317","Nubri_Sama","PLOUGH","1581"
"318","Nubri_Sama","TIE","2987"
"319","Nubri_Sama","BEAM","303"
"320","Nubri_Sama","BEARD","2437"
"321","Nubri_Sama","MEASURE","27"
"322","Nubri_Sama","BOARD","1542"
"323","Nubri_Sama","HOLE","1685"
"324","Nubri_Sama","PLOUGH (INSTRUMENT)","2650"
"325","Nubri_Sama","LID (COVER, CAP)","204"
"326","Nubri_Sama","HANDLE","2214"
"327","Nubri_Sama","BEAR","1953"
"328","Nubri_Sama","GHOST","2496"
"329","Nubri_Sama","DUNG (ANIMAL FAECES)","591"
"330","Nubri_Sama","BREAD","1814"
"331","Nubri_Sama","CORPSE","802"
"332","Nubri_Sama","PIG","98"
"333","Nubri_Sama","GRAIN","902"
"334","Nubri_Sama","STICK","2535"
"335","Nubri_Sama","SWEAT (SUBSTANCE)","1863"
"336","Nubri_Sama","CHEW","2670"
"337","Nubri_Sama","SWALLOW","1676"
"338","Nubri_Sama","THROW","65"
"339","Nubri_Sama","CAVE","988"
"340","Nubri_Sama","MOUSTACHE","464"
"341","Nubri_Sho","FRUIT","802"
"342","Nubri_Sho","MANGO","1685"
"343","Nubri_Sho","BANANA","2527"
"344","Nubri_Sho","BARLEY","1741"
"345","Nubri_Sho","AUBERGINE","1097"
"346","Nubri_Sho","PEANUT","1789"
"347","Nubri_Sho","TURMERIC","2576"
"348","Nubri_Sho","CAULIFLOWER","1118"
"349","Nubri_Sho","TOMATO","1964"
"350","Nubri_Sho","CABBAGE","1814"
"351","Nubri_Sho","NOON","204"
"352","Nubri_Sho","DIFFERENT","988"
"353","Nubri_Sho","ALL","2489"
"354","Nubri_Sho","HE","901"
"355","Nubri_Sho","SHE","464"
"356","Nubri_Sho","LOAD","2737"
"357","Nubri_Sho","FLOUR","1861"
"358","Nubri_Sho","HAIL","1818"
"359","Nubri_Sho","INTESTINES","290"
"360","Nubri_Sho","YARD","2535"
"361","Nubri_Sho","OVEN","2469"
"362","Nubri_Sho","HEEL","2496"
"363","Nubri_Sho","SPADE","2050"
"364","Nubri_Sho","HORSE","902"
"365","Nubri_Sho","WOUND","853"
"366","Nubri_Sho","PLOUGH","27"
"367","Nubri_Sho","TIE","2650"
"368","Nubri_Sho","BEAM","303"
"369","Nubri_Sho","BEARD","2437"
"370","Nubri_Sho","MEASURE","1807"
"371","Nubri_Sho","BOARD","1542"
"372","Nubri_Sho","HOLE","1822"
"373","Nubri_Sho","PLOUGH (INSTRUMENT)","1597"
"374","Nubri_Sho","LID (COVER, CAP)","2214"
"375","Nubri_Sho","HANDLE","2022"
"376","Nubri_Sho","BEAR","1953"
"377","Nubri_Sho","GHOST","2882"
"378","Nubri_Sho","DUNG (ANIMAL FAECES)","2670"
"379","Nubri_Sho","BREAD","2603"
"380","Nubri_Sho","CORPSE","968"
"381","Nubri_Sho","PIG","313"
