ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos
1317	Nubri	RAIN (RAINING)	1253	nám			rain	n.
1318	Nubri			ne			to say [Sama]	v.
1319	Nubri			-ne			ablative case	gram.
1320	Nubri			nei			young yak	n.
1321	Nubri			neu			tip, edge	n.
1322	Nubri	NEWS	2964	netshul			news	n.
1323	Nubri	STORY	2060	nedʏ			story	n.
1324	Nubri			nepal			Nepal	n.
1325	Nubri			nepali			Nepali (Nep.)	n.
1326	Nubri	PRESS	1913	nem			to press	v.
1327	Nubri			neʃimu			a kind of mushroom	n.
1328	Nubri	WHEAT	1077	nè			wheat	n.
1329	Nubri	BARLEY	932	nè			barley	n.
1330	Nubri			ni			also	adv.
1331	Nubri			-ni			ablative case	gram.
1332	Nubri			no			younger brother and daughter	n.
1333	Nubri	THOUGHT	2975	noksam			thought	n.
1334	Nubri			noŋ			to damage; to be damaged; to be spoiled	v.
1335	Nubri	MISTAKE	1293	noɖu			mistake	n.
1336	Nubri	FAULT	134	nonʈhul			fault	n.
1337	Nubri			norbu			Norbu [PN]	n.
1338	Nubri			norbugjaltsen 			NorbuGhyalchen [PN]	n.
1339	Nubri	DESTROY	681	norme			to destroy	v.
1340	Nubri			norme			effect	n.
1341	Nubri			nowa			breast [Sama. cf. dʒu]	n.
1342	Nubri	WEST	1817	nup			west	adj.
1343	Nubri			nubri			Nubri	n.
1344	Nubri	OIL (ORGANIC SUBSTANCE)	1484	num			oil	n.
1345	Nubri	SHARP	1396	numpu			sharp	adj.
1346	Nubri	BLUNT	379	numpu mindu			blunt	adj.
1347	Nubri			nurbu			Nurbu [PN]	n.
1348	Nubri			nurbugjaltsen			Norbugyalchen (name of a male person)	n.
1349	Nubri	THINK	2271	nø			to think	v.
1350	Nubri			njorere			everyday	adv.
1351	Nubri	FATHER	1217	pa			father	n.
1352	Nubri			-pa			nominalizer (a suffix used to derive noun from other categories)	gram.
1353	Nubri			pa gjap			to churn	v.
1354	Nubri			pakne			scabbies	n.
1355	Nubri			paŋke			flower of purple colour	n.
1356	Nubri			paŋkep			cloth worn by women on front part of body	n.
1357	Nubri			paŋdza			Pangja (name of a place)	n.???where located?
1358	Nubri			paŋlep			plank	n.
1359	Nubri			patshap			substitute father	n.
1360	Nubri			pap			to drive down (drive the yaks and other animals from cliff)	v.
1361	Nubri			par			photo	n.
1362	Nubri	BURNING	1428	par			to burn (intr.)	v.
1363	Nubri	BEAM	1132	pal			beam	n.
1364	Nubri			pale			roof (wooden roof)	n.
1365	Nubri	BEAM	1132	palduŋ			beam	n.
1366	Nubri			pasaŋ			Pasang (name of a person)	n.
1367	Nubri	OPEN	1156	pe			open	n.
1368	Nubri	VERY	1311	pe			very	adv.
1369	Nubri			pe			example	n.
1370	Nubri			pe			incent	n.
1371	Nubri	SEPARATE	1359	pe			to separate	v.
1372	Nubri			pe			to open (intr.tran.)	v.
1373	Nubri			petsa			book (Hon.)	n.
1374	Nubri			peptʃak			wooden fence	n.
1375	Nubri			pemasi			very (Tib.)	adv.
1376	Nubri			pemba			Saturday, name of a male person	n.
1377	Nubri			peri gompa			Peri gompa [PN]	n.
1378	Nubri	RELATIVES	1644	piŋkja			relative	n.
1379	Nubri			pima			owned by more than two people	adj.
1380	Nubri			-po			classifier	gram.
1381	Nubri			portsok			Porchok (name of a person)	n.
1382	Nubri			pola			outer layer of corn spadix	n.
1383	Nubri			pu			hair (of body)	n.
1384	Nubri			puk			to fix a tent	v.
1385	Nubri	SHOULDER	1482	puŋba			shoulder	n.
1386	Nubri	PUSH	1452	pul			push	n.
1387	Nubri			pul			to offer	v.
1388	Nubri			pʏ			to go [Lho]	v.
1389	Nubri	RELATIVES	1644	pʏn			relative	n.
1390	Nubri	PARENTS	505	phã			parents	n.
1391	Nubri			pha			that side, thither [Lho, cf. phu]	adv.
1392	Nubri	PIGLET	2564	phakʈuk			piglet	n.
1393	Nubri	PIG	1337	phakpa			pig	n.
1394	Nubri	PARENTS	505	phãkja			parents	n.
1395	Nubri			phatse			approximately	adv.
1396	Nubri	NOW	1376	phatse			now	adv.
1397	Nubri			phatsu			witch doctor	n.
1398	Nubri			phane manja			worthless thing	n.
1399	Nubri			phanemane			to be helpless	v.
1400	Nubri			pham			to lose a game	v.
1401	Nubri	PARENTS	505	phama			parents	n.
1402	Nubri			phamtʃuk			to defeat	v.
1403	Nubri	RELIGION	661	phajun			religion	n.
1404	Nubri	WOLF	522	phara			wolf	n.
1405	Nubri	AGAIN	204	phalam			again	adv.
1406	Nubri			phaldze			around	adv.
1407	Nubri	HALF	816	phe			half	adj.
1408	Nubri			phe			flour [Tib., cf. tsampa]	n.
1409	Nubri	HALF	816	pheka			half	adj.
1410	Nubri	OUTSIDE	762	pheta			outside	adv.
1411	Nubri	OUTSIDE	762	phetala			outside	adv.
1412	Nubri	BENEFIT	2929	phentho			benefit	n.
1413	Nubri			phenthok			to be useful	v.
1414	Nubri			phep			to go (Hon.)	v.
1415	Nubri			phĩ			to go (PST)	v.
1416	Nubri			phike			on back side	adv.
1417	Nubri			phin			go [Sama]	v.
1418	Nubri			phinaŋ			inside out (clothes)	adj.
1419	Nubri			phindzar			person who farts much	n.
1420	Nubri	FART	1159	phindi			to fart	v.
1421	Nubri	RELATIVES	1644	phima			relative	n.
1422	Nubri	FLY (MOVE THROUGH AIR)	1441	phir			to fly	v.
1423	Nubri			phirtsu			to make fly	v.
1424	Nubri	OUTSIDE	762	phila			outside	adv.
1425	Nubri	AGAIN	204	philam			again	adv.
1426	Nubri	BUTTERFLY	1791	philep			butterfly	n.
1427	Nubri			philo			reverse, contrary	adj.
1428	Nubri			phok			to be hit by something hard (such as stone)	v.
1429	Nubri			phoŋar			a kind of mushroom	n.
1430	Nubri			phon			telephone (Eng.)	n.
1431	Nubri			phoso tshumbu			looking handsome (male)	adj.
1432	Nubri			phu			that side, thither [Lho, cf. pha]	adv.
1433	Nubri			phu			cave [Lho, cf. phuku]	n.
1434	Nubri			phuku			cave [Sama, cf. phu]	n.
1435	Nubri	ALL	98	phuknak			all	adj.
1436	Nubri			phuta			there [Sama, cf. oda]	adv.
1437	Nubri			phul			to offer to monk	v.
1438	Nubri	SLEEVE	2953	phuluŋ			sleeve	n.
1439	Nubri			phʏ			liquor (hon)	n.
1440	Nubri			bã			grain storage container	n.
1441	Nubri			-ba			ordinal numeral marker	gram.
1442	Nubri			baudhdhə			Bodhdha	n.
1443	Nubri			baktʃa			belief that if you do good in this life, you will have easy life in later life	n.
1444	Nubri			bakta			big injury or wound	n.
1445	Nubri			baŋ			to make wet	v.
1446	Nubri			batsi			beaten rice	n.
1447	Nubri	LAMP	625	bati			lamp	n.
1448	Nubri			bap			to come down	v.
1449	Nubri	FALL	1280	bap gjal			to fall	v.
1450	Nubri	COURAGE	3049	bap tsheraŋ			courage	n.
1451	Nubri			bababap			pressed	adj.
1452	Nubri	FOG	249	bamo			mist	n.
1453	Nubri			bajul			Kathmandu [PN]	n.
1454	Nubri	BURN	2102	bar			to burn	v.
1455	Nubri	RICH	712	baro			rich	adj.
1456	Nubri			bardo			intermediary realm after death	n.
1457	Nubri	BETWEEN	689	balak			between	adv.
1458	Nubri			balaŋ			cow [Lho, cf. temo]	n.
1459	Nubri			be			particle (unexpectedly)	part.
1460	Nubri			be			throughout	adv.
1461	Nubri	DITCH	2002	bekuŋ			ditch	n.
1462	Nubri			beŋk			bank (Eng.)	n.
1463	Nubri			bejul			hidden valley	n.
1464	Nubri			beraŋ			totally	adv.
1465	Nubri	ALWAYS	1676	beraŋni			always	adv.
1466	Nubri			biŋ			to submerge	v.
1467	Nubri			boudda			Boudhdha (place in Kathmandu)	n.
1468	Nubri	BOTTLE	1321	bodal			bottle	n.
1469	Nubri			bora			sack (Nep.)	n.
1470	Nubri			bolon			loan	n.
1471	Nubri	SON	1620	bu			son	n.
1472	Nubri	INSECT	620	bu			insect	n.
1473	Nubri			bu			to go [Lho]	v.
1474	Nubri			bu			brother; brother in law; boy	n.
1475	Nubri	INSIDE	1606	bukla			inside	adj.
1476	Nubri	DONKEY	1862	buŋgu			donkey	n.
1477	Nubri			butsab			substitute son	n.
1478	Nubri			bubhõ			son and daughter	n.
1479	Nubri			burol			placenta	n.
1480	Nubri			buluk			bulb (of electricity)	n.
1481	Nubri			buʃu			hollow pipe like bamboo stick	n.
1482	Nubri			bø			to be spilled	v.
1483	Nubri			bhaŋde			hole in the wall to place something	n.
1484	Nubri			bhaʈʈa			pot for changing the water during its preparation	n.
1485	Nubri			bhandzaŋ			Bhanjhang  village [PN]	n.
1486	Nubri	FALL	1280	bhap			to fall	v.
1487	Nubri			bhar			place in between	n.
1488	Nubri			bharke			between [Lho, cf. kuŋ]	adv. 
1489	Nubri	HELL	878	bharku			hell	n.
1490	Nubri			bhartʃhe			plenatary influence	n.
1491	Nubri	BEFORE	1882	bhartu			till	post.
1492	Nubri	BETWEEN	689	bhala			between	adv.
1493	Nubri	SOMETIMES	1544	bhalak bhalak			sometimes	adv.
1494	Nubri	SOMETIMES	1544	bhalaksa			sometimes	adv.
1495	Nubri	COW	1007	bhalaŋ			cow	n.
1496	Nubri	BREAD	1368	bhale			bread	n.
1497	Nubri	FROG	503	bhalba			frog	n.
1498	Nubri			bhahjul			Kathmandu (capital city of Nepal)	n.
1499	Nubri			bhe			to split; to open	v.
1500	Nubri	HIDE (CONCEAL)	602	bhe			to hide	v.
1501	Nubri			bheka			interest (of money)	n.
1502	Nubri	CHILD	2099	bhetsa			child	n.
1503	Nubri			bhetsaguru			a hymn	n.
1504	Nubri			bhetsaguru			Bhechaguru hymn	n.
1505	Nubri			bhetsabheʈuk			grand child	n.
1506	Nubri	CHILD	2099	bhedzabhiʈuk			children	n.
1507	Nubri			bhedeli			getting support for always	n.
1508	Nubri	WIFE	1199	bheme			wife	n.
1509	Nubri	WALKING STICK	1296	bherka			walking stick	n.
1510	Nubri			bhi			Bhi village [PN]	n.
1511	Nubri	DAUGHTER	1357	bhõ			daughter	n.
1512	Nubri			bhõ amtso			mushroom like a girl's ear	n.
1513	Nubri			bhortom			total	adj.
1514	Nubri			bholen			loan	n.
1515	Nubri	PIMPLE	1809	bhuru			pimple	n.
1516	Nubri			bhulen			loan	n.
1517	Nubri			bhuʃu			hollow bamboo piece used to light fire	n.
1518	Nubri			bhʏ			to light fire	v.
1519	Nubri			bhø			Tibet	n.
1520	Nubri			bhøtho			Tibetan calender	n.
1521	Nubri			bhøpa			Tibetan	n.
1522	Nubri			ma			particle (is it?)	part.
1523	Nubri	DOWN OR BELOW	2094	ma			below	adv.
1524	Nubri			makpa			son in law	n.
1525	Nubri			makpa			son in  law	n.
1526	Nubri			magen			elderly woman	n.
1527	Nubri			magen			aged woman	n.
1528	Nubri			maŋtshe			majority	adj.
1529	Nubri	HOW MUCH	531	maŋpo			much	adj.
1530	Nubri			maŋlø			how much [Nubri, cf. maŋlø]	adj.
1531	Nubri			matshap			substitute mother	n.
1532	Nubri			maʈik			not matching; not agreeing	adj.
1533	Nubri	ONLY	1580	mato			only	adv.
1534	Nubri	ONLY	1580	matok			only	adv.
1535	Nubri			mane			prayer wheel	n.
1536	Nubri			mane			hymn (mani)	n.
1537	Nubri			mane			Mane worship	n.
1538	Nubri	SCAR	497	mandʒe			scar	n.
1539	Nubri			manɖal			a kind of worship done at home	n.
1540	Nubri			ma:r			ghee	n.
1541	Nubri	DOWN OR BELOW	2094	mar			below	adv.
1542	Nubri	NEVER	1656	maraŋ			never	adv.
1543	Nubri	ALL	98	maraŋne			all	adj.
1544	Nubri			maru			towards below	adv.
1545	Nubri	RED	156	marpo			red	adj.
1546	Nubri	DOWN OR BELOW	2094	mala			below	adv.
1547	Nubri	CHIN	1510	male			chin	n.
1548	Nubri	IF	1459	masi			if	conj.
1549	Nubri			má			maize; corn	n.
1550	Nubri	GRANDFATHER	1383	me			grandfather	n.
1551	Nubri	DOWN OR BELOW	2094	me			below	adv.
1552	Nubri			me-			negative marker	gram.
1553	Nubri	BURN	2102	me taŋ			to burn	v.
1554	Nubri	POOR	1674	meken			poor	adj.
1555	Nubri	SPOIL (SOMEBODY OR SOMETHING)	92	meŋen			to spoil	v.
1556	Nubri	MEDICINE	1372	men			medicine	n.
1557	Nubri			menda			family members	n.
1558	Nubri	GUN	1566	menda			gun	n.
1559	Nubri	BRIGHT	679	menda karpo			bright	adj.
1560	Nubri	FLOWER	239	mendo			flower	n.
1561	Nubri	FAMILY	194	meme			family	n.
1562	Nubri	WORK (LABOUR)	984	melak			labour	n.
1563	Nubri			melak			labour exchange	n.
1564	Nubri	MAN	1554	mi			man	n.
1565	Nubri	NOT	1240	mi-			negative	gram.
1566	Nubri	EYE	1248	mik			eye	n.
1567	Nubri	TEAR (SHRED)	1735	miktʃhu			tear	n.
1568	Nubri	MAGIC	392	mikʈhul			magic	n.
1569	Nubri	EYEBROW	1173	mikpu			eyebrow	n.
1570	Nubri			mikʃel			eyeglass	n.
1571	Nubri			mikhjok			slant (eye)	adj.
1572	Nubri	SWALLOW	897	mig			to swallow	v.
1573	Nubri	NAME	1405	miŋ			name	n.
1574	Nubri	NAME	1405	miŋla			name	n.
1575	Nubri	LIFE	210	mitshe			life	n.
1576	Nubri			midzaŋ			people who dwell under the same roof	n.
1577	Nubri			mindu			negative copula	v.
1578	Nubri			minduk			negative copular verb	v.
1579	Nubri	DREAM	2374	milam			dream	n.
1580	Nubri	SHE	1834	mo			she	pron.
1581	Nubri	CURSE	8	mo tap			to curse	v.
1582	Nubri			motso tshumbu			looking handsome (female)	adj.
1583	Nubri	MOTOR	110	moʈor			motor	n.
1584	Nubri			momo			dumpling (momo)	n.
1585	Nubri			moral			place for father to live (in the house)	n.
1586	Nubri			molam			worship; wish	n.
1587	Nubri	DOWN OR BELOW	2094	mu			below	adv.
1588	Nubri	PUBIC HAIR	36	muktsi			pubic hair	n.
1589	Nubri	CLOUD	1489	mukpa			cloud	n.
1590	Nubri	DARK	706	mukpo			dark	adj.
1591	Nubri	DOWN OR BELOW	2094	muda			below	adv.
1592	Nubri			mur			to massage	v.
1593	Nubri			mula 			with [Lho, cf. ɲumpu]	post.
1594	Nubri	MOLE	1907	mja			mole	n.
1595	Nubri	WOUND	1109	má			wound	n.
1596	Nubri			mé			be.NEG	v.
1597	Nubri	FIRE	221	mé			fire	n.
1598	Nubri	GRANDFATHER	1383	mè			grandfather	n.
1599	Nubri			ja			also	part.
1600	Nubri	AGAIN	204	jaŋ			again	adv.
1601	Nubri			japsa			porch [Lho, cf. japsi]	n.
1602	Nubri			japsi			porch [Sama, cf. Japsa]	n.
1603	Nubri			jar			to use (borrowed things)	v.
1604	Nubri	BORROW	1823	jar			to borrow	v.
1605	Nubri	SUMMER	1342	jarka			summer	n.
1606	Nubri	GOOD	1035	jàkpo			good	adj.
1607	Nubri			jolok			yard [Lho, cf. ghorom]	n.
1608	Nubri	SHAKE	1909	juk			to shake	v.
1609	Nubri	LEAVE	1752	juk			to leave	v.
1610	Nubri	THROW	1456	juk			to throw	v.
1611	Nubri			jøsoŋ			Josong (place name in Lho)	n.
1612	Nubri			rã			place where animals are tied	n.
1613	Nubri	SOME	1241	ra			some	adj.
1614	Nubri			ra			particle (emphasis)	part.
1615	Nubri	GOAT	1502	ra			goat	n.
1616	Nubri			ra			the bottom floor of house	n.
1617	Nubri			ra			animal shed (on the bottom floor)	n.
1618	Nubri			-ra			plural marker	gram.
1619	Nubri			ra khokhok			curly hair	n.
1620	Nubri	GET	694	rak			to get	v.
1621	Nubri			rak			a kind of bird (patriage)	n.
1622	Nubri			rakpa			rope or band supporting the load carried ont the back	n.
1623	Nubri	SELF	1993	raŋ			self	pron.
1624	Nubri	OWN	684	raŋ			own	adj.
1625	Nubri			raŋaroŋe			road with ditches	n.
1626	Nubri			raŋkaruŋke			unsystematic	adj.
1627	Nubri			raŋdø			selfish	adj.
1628	Nubri			raŋsa			very place	n.
1629	Nubri			raŋsa			same as before	adv.
1630	Nubri			raná			Dyang village [PN]	n.
1631	Nubri			rap			thread strap worn aroun horse's mouth (to make it easy to ride it)	n.
1632	Nubri			rapne			inauguration	n.
1633	Nubri			ral			to tear (intra.)	v.
1634	Nubri			re			copula verb	v.
1635	Nubri	CLOTHES	1895	re			clothes	n.
1636	Nubri			reka			out of home; forest	adv.
1637	Nubri	HILL	614	reka			hill	n.
1638	Nubri	FOREST	420	reka			forest	n.
1639	Nubri	CAT	1208	reka simtsen			wild	adj.
1640	Nubri			reŋka			some [Lho, cf. hjulu]	adj.
1641	Nubri	LAZY	1564	repa			lazy	n.
1642	Nubri	ALONE	1964	remi			alone	adv.
1643	Nubri			rere			one at a time	num.
1644	Nubri			rel			cord for tethering beasts	n.
1645	Nubri	SOME	1241	reli			some	adj.
1646	Nubri			reli			cord for tethering beasts	n.
1647	Nubri			rewa 			staircase (Sama, cf. ʈewa)	n.
1648	Nubri	ASK (REQUEST)	1828	rewa sui			request	n.
1649	Nubri			riu			young goat	n.
1650	Nubri	MIND	1562	rikpa			mind	n.
1651	Nubri			riksuŋ			tradition	n.
1652	Nubri	SOME	1241	riŋke			some	pron.
1653	Nubri			riŋga			some [Lho, cf. hjulu]	adj.
1654	Nubri	LONG	1203	riŋbo			long	adj.
1655	Nubri	LONG	1203	riŋbu			long	adj.
1656	Nubri	SNEEZE	1621	ripa			to sneeze	v.
1657	Nubri			ripum			Ripum (gompa)	n.
1658	Nubri	RABBIT	1136	ribuŋ			rabbit	n.
1659	Nubri			ribuŋ gompa			Ribung gompa [PN]	n.
1660	Nubri			rimaŋ			dung of sheep, goat	n.
1661	Nubri	PICTURE	2401	rimu			picture	n.
1662	Nubri			rimburtshe			Rimborche	n.
1663	Nubri	FRIEND	1325	ro			friend	n.
1664	Nubri	ALONE	1964	roeme			alone	adj.
1665	Nubri			rokpa			friend (Tib.)	n.
1666	Nubri	FRIEND	1325	rokpa			friend	n.
1667	Nubri	HELP	1897	rokram			help	n.
1668	Nubri			roŋ			low land	n.
1669	Nubri			roŋ			low land (from Nubri)	n.
1670	Nubri			roŋba			man.from.Kathmandu	n.
1671	Nubri			roŋba			man from low land	n.
1672	Nubri	ALONE	1964	rome			alone	adj.
1673	Nubri	ALONE	1964	rome			alone	adv.
1674	Nubri			rorku			sixty nine	num.
1675	Nubri	CORPSE	767	ró			corpse	n.
1676	Nubri			rui			baby goat, young goat	n.
1677	Nubri			rui			Rui village [PN]	n.
1678	Nubri			rup			work done by getting help from others	n.
1679	Nubri			ruppa			a kind of green leave found in the forest used as vegetable	n.
1680	Nubri			rʏ			Rui village (in Tibet)	n.
1681	Nubri			rʏ			landslide	n.
1682	Nubri			rø			Sama village	n.
1683	Nubri			rø			Sama village [PN]	n.
1684	Nubri			røma			a kind of drum	n.
1685	Nubri	ONLY	1580	røme			only	adv.
1686	Nubri			rja			particle (Q)	part.
1687	Nubri	HAIR	1040	r̥a			hair	n.
1688	Nubri	SWELL	1573	r̥aŋ			to swell	v.
1689	Nubri	HARD	1884	r̥ande			hard	adj.
1690	Nubri	SMALL	1246	r̥ar̥i			little	adj.
1691	Nubri			r̥alam			partition (area that has partition) on the head	n.
1692	Nubri	PRINCE (RULER)	2554	r̥eu			prince	n.
1693	Nubri			r̥endi			tough, strong and flexible	adj.
1694	Nubri			r̥i			for some time	adv.
1695	Nubri	MORE	1992	r̥i			more	adv.
1696	Nubri			r̥i			maize grain	n.
1697	Nubri			r̥i			during; for a while	adv.
1698	Nubri	SOME	1241	r̥iŋke			some	pron.
1699	Nubri	SMALL	1246	r̥itʃik			little	adj.
1700	Nubri	HOW LONG	2338	r̥inloe			how long	adv.
1701	Nubri			r̥il			to turn upside down	v.
1702	Nubri			r̥il			to roll down	v.
1703	Nubri	AMULET	2804	r̥õ			amulet	n.
1704	Nubri			r̥o			egg of the louse	n.
1705	Nubri			r̥o			to heat (tran.)	v.
1706	Nubri	BE ANGRY	2223	r̥olaŋ			to be angry	v.
1707	Nubri			r̥olaŋtsu			to make angry	v.
1708	Nubri	TOGETHER	2482	r̥uk			together	post.
1709	Nubri			r̥ukdze			to gather (intr.)	v.
1710	Nubri			r̥uktaŋ			to gather (tran.)	v.
1711	Nubri			r̥uŋ			mother's elder sister	n.
1712	Nubri			r̥ul			to decay	v.
1713	Nubri			r̥tshula			little this side (near)	adv.
1714	Nubri	AMULET	2804	r̥wã			amulet	n.
1715	Nubri			lã			monk	n.
1716	Nubri	YES	1268	la			yes	excl.
1717	Nubri	FEAR (FRIGHT)	781	la			fear	n.
1718	Nubri			-la			locative case; dative case; objective case	gram.
1719	Nubri			lain			line (Eng.)	n.
1720	Nubri			lau			labour exchange [Sama, cf. lahjo]	n.
1721	Nubri	FAST	1631	lau			quickly	adv.
1722	Nubri	REMAIN	987	lak			to remain	v.
1723	Nubri			lakor			grinding stone	n.
1724	Nubri			lakor			grinding stone	n.
1725	Nubri	HAND	1277	lakpa			hand	n.
1726	Nubri			lakpa			Lakpa	n.
1727	Nubri			lakpadiki			Lakpa Dhiki	n.
1728	Nubri			lakma			remaining	adj.
1729	Nubri			laŋ			to occur	v.
1730	Nubri	RISE (MOVE UPWARDS)	568	laŋ			to rise	v.
1731	Nubri			laŋ			to erect (penis)	v.
1732	Nubri			laŋtsu			to make stand	v.
1733	Nubri			laŋdaŋ			one side	n.
1734	Nubri	ELEPHANT	1290	laŋpotshe			elephant	n.
1735	Nubri	OX	1169	laŋbo			ox	n.
1736	Nubri			laŋma			remaining	adj.
1737	Nubri			laŋma ʃoŋ			mushroom of tree	n.
1738	Nubri	RAFTER	829	ladza			rafter	n.
1739	Nubri			latok			situated (located) on the top	adj.
1740	Nubri	SAY	1458	lap			to say	v.
1741	Nubri	SPEAK	1623	lap			to speak	v.
1742	Nubri	BRAIN	1583	lapa			brain	n.
1743	Nubri			lapraŋ			Lapran (a person's name)	n.
1744	Nubri			lapsaŋ			a kind of worship done at home	n.
1745	Nubri	ROAD	667	lam			road	n.
1746	Nubri			lama			monk	n.
1747	Nubri	ROAD	667	lamkja			road	n.
1748	Nubri			lamsaŋ			immediately; immediately after	adv.
1749	Nubri			lalok			to turn upside down	v.
1750	Nubri	ABOVE	1741	lawa			above	adv.
1751	Nubri			lawa			a kind of flute played at gompa	n.
1752	Nubri			laso			okay	gram.
1753	Nubri	THIGH	800	laʃa			thigh	n.
1754	Nubri			lahjo			labour exchanage [Lho, cf. lau]	n.
1755	Nubri			lá			consciousness (fear)	n.
1756	Nubri			lá			wage	n.
1757	Nubri			lá			musk-deer	n.
1758	Nubri			lá			presence of mind; spirit	n.
1759	Nubri	TAKE	1749	láŋ			to take	v.
1760	Nubri	STAND	1442	láŋ			to stand	v.
1761	Nubri			láŋ			a kind of tree	n.
1762	Nubri	TEACH	709	láp			to teach	v.
1763	Nubri	ABOVE	1741	lála			above	adv.
1764	Nubri			le			plait of girls	n.
1765	Nubri			le			leziness	n.
1766	Nubri	LEAVE	1752	le			to leave	v.
1767	Nubri			-le			comparative degree	gram.
1768	Nubri	LAZY	1564	le malambo			lazy	adj.
1769	Nubri	GOOD	1035	lea			better	adj.
1770	Nubri	BEAUTIFUL	1427	leu			beautiful	adj.
1771	Nubri	WORK (LABOUR)	984	leka			work	n.
1772	Nubri	GHOST	1175	lenɖe			ghost	n.
1773	Nubri			lep			to reach; to arrive	v.
1774	Nubri	COME	1446	lep			to come	v.
1775	Nubri	BEAUTIFUL	1427	lepu			beautiful	adj.
1776	Nubri	DUMB	1492	lemba			dumb	adj.
1777	Nubri			leru			Leru (place in Tibet)	n.
1778	Nubri			lerudordze			Leru Dorje (a person's name)	n.
1779	Nubri			leʃo			most beautiful	adj.
1780	Nubri			li			Li village	n.
1781	Nubri	PENIS	1222	likpa			penis	n.
1782	Nubri	PUBIC HAIR	36	likpu			pubic hair	n.
1783	Nubri			liŋ			place (certain area)	n.
1784	Nubri			liŋ			partition of the hair (on head)	n.
1785	Nubri			liŋdiŋ			other side	adv.
1786	Nubri	FLUTE	777	liŋpu			flute	n.
1787	Nubri			liŋʃan			bell (fixed on the neck of horse)	n.
1788	Nubri			limi			Limi (place in Lho)	n.
1789	Nubri			lo			year; age	n.
1790	Nubri	READ	724	lo			to read	v.
1791	Nubri			lo			Lho village	n.
1792	Nubri			lo			hearsay particle	part.
1793	Nubri	COUGH	879	lo khol			to cough	v.
1794	Nubri	COME BACK	581	lok			to return	v.
1795	Nubri	FALL	1280	lok			to fall down	v.
1796	Nubri			lok			lamp; holy threads used to burn	n.
1797	Nubri	TURN	1588	lok			to turn	v.
1798	Nubri	DEPEND	756	lokal			to depend	v.
1799	Nubri			lokaldi			support	n.
1800	Nubri			loko			courageous	adj.
1801	Nubri	COME BACK	581	lokɖok			to return	v.
1802	Nubri	LIGHTNING	1654	lokmar			lightening	n.
1803	Nubri			loŋ			leisure	n.
1804	Nubri			lopa			Lho villager	n.
1805	Nubri	STUDY	1929	loptsuŋ			study	n.
1806	Nubri	SCHOOL	673	lopʈa			school	n.
1807	Nubri	LEAF	628	loma			leaf	n.
1808	Nubri			lorkju			history	n.
1809	Nubri	COURAGE	3049	lorkho			courage	n.
1810	Nubri	SONG	1096	lu			song	n.
1811	Nubri	FALL	1280	luk			to fall down	v.
1812	Nubri			luŋ			wind (Tib.)	n.
1813	Nubri	VILLAGE	930	luŋpa			village	n.
1814	Nubri	STREAM	947	luŋba			stream	n.
1815	Nubri			luŋba			small canal-like channel after ploughing	n.
1816	Nubri			lú			snake god	n.
1817	Nubri			lùk			to pour; to add	v.
1818	Nubri			lʏ			manure (animal dung)	n.
1819	Nubri	HAPPEN	248	ljau			to happen	v.
1820	Nubri	BEAUTIFUL	1427	lépo			beautiful	adj.
1821	Nubri			l̥a			goddess	n.
1822	Nubri			l̥ak			remaining	adj.
1823	Nubri	SPIRIT	53	l̥akdok			spirit	n.
1824	Nubri			l̥adokgudo			spirit of mind	n.
1825	Nubri			l̥adokgudok			consciousness	n.
1826	Nubri			l̥asa			Lhasa	n.
1827	Nubri			l̥aʃol			offering to the deities	n.
1828	Nubri			l̥e			animal shed	n.
1829	Nubri	PIECE	594	l̥ep			piece	n.
1830	Nubri	PLAIT	333	l̥ema			plait	n.
1831	Nubri	SOUTH	1595	l̥o			south	n.
1832	Nubri	LOOSE	2506	l̥opl̥op			loose	adj.
1833	Nubri	CALM	258	l̥ol̥o			calm	adj.
1834	Nubri			l̥ø			relaxed	adj.
1835	Nubri	DOWN OR BELOW	2094	wa			below	adv.
1836	Nubri			wa			to uproot	v.
1837	Nubri			-wa			ordinal numeral suffix	gram.
1838	Nubri	DOWN OR BELOW	2094	wak			below	adv.
1839	Nubri			wak			from down	adv.
1840	Nubri	DOWN OR BELOW	2094	wakla			below	adv.
1841	Nubri			wakhaŋ			ground floor	n.
1842	Nubri			waŋ			sanctified food	n.
1843	Nubri			waŋboʃor			handicapped person because of old age, or sickness	n.
1844	Nubri			wasula			below (towards below)	adv.
1845	Nubri			we			particle (question)	part.
1846	Nubri			sa			like this	adj.
1847	Nubri	WORLD	965	sa			earth	n.
1848	Nubri	EARN	733	sa			to earn	v.
1849	Nubri			sa			day (of week)	n.
1850	Nubri			sa			to go [Sama]	v.
1851	Nubri			-sa			nominalizer	gram.
1852	Nubri			-sa			nominalizer 	gram.
1853	Nubri			sakar			planet	n.
1854	Nubri			sakar			date (for any auspicious things)	n.
1855	Nubri			sakpa sa			to tease (intr., tran.)	v.
1856	Nubri			saŋ			brass	n.
1857	Nubri	SECRET	1121	saŋ			secret	adj.
1858	Nubri			saŋasiŋi			confusion	n.
1859	Nubri			saŋke			Budhdha	n.
1860	Nubri			saŋge			name of a male person	n.
1861	Nubri			saŋgol			going around during worship	n.
1862	Nubri	EARTHQUAKE	6	saŋgul			earthquake	n.
