ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1044	Nubi			tempo			stable; not moving	adj.	851	STABLE	4
1045	Nubi			tempo			secure	adj.		???	
1047	Nubi			ti			to harvest	v.	611	HARVEST	4
1048	Nubi			tigi			baby horse; young horse	n.		???	
1049	Nubi	BELL	2246	tiŋ			bell	n.	2246	BELL	2
1050	Nubi	DEEP	1593	tiŋ rimbu			deep	adj.	1593	DEEP	2
1052	Nubi	AFTER	1685	tiŋma			after	adv.	1685	AFTER	2
1053	Nubi	NEXT YEAR	515	tiŋma			next year	adv.	515	NEXT YEAR	2
1055	Nubi			tip			to be buried	v.		???	
1056	Nubi	BEHIND	1686	tíŋma			behind	adv.	1686	BEHIND	2
1057	Nubi	EARLY	672	tok			early	adv.	672	EARLY	2
1059	Nubi	SPADE	1176	toktse			spade	n.	1176	SPADE	2
1060	Nubi	THOUSAND	1843	toŋ			thousand	n.	1843	THOUSAND	2
1061	Nubi			toŋku			rhododendron	n.		???	
1062	Nubi	EMPTY	1624	toŋba			empty	adj.	1624	EMPTY	2
1063	Nubi			totse			jacket (traditional)	n.	2770	JACKET	4
1064	Nubi	SHIRT	1622	totuŋ			shirt	n.	1622	SHIRT	2
1066	Nubi			tomnak			much more	adj.		???	
1067	Nubi			tor			to be lost; to lose	v.		???	
1068	Nubi	SOW SEEDS	748	tor			to sow	v.	748	SOW SEEDS	1
1069	Nubi			torma			conical cakes made from tsampa that are placed on an alter	n.		???	
1070	Nubi	COW	1007	tolmo			cow	n.	1007	COW	2
1071	Nubi	HUNGER	1864	towa			hunger	n.	1864	HUNGER	2
1072	Nubi			tuŋa			shorter	adj.		???	
1073	Nubi	CUT	1432	tup			to cut	v.	1432	CUT	1
1074	Nubi	COVER	761	tum			to cover	v.	761	COVER	1
1075	Nubi	IN FRONT OF	1883	tø			in front of	post.	1883	IN FRONT OF	2
1076	Nubi			tøn			to make one come out	v.		???	
1077	Nubi	SHOW	1039	tøn			to show	v.	1039	SHOW	1
1078	Nubi			tøntok			crop	n.	611	HARVEST	4
1080	Nubi	ABOVE	1741	tjaŋ			above	adv.	1741	ABOVE	2
1082	Nubi	ABOVE	1741	twe			above	adv.	1741	ABOVE	2
1083	Nubi	ABOVE	1741	twela			above	adv.	1741	ABOVE	2
1084	Nubi	DO	813	táŋ			to do	v.	813	DO	1
1085	Nubi	EDGE	863	thã			edge	n.	863	EDGE	2
1086	Nubi	FAR	1406	thak riŋbu			far	adv.	1406	FAR	2
1087	Nubi			thakor			around (surroundeding)	adv.		???	
1088	Nubi	ROPE	1218	thakpa			rope	n.	1218	ROPE	2
1089	Nubi	HARD	1884	thakpo			hard	adj.	1884	HARD	2
1090	Nubi	FLAT	1633	thaŋ			flat	adj.	1633	FLAT	2
1091	Nubi			thaŋga			flat land	n.		???	
1093	Nubi	FINE (PENALTY)	218	thaŋpo			fine	adj.	218	FINE (PENALTY)	2
1094	Nubi			thaŋlo			how much fine	adj.		???	
1095	Nubi	PINE	1740	thaŋʃiŋ			pine tree	n.	1740	PINE	2
1097	Nubi			thaptʃa			not permanently, only for temporary purpose	adj.		???	
1098	Nubi			thama			finally [Tib.]	adv.		???	
1099	Nubi	ALL	98	thamdze			all	adj.	98	ALL	2
1100	Nubi			thampani			that much	adj.		???	
1101	Nubi			tharakthorok			scattered here and there	adj.		???	
1102	Nubi			tharke			irregular	adj.		???	
1103	Nubi	CORNER	192	thãla			corner	n.	192	CORNER	2
1104	Nubi	SIDE	682	thala			side	n.	682	SIDE	2
1105	Nubi	DUST	2	thala			dust	n.	2	DUST	2
1106	Nubi	PLATE	480	thaliŋ			plate	n.	480	PLATE	2
1107	Nubi	PLATE	480	thaliŋ			plate	n.	480	PLATE	2
1108	Nubi			thaldʒa			clapping because of surprise	n.		???	
1109	Nubi			thalmo			putting hands together	n.		???	
1110	Nubi	STRAIGHT	1404	thekaŋ			straight	adj.	1404	STRAIGHT	2
1111	Nubi			then			to come out	v.		???	
1112	Nubi	THUMB	1781	thepu			thumb	n.	1781	THUMB	2
1113	Nubi			thempa			staircase made of stone	n.		???	
1114	Nubi	LADDER	1464	themba			ladder	n.	1464	LADDER	2
1116	Nubi	LITTLE FINGER	2774	thik tsima			little finger	n.	2774	LITTLE FINGER	4
1117	Nubi			thikle			dirt collected around vagina or penis	n.	1222	PENIS	4
1118	Nubi			thim			submerge	v.		???	
1119	Nubi	WET	1726	thim			to be wet	v.	1726	WET	1
1120	Nubi			tho			calender	n.		???	
1121	Nubi			tho			to hear [Sama, cf. go]	v.	1408	HEAR	3
1122	Nubi	ROOF	769	thok			roof	adj.	769	ROOF	2
1123	Nubi			thok			about	post.	1415	THINK (REFLECT)	4
1124	Nubi	ABOVE	1741	thoka			above	adv.	1741	ABOVE	2
1125	Nubi			thoktse			storey	n.		???	
1126	Nubi	FROM	693	thokni			from	post.	693	FROM	2
1127	Nubi	QUARREL	1848	thokpa			quarrel	n.	1848	QUARREL	2
1128	Nubi			thokpa taŋ			to quarrel	v.	1848	QUARREL	4
1129	Nubi	SEE	1409	thoŋ			to see	v.	1409	SEE	1
1131	Nubi	WIN	866	thop			to win	v.	866	WIN	1
1132	Nubi	FOREHEAD	123	thopa			forehead	n.	123	FOREHEAD	2
1133	Nubi			thoptaŋ			rights	n.		???	
1134	Nubi			thor			to be separated	v.		???	
1135	Nubi	DAWN	729	thoraŋ			day break	n.	729	DAWN	2
1136	Nubi			thoʃor tshembo			mischivious 	adj.		???	
1138	Nubi	MEET	1831	thuk			to meet	v.	1831	MEET	1
1139	Nubi			thuktshetshe			thank you (Tib.)	n.		???	
1140	Nubi	NOODLE	973	thukpa			noodle	n.	973	NOODLE	4
1142	Nubi	DRINK	1401	thuŋ			to drink	v.	1401	DRINK	1
1144	Nubi			thuŋsa			pot for drinking	n.		???	
1145	Nubi			thup			to be able	v.	972	BE ABLE	1
1146	Nubi			thur			iron materials fixed on horse's mouth (to control it)	n.		???	
1147	Nubi			thʏn			to agree, to match	v.		???	
1148	Nubi			thøn			to appear; to come out	v.	1076	EMERGE (APPEAR)	4
1150	Nubi			da			particle (as for)	part.	2279	NO OR NOT	4
1151	Nubi	NOW	1376	da			now	adv.	1376	NOW	2
1152	Nubi	LICK	319	da			to lick	v.	319	LICK	1
1153	Nubi	AND	1577	daŋ			and	conj.	1577	AND	2
1154	Nubi	YESTERDAY	1174	daŋ			yesterday	adv.	1174	YESTERDAY	2
1155	Nubi	DAY BEFORE YESTERDAY	1180	daŋkanu			day before yesterday	adv.	1180	DAY BEFORE YESTERDAY	2
1156	Nubi			daŋbo			long back	adv.		???	
1158	Nubi			daŋbo daŋbo			long long ago	adv.		???	
1159	Nubi			daŋʃa			three days back	adv.		???	
1160	Nubi	ORPHAN	1149	daʈuk			orphan	n.	1149	ORPHAN	2
1161	Nubi	NOW	1376	dana			now	adv.	1376	NOW	2
1162	Nubi			danu			recently	adv.		???	
1163	Nubi	NOW	1376	danda			now	adv.	1376	NOW	2
1164	Nubi			dando			till now	adv.		???	
1165	Nubi			dap			to hit with some loud noise	v.		???	
1166	Nubi	MEASURE	1506	dap			to measure	v.	1506	MEASURE	1
1167	Nubi			dapso			as for now	adv.		???	
1168	Nubi			dampa			a lama with higher position	n.		???	
1169	Nubi	MUD	640	dampa			mud	n.	640	MUD	2
1170	Nubi			dar			to tremble; to shiver	adv.	52	SHIVER	3
1171	Nubi			dar			to sharpen (knife)	v.	251	SHARPEN (SOMETHING)	3
1172	Nubi			dar			to cleanse	v.		???	
1173	Nubi	MORE	1992	daroŋ			more	adv.	1992	MORE	2
1174	Nubi			daru			small drum like musical instrument	n.		???	
1175	Nubi	HERE	136	dala			here	adv.	136	HERE	2
1176	Nubi	HERE	136	dala			here	adv.	136	HERE	2
1177	Nubi			dalo			this time; this season	n.		???	
1178	Nubi	THIS YEAR	513	dalo			this year	adv.	513	THIS YEAR	2
1179	Nubi	MONTH	1370	dawa			month	n.	1370	MONTH	2
1180	Nubi			dawadortse			DhawaDorche (name of a person)	n.		???	
1181	Nubi			dẽ			and then	adv.		???	
1182	Nubi	NOW	1376	dẽ			now	adv.	1376	NOW	2
1183	Nubi			de			particle (isn't it so?)	part.	2279	NO OR NOT	4
1184	Nubi	SIT	1416	de			to sit	v.	1416	SIT	1
1185	Nubi	ALL	98	deŋa			all	adj.	98	ALL	2
1186	Nubi			detsen			Dechen (name of a woman)	n.		???	
1187	Nubi			detsenɖolkar			Dechen Dolkar (name of a male person)	n.		???	
1188	Nubi			den			and then	adv.		???	
1189	Nubi			dene			and then	adv.		???	
1190	Nubi	TRUTH	1638	dempa			truth	n.	1638	TRUTH	2
1191	Nubi			dela			this direction (towards here)	adv.		???	
1192	Nubi			dehẽ			and then	adv.		???	
1193	Nubi			di			definiteness	gram.		???	
1194	Nubi	THIS	1214	di			this	pron.	1214	THIS	2
1195	Nubi			-di 			SEQ (sequential converb)	gram.		???	
1196	Nubi	FEMALE YAK	2479	dĩu			female yak	n.	2479	FEMALE YAK	2
1197	Nubi			diki			Dhiki [pn]	n.		???	
1198	Nubi	SIN	2971	dikpa			sin	n.	2971	SIN	2
1199	Nubi	IMMEDIATELY	1963	diŋam			immediately	adv.	1963	IMMEDIATELY	2
1200	Nubi	BOTTOM	690	diŋla			bottom	n.	690	BOTTOM	2
1201	Nubi			diŋsal			these days	adv.		???	
1203	Nubi			dita			as for	particle		???	
1204	Nubi			diti			in particular	adv.		???	
1205	Nubi			dini			and then	adv.		???	
1206	Nubi	KEY	1472	dimik			key	n.	1472	KEY	2
1207	Nubi			dija			also	adv.		???	
1208	Nubi	TODAY	1283	diriŋ			today	adv.	1283	TODAY	2
1209	Nubi	HERE	136	dila			here	adv.	136	HERE	2
1210	Nubi			-dila			sequantial converb	gram.		???	
1212	Nubi	HEAT	612	do			heat	n.	612	HEAT	2
1213	Nubi			do			potato [Sama, cf. hé]	n.	593	POTATO	4
1214	Nubi			dokdʒomkukdʒom			without having enough space	adj.		???	
1215	Nubi			dokto			small ball of something	n.		???	
1216	Nubi	ROUND	1395	dokdok			round	adj.	1395	ROUND	2
1217	Nubi	TIGHT	3053	dokpo			tight	adj.	3053	TIGHT	2
1218	Nubi	UGLY	1548	dokja me			ugly	adj.	1548	UGLY	2
1219	Nubi	IN FRONT OF	1883	doŋ			in front of	adv.	1883	IN FRONT OF	2
1220	Nubi	PROBLEM	2425	doŋal			problem	n.	2425	PROBLEM	2
1221	Nubi			doŋkarmu			a kind of mushroom	n.		???	
1222	Nubi			doŋpane doŋpa			face to face	adv.		???	
1223	Nubi	TREE	906	doŋpo			tree	n.	906	TREE	2
1224	Nubi	TREE	906	doŋbo			tree	n.	906	TREE	2
1225	Nubi	IN FRONT OF	1883	doŋla			in front of	adv.	1883	IN FRONT OF	2
1226	Nubi	ORPHAN	1149	dotse			orphan	n.	1149	ORPHAN	2
1227	Nubi	ANIMAL	619	dondu			animal	n.	619	ANIMAL	2
1228	Nubi	BEAR	1820	dom			bear	n.	1820	BEAR	2
1229	Nubi			doro			after a while	adv.		???	
1230	Nubi			doroŋ			much more	adv.		???	
1231	Nubi			dortse			worship things	n.		???	
1232	Nubi			dortshe			Dorche [PN]	n.		???	
1233	Nubi			dordze			Dorje (name of a male person)	n.		???	
1234	Nubi			dordzegjaldzen			Dorchegyalchen (name of a person)	n.		???	
1235	Nubi			dordzeghjaram			symbol used in Budhdhism	n.		???	
1236	Nubi			dorma			traditional pant	n.		???	
1237	Nubi			dolpo			Dolpo (Dolpa)	n.		???	
1238	Nubi			dòŋma			pot for making Tibetan tea	n.		???	
1239	Nubi			duitsen			great	adj.	1202	BIG	4
1240	Nubi			duk			be verb; copular verb	v.	215	LIE DOWN	3
1241	Nubi			duk			to be worried	v.		???	
1242	Nubi	POISON	655	duk			poison	n.	655	POISON	2
1243	Nubi	BAD	1292	duka			bad	adj.	1292	BAD	2
1244	Nubi	BAD	1292	duktʃa			bad	adj.	1292	BAD	2
1245	Nubi			dukpu			hardship; suffering	n.	1783	PAIN	4
1247	Nubi			duklo			clothes (Tib.)	n.	1895	CLOTHES	4
1248	Nubi	CLOTHES	1895	duklok			clothes	n.	1895	CLOTHES	2
1249	Nubi			duŋal			trouble	n.		???	
1251	Nubi			duŋre			thread used in butter lamp	n.		???	
1252	Nubi	LATE	477	dure			later	adv.	477	LATE	2
1253	Nubi			duru			this side [Sama]	adv.		???	
1254	Nubi			dʏ			to collect	v.	7	GATHER	4
1255	Nubi	TIME	892	dʏ			time	n.	892	TIME	2
1256	Nubi	TIME	892	dʏtse			time	n.	892	TIME	2
1257	Nubi	SEVEN	1704	dʏn			seven	num.	1704	SEVEN	2
1258	Nubi	SEVENTY	1721	dʏntʃu			seventy	num.	1721	SEVENTY	2
1259	Nubi			dʏntʃudungu			seventy nine	num.		???	
1260	Nubi			dʏndzar			offering to god	n.		???	
1261	Nubi			dʏnpa			seventh	num.		???	
1263	Nubi	HERE	136	dja			here	adv.	136	HERE	2
1264	Nubi	HERE	136	djala			here	adv.	136	HERE	2
1265	Nubi			na			also	adv.		???	
1266	Nubi			na			daughter in law; elder brother's wife	n.		???	
1267	Nubi	OR	1014	na			or	conj.	1014	OR	2
1268	Nubi	BRIDGE	1011	na			bridge	n.	1011	BRIDGE	2
1269	Nubi	MARRIAGE	2432	na			marriage	n.	2430	OFFICE	2
1270	Nubi			-na			conditional mood	gram.		???	
1271	Nubi			-na			conditional mood	gram.		???	
1272	Nubi	SWEAR	1939	na kjal			to swear	v.	1939	SWEAR	1
1273	Nubi	PUS	1808	nak			pus	n.	1808	PUS	2
1274	Nubi	DARK	706	nakpo			dark	adj.	706	DARK	2
1275	Nubi	INSIDE	1606	naŋ			inside	adv.	1606	INSIDE	2
1276	Nubi	DAY AFTER TOMORROW	1179	naŋ			day after tomorrow	adv.	1179	DAY AFTER TOMORROW	2
1277	Nubi			naŋkjaŋ			early morming	adv.		???	
1278	Nubi	INTESTINES	1991	naŋtsi			intestine	n.	1991	INTESTINES	2
1279	Nubi			naŋpa			Buddhist	n.		???	
1280	Nubi			naŋma			towards the middle	adv.		???	
1281	Nubi			naŋmi			family member	n.		???	
1282	Nubi	INSIDE	1606	naŋla			inside	adv.	1606	INSIDE	2
1283	Nubi			naŋsar			Nangsar (a place in Tibet)	n.		???	
1285	Nubi			natʃuŋ			young girl, maiden	n.		???	
1286	Nubi			nadʏ			saying	n.		???	
1287	Nubi	LAST YEAR	514	naniŋ			last year	adv.	514	LAST YEAR	2
1288	Nubi	LAST YEAR	514	naniŋ			last year	adv.	514	LAST YEAR	2
1289	Nubi			nanibu			a kind of worm that sucks animals, particularly from nose	n.		???	
1290	Nubi			nanɖuk			mucuous	n.		???	
1291	Nubi	SICK	1847	napa			sick	adj.	1847	SICK	2
1293	Nubi	WHEN	1238	nam			when	adv.	1238	WHEN	2
1294	Nubi			nam			daybreak	n.		???	
1295	Nubi	RAIN (RAINING)	1253	nam gjap			to rain	v.	1253	RAIN (RAINING)	1
1296	Nubi			namɖuk			mucous	n.		???	
1297	Nubi			namɖul			aeroplane	n.		???	
1298	Nubi			namdar			personal biography of (mainly of lama); story (historical)	n.	2060	STORY	4
1299	Nubi			namba			plural marker	gram.		???	
1300	Nubi			namruŋ			Namrung [Place name]	n.		???	
1301	Nubi			namla			Namla (name of a place)	n.		???	
1302	Nubi			namla			Namla [PN]	n.		???	
1303	Nubi			namlaŋ			to fall daybreak	v.		???	
1304	Nubi			namsa			clothes (hon.)	n.	1895	CLOTHES	4
1305	Nubi			namʃe			consciousness	n.		???	
1306	Nubi	ALWAYS	1676	namhina			always	adv.	1676	ALWAYS	2
1307	Nubi			najo			raised part inside vagina	n.		???	
1308	Nubi			nar			scolding	n.		???	
1309	Nubi			narpa			man from Nar	n.		???	
1310	Nubi	MARRIAGE	2432	nalaŋ			marriage	n.	2430	OFFICE	2
1311	Nubi			nawa			concern	n.		???	
1312	Nubi	EARWAX	32	nawa			earwax	n.	32	EARWAX	2
1313	Nubi			naʃon			youth	n.	1366	BOY	4
1314	Nubi			náŋ			to give (Hon.)	v.	1447	GIVE	3
1315	Nubi	HOUSE	1252	nàŋ			house	n.	1252	HOUSE	2
1316	Nubi	DAY AFTER TOMORROW	1179	náŋ			day after tomorrow	adv.	1179	DAY AFTER TOMORROW	2
1318	Nubi			ne			to say [Sama]	v.	1458	SAY	3
1319	Nubi			-ne			ablative case	gram.		???	
1320	Nubi			nei			young yak	n.		???	
1322	Nubi	NEWS	2964	netshul			news	n.	2964	NEWS	2
1323	Nubi	STORY	2060	nedʏ			story	n.	2060	STORY	2
1324	Nubi			nepal			Nepal	n.		???	
1325	Nubi			nepali			Nepali (Nep.)	n.		???	
1326	Nubi	PRESS	1913	nem			to press	v.	1913	PRESS	1
1327	Nubi			neʃimu			a kind of mushroom	n.		???	
1328	Nubi	WHEAT	1077	nè			wheat	n.	1077	WHEAT	2
1329	Nubi	BARLEY	932	nè			barley	n.	932	BARLEY	2
1330	Nubi			ni			also	adv.		???	
1331	Nubi			-ni			ablative case	gram.		???	
1332	Nubi			no			younger brother and daughter	n.		???	
1333	Nubi	THOUGHT	2975	noksam			thought	n.	2975	THOUGHT	2
1334	Nubi			noŋ			to damage; to be damaged; to be spoiled	v.	1116	DAMAGE	3
1335	Nubi	MISTAKE	1293	noɖu			mistake	n.	1293	MISTAKE	2
1336	Nubi	FAULT	134	nonʈhul			fault	n.	134	FAULT	2
1337	Nubi			norbu			Norbu [PN]	n.		???	
1338	Nubi			norbugjaltsen 			NorbuGhyalchen [PN]	n.		???	
1339	Nubi	DESTROY	681	norme			to destroy	v.	681	DESTROY	1
1340	Nubi			norme			effect	n.		???	
1342	Nubi	WEST	1817	nup			west	adj.	1817	WEST	2
1343	Nubi			nubri			Nubri	n.		???	
1344	Nubi	OIL (ORGANIC SUBSTANCE)	1484	num			oil	n.	1484	OIL (ORGANIC SUBSTANCE)	2
1345	Nubi	SHARP	1396	numpu			sharp	adj.	1396	SHARP	2
1346	Nubi	BLUNT	379	numpu mindu			blunt	adj.	379	BLUNT	2
1347	Nubi			nurbu			Nurbu [PN]	n.		???	
1348	Nubi			nurbugjaltsen			Norbugyalchen (name of a male person)	n.		???	
1349	Nubi	THINK	2271	nø			to think	v.	2271	THINK	1
1350	Nubi			njorere			everyday	adv.		???	
1351	Nubi	FATHER	1217	pa			father	n.	1217	FATHER	2
1352	Nubi			-pa			nominalizer (a suffix used to derive noun from other categories)	gram.		???	
1353	Nubi			pa gjap			to churn	v.	696	STIR	4
1354	Nubi			pakne			scabbies	n.		???	
1355	Nubi			paŋke			flower of purple colour	n.		???	
1356	Nubi			paŋkep			cloth worn by women on front part of body	n.		???	
1357	Nubi			paŋdza			Pangja (name of a place)	n.???where located?		???	
1358	Nubi			paŋlep			plank	n.	1227	BOARD	4
1359	Nubi			patshap			substitute father	n.		???	
1360	Nubi			pap			to drive down (drive the yaks and other animals from cliff)	v.		???	
1361	Nubi			par			photo	n.		???	
1362	Nubi	BURNING	1428	par			to burn (intr.)	v.	1428	BURNING	1
1363	Nubi	BEAM	1132	pal			beam	n.	1132	BEAM	2
1365	Nubi	BEAM	1132	palduŋ			beam	n.	1132	BEAM	2
1366	Nubi			pasaŋ			Pasang (name of a person)	n.		???	
1367	Nubi	OPEN	1156	pe			open	n.	1156	OPEN	2
1368	Nubi	VERY	1311	pe			very	adv.	1311	VERY	2
1369	Nubi			pe			example	n.		???	
1370	Nubi			pe			incent	n.		???	
1371	Nubi	SEPARATE	1359	pe			to separate	v.	1359	SEPARATE	1
1372	Nubi			pe			to open (intr.tran.)	v.	1156	OPEN	3
1373	Nubi			petsa			book (Hon.)	n.	963	BOOK	4
1374	Nubi			peptʃak			wooden fence	n.		???	
1375	Nubi			pemasi			very (Tib.)	adv.	1311	VERY	4
1376	Nubi			pemba			Saturday, name of a male person	n.	1700	SATURDAY	4
1377	Nubi			peri gompa			Peri gompa [PN]	n.		???	
1378	Nubi	RELATIVES	1644	piŋkja			relative	n.	1644	RELATIVES	2
1379	Nubi			pima			owned by more than two people	adj.		???	
1380	Nubi			-po			classifier	gram.	2080	BOWL (CLASSIFIER)	3
1381	Nubi			portsok			Porchok (name of a person)	n.		???	
1382	Nubi			pola			outer layer of corn spadix	n.		???	
1384	Nubi			puk			to fix a tent	v.		???	
1385	Nubi	SHOULDER	1482	puŋba			shoulder	n.	1482	SHOULDER	2
1386	Nubi	PUSH	1452	pul			push	n.	1452	PUSH	2
1387	Nubi			pul			to offer	v.		???	
1389	Nubi	RELATIVES	1644	pʏn			relative	n.	1644	RELATIVES	2
1390	Nubi	PARENTS	505	phã			parents	n.	505	PARENTS	2
1391	Nubi			pha			that side, thither [Lho, cf. phu]	adv.	2923	THITHER (THERE TO)	4
1392	Nubi	PIGLET	2564	phakʈuk			piglet	n.	2564	PIGLET	4
1394	Nubi	PARENTS	505	phãkja			parents	n.	505	PARENTS	2
1395	Nubi			phatse			approximately	adv.		???	
1396	Nubi	NOW	1376	phatse			now	adv.	1376	NOW	2
1397	Nubi			phatsu			witch doctor	n.		???	
1398	Nubi			phane manja			worthless thing	n.		???	
1399	Nubi			phanemane			to be helpless	v.		???	
1400	Nubi			pham			to lose a game	v.		???	
1401	Nubi	PARENTS	505	phama			parents	n.	505	PARENTS	2
1402	Nubi			phamtʃuk			to defeat	v.	782	DEFEAT	4
1403	Nubi	RELIGION	661	phajun			religion	n.	661	RELIGION	2
1404	Nubi	WOLF	522	phara			wolf	n.	522	WOLF	2
1405	Nubi	AGAIN	204	phalam			again	adv.	204	AGAIN	2
1406	Nubi			phaldze			around	adv.		???	
1407	Nubi	HALF	816	phe			half	adj.	816	HALF	2
1408	Nubi			phe			flour [Tib., cf. tsampa]	n.	1594	FLOUR	4
1409	Nubi	HALF	816	pheka			half	adj.	816	HALF	2
1410	Nubi	OUTSIDE	762	pheta			outside	adv.	762	OUTSIDE	2
1411	Nubi	OUTSIDE	762	phetala			outside	adv.	762	OUTSIDE	2
1412	Nubi	BENEFIT	2929	phentho			benefit	n.	2929	BENEFIT	2
1413	Nubi			phenthok			to be useful	v.		???	
1416	Nubi			phike			on back side	adv.		???	
1418	Nubi			phinaŋ			inside out (clothes)	adj.		???	
1419	Nubi			phindzar			person who farts much	n.		???	
1420	Nubi	FART	1159	phindi			to fart	v.	1159	FART	1
1421	Nubi	RELATIVES	1644	phima			relative	n.	1644	RELATIVES	2
1422	Nubi	FLY (MOVE THROUGH AIR)	1441	phir			to fly	v.	1441	FLY (MOVE THROUGH AIR)	1
1423	Nubi			phirtsu			to make fly	v.		???	
1424	Nubi	OUTSIDE	762	phila			outside	adv.	762	OUTSIDE	2
1425	Nubi	AGAIN	204	philam			again	adv.	204	AGAIN	2
1426	Nubi	BUTTERFLY	1791	philep			butterfly	n.	1791	BUTTERFLY	2
1427	Nubi			philo			reverse, contrary	adj.		???	
1428	Nubi			phok			to be hit by something hard (such as stone)	v.		???	
1429	Nubi			phoŋar			a kind of mushroom	n.		???	
1430	Nubi			phon			telephone (Eng.)	n.	1379	TELEPHONE	4
1431	Nubi			phoso tshumbu			looking handsome (male)	adj.		???	
1432	Nubi			phu			that side, thither [Lho, cf. pha]	adv.	2923	THITHER (THERE TO)	4
1433	Nubi			phu			cave [Lho, cf. phuku]	n.	1155	CAVE	4
1434	Nubi			phuku			cave [Sama, cf. phu]	n.	1155	CAVE	4
1435	Nubi	ALL	98	phuknak			all	adj.	98	ALL	2
1437	Nubi			phul			to offer to monk	v.		???	
1438	Nubi	SLEEVE	2953	phuluŋ			sleeve	n.	2953	SLEEVE	2
1440	Nubi			bã			grain storage container	n.		???	
1441	Nubi			-ba			ordinal numeral marker	gram.		???	
1442	Nubi			baudhdhə			Bodhdha	n.		???	
1443	Nubi			baktʃa			belief that if you do good in this life, you will have easy life in later life	n.		???	
1444	Nubi			bakta			big injury or wound	n.	1109	WOUND	4
1445	Nubi			baŋ			to make wet	v.		???	
1446	Nubi			batsi			beaten rice	n.		???	
1448	Nubi			bap			to come down	v.		???	
1449	Nubi	FALL	1280	bap gjal			to fall	v.	1280	FALL	1
1450	Nubi	COURAGE	3049	bap tsheraŋ			courage	n.	3049	COURAGE	2
1451	Nubi			bababap			pressed	adj.		???	
1452	Nubi	FOG	249	bamo			mist	n.	249	FOG	2
1453	Nubi			bajul			Kathmandu [PN]	n.		???	
1454	Nubi	BURN	2102	bar			to burn	v.	2102	BURN	1
1455	Nubi	RICH	712	baro			rich	adj.	712	RICH	2
1456	Nubi			bardo			intermediary realm after death	n.		???	
1457	Nubi	BETWEEN	689	balak			between	adv.	689	BETWEEN	2
1459	Nubi			be			particle (unexpectedly)	part.	2279	NO OR NOT	4
1460	Nubi			be			throughout	adv.		???	
1461	Nubi	DITCH	2002	bekuŋ			ditch	n.	2002	DITCH	2
1463	Nubi			bejul			hidden valley	n.		???	
1464	Nubi			beraŋ			totally	adv.		???	
1465	Nubi	ALWAYS	1676	beraŋni			always	adv.	1676	ALWAYS	2
1466	Nubi			biŋ			to submerge	v.		???	
1467	Nubi			boudda			Boudhdha (place in Kathmandu)	n.		???	
1468	Nubi	BOTTLE	1321	bodal			bottle	n.	1321	BOTTLE	2
1469	Nubi			bora			sack (Nep.)	n.	2990	SACK	4
1470	Nubi			bolon			loan	n.		???	
1471	Nubi	SON	1620	bu			son	n.	1620	SON	2
1472	Nubi	INSECT	620	bu			insect	n.	620	INSECT	2
1475	Nubi	INSIDE	1606	bukla			inside	adj.	1606	INSIDE	2
1476	Nubi	DONKEY	1862	buŋgu			donkey	n.	1862	DONKEY	2
1477	Nubi			butsab			substitute son	n.		???	
1478	Nubi			bubhõ			son and daughter	n.		???	
1479	Nubi			burol			placenta	n.		???	
1480	Nubi			buluk			bulb (of electricity)	n.	2617	BULB	4
1481	Nubi			buʃu			hollow pipe like bamboo stick	n.		???	
1482	Nubi			bø			to be spilled	v.		???	
1483	Nubi			bhaŋde			hole in the wall to place something	n.		???	
1484	Nubi			bhaʈʈa			pot for changing the water during its preparation	n.		???	
1485	Nubi			bhandzaŋ			Bhanjhang  village [PN]	n.		???	
1486	Nubi	FALL	1280	bhap			to fall	v.	1280	FALL	1
1487	Nubi			bhar			place in between	n.		???	
1488	Nubi			bharke			between [Lho, cf. kuŋ]	adv. 	689	BETWEEN	4
1489	Nubi	HELL	878	bharku			hell	n.	878	HELL	2
1490	Nubi			bhartʃhe			plenatary influence	n.		???	
1491	Nubi	BEFORE	1882	bhartu			till	post.	1882	BEFORE	2
1492	Nubi	BETWEEN	689	bhala			between	adv.	689	BETWEEN	2
1493	Nubi	SOMETIMES	1544	bhalak bhalak			sometimes	adv.	1544	SOMETIMES	2
1494	Nubi	SOMETIMES	1544	bhalaksa			sometimes	adv.	1544	SOMETIMES	2
1495	Nubi	COW	1007	bhalaŋ			cow	n.	1007	COW	2
1496	Nubi	BREAD	1368	bhale			bread	n.	1368	BREAD	2
1497	Nubi	FROG	503	bhalba			frog	n.	503	FROG	2
1498	Nubi			bhahjul			Kathmandu (capital city of Nepal)	n.		???	
1499	Nubi			bhe			to split; to open	v.	1437	SPLIT	3
1501	Nubi			bheka			interest (of money)	n.	2062	INTEREST	4
1503	Nubi			bhetsaguru			a hymn	n.		???	
1504	Nubi			bhetsaguru			Bhechaguru hymn	n.		???	
1505	Nubi			bhetsabheʈuk			grand child	n.		???	
1506	Nubi	CHILD	2099	bhedzabhiʈuk			children	n.	2099	CHILD	2
1507	Nubi			bhedeli			getting support for always	n.		???	
1508	Nubi	WIFE	1199	bheme			wife	n.	1199	WIFE	2
1509	Nubi	WALKING STICK	1296	bherka			walking stick	n.	1296	WALKING STICK	2
