ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	GLOSSNEPALI	ORTHOGRAPHIC
1	Nubri_Sama	BODY	1480	sṳ			body	शरीर	१
2	Nubri_Sama	HEAD	1256	go̤			head	टाउको	२
3	Nubri_Sama	HAIR	1040	rʰa̤			hair	कपाल	३
4	Nubri_Sama	FACE	1560	dzʰiŋen			face	अनुहार	४
5	Nubri_Sama	EYE	1248	mìk			eye	आँखा	५
6	Nubri_Sama	EAR	1247	amdzjok			ear	कान	६
7	Nubri_Sama	NOSE	1221	natu			nose	नाक	७
8	Nubri_Sama	MOUTH	674	kʰaptu			mouth	मुख	८
9	Nubri_Sama	TOOTH	1380	sa̤			teeth	दाँत	९
10	Nubri_Sama	TONGUE	1205	tsʰe			tongue	जिब्रो	१०
11	Nubri_Sama	BREAST	1402	dzʰjṳ			breast	स्तन	११
12	Nubri_Sama	BELLY	1251	ɖʰopa			belly	पेट	१२
13	Nubri_Sama	ARM	1673	la̤kpa			arm/ hand	हात	१३
14	Nubri_Sama	ELBOW	981	puŋba			elbow	कुइनो	१४
15	Nubri_Sama	PALM TREE	1181	tʰil			palm	हत्केला	१५
16	Nubri_Sama	FINGER	1303	tentsi			finger	औँला	१६
17	Nubri_Sama	FINGERNAIL	1258	sérmo			fingernail	नङ	१७
18	Nubri_Sama	LEG	1297	kaŋba			leg	खुट्टा	१८
19	Nubri_Sama	SKIN	763	sja			skin	छाला	१९
20	Nubri_Sama	BONE	1394	riwa			bone	हाड	२०
21	Nubri_Sama	HEART	1223	niŋ			heart	मुटु	२१
22	Nubri_Sama	BLOOD	946	tʰak			blood	रगत	२२
23	Nubri_Sama	URINE	1142	tshi			urine	पिसाब	२३
24	Nubri_Sama	FAECES (EXCREMENT)	675	ã			feces	दिसा	२४
25	Nubri_Sama	VILLAGE	930	hjṳl			village	गाउँ	२५
26	Nubri_Sama	HOUSE	1252	kʰim			house	घर	२६
27	Nubri_Sama	ROOF	769	jembak			roof	छानो	२७
28	Nubri_Sama	DOOR	1567	gò			door	ढोका	२८
29	Nubri_Sama	FIREWOOD	10	siŋ			firewood	दाउरा	२९
30	Nubri_Sama	BROOM	245	koŋmo			broom	कुचो	३०
31	Nubri_Sama	MORTAR CRUSHER	224	dap			mortar	सिलौटो	३१
32	Nubri_Sama	PESTLE	225	kʰaŋɖʰo			pestle	लोहोरो	३२
33	Nubri_Sama	HAMMER	1481	tʰòk			hammer	हथौडा	३३
34	Nubri_Sama	KNIFE	1352	ɖuku			knife	चक्कु	३४
35	Nubri_Sama	AXE	677	teri			axe	बञ्चरो	३५
36	Nubri_Sama	ROPE	1218	tʰakpa			rope	डोरी	३६
37	Nubri_Sama	THREAD	1161	kupa			thread	धागो	३७
38	Nubri_Sama	NEEDLE (FOR SEWING)	1382	kʰap			needle	सियो	३८
39	Nubri_Sama	CLOTH	1616	gʰʌlak			cloth	लुगा (कपडा)	३९
40	Nubri_Sama	RING	1374	sertup			ring	औँठी	४०
41	Nubri_Sama	SUN	1343	ŋima			sun	घाम	४१
42	Nubri_Sama	MOON	1313	ɖʰa̤kar			moon	चन्द्रमा	४२
43	Nubri_Sama	SKY	1732	nam			sky	आकाश	४३
44	Nubri_Sama	STAR	1430	karma			star	तारा	४४
45	Nubri_Sama	RAIN (RAINING)	1253	namgjap			rain	वर्षा	४५
46	Nubri_Sama	WATER	948	tsū			water	पानी	४६
47	Nubri_Sama	RIVER	666	luŋba			river	नदी	४७
48	Nubri_Sama	CLOUD	1489	mukpa			cloud	बादल	४८
49	Nubri_Sama	LIGHTNING	1654	dúk			lightening	बिजुली चम्कनु	४९
50	Nubri_Sama	RAINBOW	1733	dzjasuk			rainbow	इन्द्रेणी	५०
51	Nubri_Sama	WIND	960	l̥awa			wind	बतास	५१
52	Nubri_Sama	STONE	857	ɖò			stone	ढुङ्गा	५२
53	Nubri_Sama	PATH	2252	lamgjá			path	बाटो	५३
54	Nubri_Sama	SAND	671	ɖʰẽ			sand	बालुवा	५४
55	Nubri_Sama	FIRE	221	mɛ̀			fire	आगो	५५
56	Nubri_Sama	SMOKE (INHALE)	1689	ɖʰupa			smoke	धुवाँ	५६
57	Nubri_Sama	ASH	646	gókdal			ash	खरानी	५७
58	Nubri_Sama	MUD	640	tʰala			mud	माटो	५८
60	Nubri_Sama	GOLD	1369	ser			gold	सुन	६०
61	Nubri_Sama	TREE	906	doŋbu			tree	रूख	६१
