ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	GLOSSNEPALI	ORTHOGRAPHIC
1	Nubri_Lho	BODY	1480	sṳ			body	शरीर	१
2	Nubri_Lho	HEAD	1256	gō			head	टाउको	२
3	Nubri_Lho	HAIR	1040	ʃà			hair	कपाल	३
4	Nubri_Lho	FACE	1560	honoŋ			face	अनुहार	४
5	Nubri_Lho	EYE	1248	mìk			eye	आँखा	५
6	Nubri_Lho	EAR	1247	amdzjok			ear	कान	६
7	Nubri_Lho	NOSE	1221	narki			nose	नाक	७
8	Nubri_Lho	MOUTH	674	kʰa			mouth	मुख	८
9	Nubri_Lho	TOOTH	1380	sō			teeth	दाँत	९
10	Nubri_Lho	TONGUE	1205	tsjeũ			tongue	जिब्रो	१०
11	Nubri_Lho	BREAST	1402	dzjū			breast	स्तन	११
12	Nubri_Lho	BELLY	1251	ɖʰupa			belly	पेट	१२
13	Nubri_Lho	ARM	1673	la̤kpa			arm/ hand	हात	१३
14	Nubri_Lho	ELBOW	981	rudzuma			elbow	कुइनो	१४
15	Nubri_Lho	PALM TREE	1181	para			palm	हत्केला	१५
16	Nubri_Lho	FINGER	1303	dziũ			finger	औँला	१६
17	Nubri_Lho	FINGERNAIL	1258	sérmo			fingernail	नङ	१७
18	Nubri_Lho	LEG	1297	kaŋba			leg	खुट्टा	१८
19	Nubri_Lho	SKIN	763	pjago			skin	छाला	१९
20	Nubri_Lho	BONE	1394	rúwa			bone	हाड	२०
21	Nubri_Lho	HEART	1223	niŋ			heart	मुटु	२१
22	Nubri_Lho	BLOOD	946	ʈʰak			blood	रगत	२२
23	Nubri_Lho	URINE	1142	tsin			urine	पिसाब	२३
24	Nubri_Lho	FAECES (EXCREMENT)	675	ã			feces	दिसा	२४
25	Nubri_Lho	VILLAGE	930	hjṳl			village	गाउँ	२५
26	Nubri_Lho	HOUSE	1252	kʰim			house	घर	२६
27	Nubri_Lho	ROOF	769	paŋlep			roof	छानो	२७
28	Nubri_Lho	DOOR	1567	gò			door	ढोका	२८
29	Nubri_Lho	FIREWOOD	10	siŋ			firewood	दाउरा	२९
30	Nubri_Lho	BROOM	245	koŋmo			broom	कुचो	३०
31	Nubri_Lho	MORTAR CRUSHER	224	góktsum			mortar	सिलौटो	३१
32	Nubri_Lho	PESTLE	225	tīktsa			pestle	लोहोरो	३२
33	Nubri_Lho	HAMMER	1481	tʰówa			hammer	हथौडा	३३
34	Nubri_Lho	KNIFE	1352	ɖiù			knife	चक्कु	३४
35	Nubri_Lho	AXE	677	tʌri			axe	बञ्चरो	३५
36	Nubri_Lho	ROPE	1218	tʰakpa			rope	डोरी	३६
37	Nubri_Lho	THREAD	1161	kupa			thread	धागो	३७
38	Nubri_Lho	NEEDLE (FOR SEWING)	1382	kʰap			needle	सियो	३८
39	Nubri_Lho	CLOTH	1616	go̤lak			cloth	लुगा (कपडा)	३९
40	Nubri_Lho	RING	1374	sertop			ring	औँठी	४०
41	Nubri_Lho	SUN	1343	ŋéwa			sun	घाम	४१
42	Nubri_Lho	MOON	1313	ɖʰa̤kar			moon	चन्द्रमा	४२
43	Nubri_Lho	SKY	1732	nam			sky	आकाश	४३
44	Nubri_Lho	STAR	1430	karma			star	तारा	४४
45	Nubri_Lho	RAIN (RAINING)	1253	namgjap			rain	वर्षा	४५
46	Nubri_Lho	WATER	948	tsū			water	पानी	४६
47	Nubri_Lho	RIVER	666	tsaŋbo			river	नदी	४७
48	Nubri_Lho	CLOUD	1489	mukpa			cloud	बादल	४८
49	Nubri_Lho	LIGHTNING	1654	dúk			lightening	बिजुली चम्कनु	४९
50	Nubri_Lho	RAINBOW	1733	dzʰjasuk			rainbow	इन्द्रेणी	५०
51	Nubri_Lho	WIND	960	l̥awa			wind	बतास	५१
52	Nubri_Lho	STONE	857	ɖò			stone	ढुङ्गा	५२
53	Nubri_Lho	PATH	2252	lamgjak			path	बाटो	५३
54	Nubri_Lho	SAND	671	bjã			sand	बालुवा	५४
55	Nubri_Lho	FIRE	221	mɛ̀			fire	आगो	५५
56	Nubri_Lho	SMOKE (INHALE)	1689	ɖʰopa			smoke	धुवाँ	५६
57	Nubri_Lho	ASH	646	góktal			ash	खरानी	५७
58	Nubri_Lho	MUD	640	tʰala			mud	माटो	५८
59	Nubri_Lho	DUST	2	tʰala			dust	धुलो	५९
60	Nubri_Lho	GOLD	1369	ser			gold	सुन	६०
61	Nubri_Lho	TREE	906	doŋbo			tree	रूख	६१
62	Nubri_Lho	LEAF	628	lema			leaf	पात	६२
63	Nubri_Lho	ROOT	670	bʌda̤k			root	जरा	६३
64	Nubri_Lho	THORN	124	tsʰerma			thorn	काँडो	६४
65	Nubri_Lho	FLOWER	239	mɛndok			flower	फूल	६५
69	Nubri_Lho	WHEAT	1077	nɛ̃			wheat (husked)	गहुँ	६९
70	Nubri_Lho	BARLEY	932	nɛkaru			barley	जौ	७०
71	Nubri_Lho	RICE	926	ɖẽ			rice (husked)	चामल	७१
72	Nubri_Lho	POTATO	593	hɛ			potato	आलु	७२
75	Nubri_Lho	CHILI PEPPER	919	kʰortsen			chili	खुर्सानी	७५
77	Nubri_Lho	GARLIC	2368	gókpa			garlic	लसुन	७७
78	Nubri_Lho	ONION	2366	tsōŋ			onion	प्याज	७८
82	Nubri_Lho	OIL (ORGANIC SUBSTANCE)	1484	nùm			oil	तेल	८२
83	Nubri_Lho	SALT	1274	tsā			salt	नुन	८३
84	Nubri_Lho	MEAT	634	ʃjà			meat	मासु	८४
