S. N.	Sherpa Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
1	[dzubu]	Body	शरीर	Low-Rise
2	[ɡo]	Head	टाउको	Low
3	[hɹa]	Hair 	कपाल	Mid
4	[ŋot̪oŋ]	Face 	अनुहार	Low-Rise
5	[mik]	Eye	आँखा	Mid
6	[namdzjok]	Ear	कान	Low
7	[nəu]	Nose	नाक	Mid
8	[kʰa]	Mouth	मुख	Mid-Fall
9	[sa]	Teeth	दाँत	Mid-Fall
10	[tɕjalak]	Tongue	जिब्रो	Low
11	[oma]	Breast	स्तन	Low-Rise
12	[tʰopa]	Belly	पेट	Low-Rise
13	[laɡpa]	Arm/Hand	हात	Low-Rise
14	[laɡpatsʰi]	Elbow	कुइनो	
15	[laɡpa]	Palm	हत्केला	
16	[t̪ʰept̪ok]	Finger	औँला	Mid
17	[seɹmoŋ]	Fingernail	नङ	Mid
18	[kaŋba]	Leg	खुट्टा	Low-Rise
19	[kwa]	Skin	छाला	Low-Rise
20	[ɹukjok]	Bone	हाड	Low-Rise
21	[ɲiŋ]	Heart	मुटु	Mid
22	[tʰak]	Blood	रगत	Mid-High
23	[tsiŋ]	Urine	पिसाब	Mid
24	[kjakpa]	Faeces	दिसा	Low-Rise
25	[iul/jul]	Village	गाउँ	
26	[kʰaŋba]	House	घर	Low-Rise
27	[t̪ʰok]	Roof	छानो	Mid
28	[ɡo]	Door	ढोका	Low-Rise
29	[ɕiŋ]	Firewood	दाउरा	Mid-High
30	[komi]	Broom	कुचो	Mid
31	[ɡokjo]	Mortar	सिलौटो	Low-Rise
32	[tsʰart̪um]	Pestle	लोहोरो	Low-Rise
33	[t̪ʰoa]	Hammer	हथौडा	Mid
34	[tʰitɕjuŋ]	Knife	चक्कु	(…)Rise
35	[t̪əɹi]	Axe	वन्चरो	Mid-Low
36	[t̪ʰakpa]	Rope	डोरी	Mid-Low
37	[rut̪ak]	Thread	धागो	Mid
38	[kʰap]	Needle	सियो	High
39	[madzja]	Cloth	लुगा (कपडा)	Low-Rise
40	[sert̪ub]	Ring	औँठी	Low-Rise
41	[ɲima]	Sun	घाम	Low-Rise
42	[əud̪əkar]	Moon	चन्द्रमा	
43	[nam]	Sky	आकास	Low
44	[kərma]/kərdzjaŋ]	Star	तारा	Low-Rise
45	[tɕjarpa]	Rain	वर्षा	Low-Rise
46	[tɕʰju]	Water	पानी	High
47	[tsəŋbu]	River	नदी	Low-Rise
48	[mukpa]	Cloud	बादल	Mid
49	[tsilam]	Lightening	बिजुली चम्कनु	Mid-Low
50	[dza]	Rainbow	इन्द्रेणी	Low-Rise
51	[luŋ]	Wind	वतास	Mid
52	[d̪o]	Stone	ढुङ्गा	Low
53	[lam]	Path	बाटो	Low-Rise
54	[pʰema]	Sand	बालुवा	Low
55	[me]	Fire	आगो	Low
56	[t̪ʰut̪a]	Smoke	धुवाँ	Low-Rise
57	[kʰəsit̪ʰala]	Ash	खरानी	
58	[t̪ʰala]	Mud	माटो	Low-Rise
59	[t̪ʰald̪uk]	Dust	धुलो	
60	[ser]	Gold	सुन	Mid-Low
61	[d̪oŋbu]	Tree	रुख	Mid-Low
62	[d̪əma]	Leaf	पात	Low-Rise
63	[dzət̪ak]	Root	जरा	Low-Rise
64	[tsʰermaŋ]	Thorn	काँडो	Low
65	[mend̪o]	Flower	फूल	Low
66	[pʰalpʰul]	Fruit	फलफुल	
67	[ãp]	Mango	आँप	
68	[kera]	Banana	केरा	
69	[tʰa]	Wheat (husked)	गहुँ	Low
70	[dzəu]	Barley	जौ	
71	[ɕjoɹ]	Rice (husked)	चामल	Mid
72	[ɹiɡi]	Potato	आलु	Low
73	[bənta]	Eggplant	भन्टा	
74	[bəd̪əm]	Groundnut	बदाम	
75	[mərtsi]	Chilli	खुर्सानी	Mid-Low
76	[ɲuŋa]	Turmeric	बेसार	Low-Rise
77	[ɡokpa]	Garlic	लसुन	Low-Rise
