# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG
46187	Xingning	ABOVE	ʂɔŋ⁵⁵pɔɛ⁵³		OLD	ʂ ɔ ŋ ⁵⁵ p ɔ ɛ ⁵³	20	20
46188	Xingning	ABOVE	hɔŋ⁵³		OLD	h ɔ ŋ ⁵³	1619	1619
47554	Ukhrul	ABOVE	kə-kan	over ?	OLD	k ə + k a n	3313	3313
47760	Hayu	ABOVE	ani	up, above (adv loc)	OLD	a n i	2156	2156
47761	Hayu	ABOVE	ani	above (pp)	OLD	a n i	2156	2156
48141	Tangut	ABOVE	tɕhjaa		OLD	tɕʰ j aː	10178	10178
48469	Mikir	ABOVE	angsong		OLD	a ng s o ng	0	0
26971	Motuo_Menba	ABOVE	ga ten	over / above	OLD	g a _ t e n	431	431
28154	Tibetan_Lhasa	ABOVE	jɛ̃¹³tɕhɛ⁵²	over / above	OLD	j ɛ̃ ∼ ¹³ + tɕʰ ɛ ⁵²	198	198
28155	Tibetan_Lhasa	ABOVE	khoŋ¹³la	over / above	OLD	kʰ o ŋ ¹³ + l a	1035	1035
29109	Daofu	ABOVE	rə nkhvɛ	over / above	OLD	r ə + n kʰ v ɛ	1310	1310
29539	Dulong	ABOVE	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	over / above	OLD	l ɯ ³¹ + k ɑ ⁵⁵ + p ɑ ŋ ⁵⁵	1265	1265
29810	Tibetan_Batang	ABOVE	ja¹³tɕøʔ⁵³	over / above	OLD	j a ¹³ + tɕ ø ʔ ⁵³	198	198
30363	Jingpho	ABOVE	n³¹tsa̱³³	over / above	OLD	n ³¹ + ts a̠ ³³	1765	1765
31603	Zhaba_Daofu_County	ABOVE	ʌ¹³tʂhɿ³³	over / above	OLD	ʌ ¹³ + ʈʂʰ ɿ ³³	2262	2262
31766	rGyalrong_Maerkang	ABOVE	wu prɐi	over / above	OLD	w u _ p r ɐ i	2290	2290
32401	Tibetan_Xiahe	ABOVE	jan tɕhar	over / above	OLD	j a n _ tɕʰ a r	198	198
#
198	Gyalsumdo	ALL	t̪aɡɹaŋ	All:	NEW	t̪ a ɡ ɹ a ŋ	0	0
456	Jirel	ALL	ŋɡaŋe	All:	NEW	ŋ ɡ a ŋ e	0	0
715	Kagate	ALL	t̪ʰamdzer	All:	NEW	t̪ʰ a m d z e r	0	0
975	Lowa	ALL	kiɾi	All:	NEW	k i ɾ i	0	0
1223	Nubri	ALL	tɕjapt̪a	All:	NEW	t ɕ j a p t̪ a	0	0
1475	Sherpa	ALL	jukəj	All:	NEW	j u k ə j	0	0
1718	Tsum	ALL	tɕjop	All:	NEW	t ɕ j o p	0	0
1984	Yolmo	ALL	ndzamaɹaŋ	All:	NEW	n d z a m a ɹ a ŋ	0	0
44097	Achang_Longchuan	ALL	pʐa⁵⁵pʐa⁵⁵	all 1	OLD	p ʐ a ⁵⁵ + p ʐ a ⁵⁵	8001	8001
35848	Japhug	ALL	lonba	all	OLD	l o n mb a	1275	1275
33668	Lisu	ALL	hɑ̃³³ŋɑ̱³³ mɑ̱³³	all / everything	OLD	h ɑ̃ ∼ ³³ + ŋ ɑ̠ ³³ _ m ɑ̠ ³³	3683	3683
33761	Bokar	ALL	kə baŋ	all / everything	OLD	k ə _ b a ŋ	1321	1321
10101	Japhug	ALL	tʰamtɕɤt	all	OLD	tʰ a m tɕ ɤ t	3682	3682
40757	Old_Chinese	ALL	brom		OLD	b r o m	1186	1186
40758	Old_Chinese	ALL	gˤrəm		OLD	gˤ r ə m	3684	3684
41056	Old_Burmese	ALL	ʔa◦kun		OLD	ʔ a + k u n	3899	3899
41553	Wobzi_Khroskyabs	ALL	pâ		OLD	p â/a	5037	5037
41805	Chepang	ALL	jəm.bay	all, completely (<H jəmma all + -ʔəy emphatic)	OLD	dʒ ə m + b a y	5140	5140
41806	Chepang	ALL	ju-	all, completely	OLD	dʒ u	5141	5141
42072	Garo	ALL	be-bak	all (n)	OLD	b e b a k	5308	5308
42396	Thulung	ALL	khotle		OLD	kʰ o t l e	1273	1273
42642	Hakha_Chin	ALL	a dihlak	all (adj.)	OLD	z ǎa/a t êe/eː	5779	5779
10086	Limbu	ALL	kak	all	OLD	k a k	1320	1320
43145	Bunan	ALL	tsʰaŋi	all	OLD	tsʰ a ŋ i	5663	5663
43180	Byangsi	ALL	lairi	all	OLD	l a i r i	6208	6208
43398	Rongpo	ALL	ruoko, ruəko	all	OLD	r u o k o	6209	6209
43399	Rongpo	ALL	səb	all	OLD	s ə b	6207	6207
43632	Kulung	ALL	tɔ:tɔ	all (adv.)	OLD	t ɔː t ɔ	6288	6288
43633	Kulung	ALL	khɔ:lɔ	all, every (adv.)	OLD	kʰ ɔː l ɔ	1273	1273
43858	Bantawa	ALL	jamm@y	all, every	OLD	dz a m m ə j	6522	6522
44099	Lashi	ALL	pan³¹ʃɔ̱ʔ⁵⁵	all 1	OLD	p a n ³¹ + ʃ ɔ̰ ʔ ⁵⁵	8003	8003
44100	Maru	ALL	pəŋ³¹ʃɔʔ⁵⁵	all 1	OLD	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	8003	8003
44101	Xiandao	ALL	chot⁵⁵	all 4	OLD	cʰ o t ⁵⁵	8004	8004
44102	Atsi	ALL	lu̱ŋ⁵⁵la̱ŋ⁵⁵	all 2	OLD	l ṵ ŋ ⁵⁵ + l a̰ ŋ ⁵⁵	8005	8005
44103	Bola	ALL	a³¹la̱p⁵⁵	all 2	OLD	a ³¹ + l a̰ p ⁵⁵	8006	8006
44741	Rangoon	ALL	m̥ɑ̃²²tθɑ⁵³m̥jɑ⁵³		OLD	m̥ ɑ̃ ∼ ²² + tθ ɑ ⁵³ + m̥ j ɑ ⁵³	8340	8340
45707	Old_Tibetan	ALL	kun		OLD	k u n	3899	3899
48176	Tangut	ALL	zji		OLD	z j i	0	0
48196	Tangut	ALL	rjur		OLD	r j u r	0	0
48507	Mikir	ALL	thài		OLD	tʰ ài	0	0
34717	Tibetan_Alike	ALL	tshaŋ mæ	all / everything	OLD	tsʰ a ŋ _ m æ	5663	5663
26978	Jingpho	ALL	ŋa³¹mă⁵⁵ŋa⁵¹	all / everything	OLD	ŋ a ³¹ + m ă ⁵⁵ + ŋ a ⁵¹	1274	1274
27146	Motuo_Menba	ALL	tham tɕeʔ	all / everything	OLD	tʰ a m _ tɕ e ʔ	3682	3682
27455	Tibetan_Xiahe	ALL	ha no	all / everything	OLD	h a _ n o	5662	5662
10072	Old_Tibetan	ALL	tʰams.tɕad	all	OLD	tʰ a m s + tɕ a d	3682	3682
10085	Khaling	ALL	kʰøle	all	OLD	kʰ ø l e	1273	1273
10105	Tangut	ALL	zji¹	all	OLD	z j i ¹	0	0
27994	rGyalrong_Maerkang	ALL	kə tʃᴇt	all / everything	OLD	k ə _ tʃ ᴇ/e t	3969	3969
28332	Tibetan_Lhasa	ALL	tshaŋ⁵⁵ma⁵⁵	all / everything	OLD	tsʰ a ŋ ⁵⁵ + m a ⁵⁵	5663	5663
29256	Daofu	ALL	thəm tɕɛ	all / everything	OLD	tʰ ə m _ tɕ ɛ	3682	3682
29712	Dulong	ALL	sɯ³¹nɑʔ⁵⁵	all / everything	OLD	s ɯ ³¹ + n ɑ ʔ ⁵⁵	1276	1276
29950	Tibetan_Batang	ALL	jø¹³tshɛʔ⁵³	all / everything	OLD	j ø ¹³ + tsʰ ɛ ʔ ⁵³	5664	5664
31326	Tibetan_Lhasa	ALL	kaŋ¹³ka⁵⁵	all / everything	OLD	k a ŋ ¹³ + k a ⁵⁵	5665	5665
31749	Zhaba_Daofu_County	ALL	jo³³dzo⁵⁵	all / everything	OLD	j o ³³ + dz o ⁵⁵	4514	4514
#
