S. N.	Nubri Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
50	[ndʑja]	Rainbow	इन्द्रेणी	Mid
51	[luŋ]/[luŋpo]	Wind	वतास	High
52	[t̪okoŋ]	Stone	ढुङ्गा	Fall-Rise
53	[lam]	Path	बाटो	(Low-)Rise
54	[pema]	Sand	बालुवा	Fall-Rise
55	[me]	Fire	आगो	(Low-)Rise
56	[t̪ipa]	Smoke	धुवाँ	(Low-)Rise
57	[koɡt̪ʰa]	Ash	खरानी	Fall-Rise
58	[n̪d̪ampak]/[sa]	Mud	माटो	(Low-)Rise/High-Fall
59	[t̪ʰala]	Dust	धुलो	Mid
60	[seɾ]	Gold	सुन	High
61	[t̪oŋbo]	Tree	रुख	Fall-Rise
62	[loma]	Leaf	पात	Fall-Rise
63	[tsawa]	Root	जरा	High-Fall
64	[tsʰeɾma]	Thorn	काँडो	High
65	[ment̪o]	Flower	फूल	Fall-Rise
66	[ɕiŋt̪oʔ]	Fruit	फलफुल	Fall-Rise
67	[ãm]	Mango	आँप	Mid
68	[keɾa]	Banana	केरा	High
69	[to]	Wheat (husked)	गहुँ	Mid-Fall
70	[ne]	Barley	जौ	(Low-)Rise
71	[nde]	Rice (husked)	चामल	Mid
72	[alok]	Potato	आलु	Mid
73	[t̪oluma]	Eggplant	भन्टा	
74	[sat̪aɾ]	Groundnut	बदाम	High
75	[maɾtsa]	Chilli	खुर्सानी	Mid
76	[besaɾ]	Turmeric	बेसार	
77	[koɡpa]	Garlic	लसुन	(Low-)Rise
78	[tsoŋ]	Onion	प्याज	High
79	[pʰulkopi]	Cauliflower	काउली	
80	[tomato]	Tomato	गोलभेँडा	
81	[ŋɡopi]	Cabbage	बन्दा	
82	[muku]/[num]	Oil	तेल	(Low-)Rise/High
83	[tsʰa]	Salt	नुन	High-Fall
84	[ɕja]	Meat	मासु	High-Fall
85	[tsʰiluk]	Fat (of meat)	बोसो	High
86	[ɲa]	Fish	माछा	(Low-)Rise
87	[tɕjamodʑiptʰuk]	Chicken	चल्ला	
88	[koŋa]	Egg	अन्डा	(Low-)Rise
89	[palaŋ]	Cow	गाइ	(Low-)Rise
90	[maji]	Buffalo	भैँसी	(Low-)Rise
91	[oma]	Milk	दुध	(Low-)Rise 
92	[ɹakjoʔ]	Horns	सिङ	Fall-Rise 
93	[ŋama]	Tail	पुच्छर	High
94	[ɹa]	Goat	बाख्रो	(Low-)Rise
95	[kʰi]	Dog	कुकुर	High
96	[tu]/[tʰu]	Snake	सर्प (साँप)	(Low-)Rise
97	[piu]	Monkey	बाँदर	High
98	[t̪uŋdaŋ]	Mosquito	लामखुट्टे	Fall-Rise
99	[mbudaɲa]	Ant	कमिला	
100	[mbut̪om]	Spider	माकुरो	
101	[miŋ]	Name	नाम	(Low-)Rise
102	[mi]	Man	मान्छे	(Low-)Rise
103	[keme]	Woman	आइमाई	High
104	[tu]	Child	बच्चा	High 
105	[ake]	Father	बुबा	(Mid-)Rise
106	[ama]	Mother	आमा	Mid
107	[adʑo]	Older brother	दाजु	(Mid-)Rise
108	[nu]	Younger brother	भाइ	(Low-)Rise
109	[idʑi]	Older sister	दिदी	Mid
110	[numu]	Younger sister	बहिनी	(Low-)Rise
111	[pidza]	Son	छोरो	Fall-Rise
112	[pomo]	Daughter	छोरी	(Low-)Rise
113	[kʰjoɡa]	Husband	लोग्ने (श्रीमान)	Mid
114	[keme]	Wife	स्वास्नी (श्रीमती)	High
115	[pidza]	Boy	केटो	Fall-Rise
116	[pomo]	Girl	केटी	(Low-)Rise
117	[ɲima]	Day	दिन	(Low-)Rise
118	[tsʰemo]	Night	रात	Mid
119	[ŋat̪o]	Morning	विहान	High
120	[ɲiŋɡuŋ]	Noon	मध्यान्ह	Mid
121	[komo]	Evening	साँझ	(Low-)Rise
122	[nd̪aŋ]	Yesterday	हिजो	(Mid-)Rise
123	[t̪iɾiŋ]	Today	आज	(Low-)Rise
124	[ŋeto]	Tomorrow	भोली	High
125	[t̪yntʰaʔ]	Week	हप्ता (साता)	
126	[nd̪awa]	Month	महिना	(Low-)Rise
127	[lo]	Year	वर्ष	Low
128	[ɲiŋpa]	Old	पुरानो	(Mid-)High
129	[sawa]	New	नयाँ	Mid
130	[ka]/[saŋa]	Good	राम्रो (असल)	(Low-)Rise
131	[a]/[ŋempa]	Bad	नराम्रो (खराव)	Mid/(Low-)Rise
132	[taŋa]	Wet	चिसो	(Low-)Rise
133	[kampo]	Dry	सुख्खा	High
134	[ɹiŋa]	Long	लामो	(Low-)Rise
135	[t̪uŋwa]	Short	छोटो	(Mid-)High
136	[tsʰa]	Hot	तातो	High
137	[taɡmo]	Cold	चिसो	(Low-)Rise
138	[jewa]	Right	दाहिने	High
139	[jømpa]	Left	देव्रे	High
140	[ŋe]	Near	नजिक	(Low-)Rise
141	[t̪ʰaɡɾiŋa]	Far	टाढा	
142	[tsʰe]	Big	ठुलो	High
143	[tɕuŋwa]	Small	सानो	High
144	[ndze]	Heavy	गह्रौँ	Mid
145	[jaŋa]	Light	हलुका	(Low-)Rise
146	[t̪ʰøʔ]	Above	माथि	High
147	[meʔ]	Below	तल	High
148	[kawo]	White	सेतो	Mid
149	[naɡpo]	Black	कालो	Fall-Rise
150	[mawo]	Red	रातो	High
151	[tɕik]	One	एक	High
152	[ɲi]	Two	दुई	High
153	[sum]	Three	तीन	High
154	[ɕi]	Four	चार	(Low-)Rise
155	[ŋa]	Five	पाँच	Mid
156	[tuk]/[tʰɹuk]	Six	छ	Mid
157	[t̪yn]	Seven	सात	(Low-)Rise
158	[ke]	Eight	आठ	Mid
159	[ku]	Nine	नौ	(Low-)Rise
160	[tɕu]	Ten	दश	High
161	[tɕuɡtɕik]	Eleven	एघार	
162	[tɕuɲi]	Twelve	बाह्र	
163	[ɲidʑu]	Twenty	वीस	
164	[kjat̪ʰampa]	One Hundred	एक सय	
165	[su]	Who	को	High
166	[ki]	What	के	(Low-)Rise
167	[karu]	Where	कहाँ	(low-)Rise
168	[nam]	When	कहिले	(Low-)Rise
169	[kantɕø]	How many	कति	Fall-Rise
170	[kʰiŋɡo]/[kiŋɡo]	Which	कुन	
171	[nd̪i]	This 	यो	Mid
172	[jy]/[wy]	That	त्यो	(Low-)Rise
173	[nd̪ekja]	These	यी	
174	[jøkja]/[wøkja]	Those	ती	
175	[tɕikpa]	Same	उही	
176	[mitɕikpa]	Different	फरक	
177	[kiɾi]/[kaŋpo]	Whole	सबै	(Low-)Rise
178	[tɕʰaɡtɕa]	Broken	फुटेको	
