# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SEGMENTS	COGID	ALIGNMENT
#
160	Gyalsumdo	ABOVE	ɲala	Above:High	ɲ a l a	4 7 5 7	AXBZ	NALA	1	1.N.C 1.A.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	0	ɲ a l a	6	ɲ a l a
420	Jirel	ABOVE	jine	Above:Low-Rise	j i n e	6 7 4 7	AXBZ	JINE	2	2.J.C 2.I.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	0	j i n e	4	j i n e
679	Kagate	ABOVE	t̪ʰola	Above:High	t̪ʰ o l a	1 7 5 7	AXBZ	TULA	3	3.T.C 3.U.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ o l a	2	t̪ʰ o l a
935	Lowa	ABOVE	t̪ʰøʔ	Above:High	t̪ʰ ø ʔ	1 7 1	AXN	TUH	4	4.T.C 4.U.V 4.H.c	2.0 1.5 0.8	0	t̪ʰ ø ʔ	3	t̪ʰ ø ʔ
1186	Nubri	ABOVE	kaŋ	Above:(Low-)Rise	k a ŋ	1 7 4	AXN	KAN	5	5.K.C 5.A.V 5.N.c	2.0 1.5 0.8	0	k a ŋ	5	k a ŋ
1440	Sherpa	ABOVE	jajo	Above:Low-Rise	j a j o	6 7 6 7	AXBZ	JAJU	6	6.J.C 6.A.V 6.J.C 6.U.V	2.0 1.5 1.75 0.8	0	j a j o	1	j a j o
1683	Tsum	ABOVE	jau	Above:Low-Rise	j au	6 7	AX	JA	7	7.J.C 7.A.V	2.0 1.5	0	j au	1	j au - -
1947	Yolmo	ABOVE	t̪ʰola	Above:High	t̪ʰ o l a	1 7 5 7	AXBZ	TULA	8	8.T.C 8.U.V 8.L.C 8.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ o l a	2	t̪ʰ o l a
#
198	Gyalsumdo	ALL	t̪aɡɹaŋ	All:	t̪ a ɡ ɹ a ŋ	1 7 1 5 7 4	AXBCYN	TAKRAN	1	1.T.C 1.A.V 1.K.C 1.R.C 1.A.V 1.N.c	2.0 1.5 1.75 1.5 1.3 0.8	0	t̪ a ɡ ɹ a ŋ	13	t̪ a ɡ ɹ a ŋ
