# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SEGMENTS	COGID	ALIGNMENT
456	Jirel	ALL	ŋɡaŋe	All:	ŋ ɡ a ŋ e	4 1 7 4 7	ACYBZ	NKANE	2	2.N.C 2.K.C 2.A.V 2.N.C 2.E.V	2.0 1.5 1.3 1.75 0.8	0	ŋ ɡ a ŋ e	12	ŋ ɡ a ŋ e
715	Kagate	ALL	t̪ʰamdzer	All:	t̪ʰ a m d z e r	1 7 4 1 3 7 5	AXMBCYN	TAMTSER	3	3.T.C 3.A.V 3.M.c 3.T.C 3.S.C 3.E.V 3.R.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	0	t̪ʰ a m d z e r	11	t̪ʰ a m d z e r
975	Lowa	ALL	kiɾi	All:	k i ɾ i	1 7 5 7	AXBZ	KIRI	4	4.K.C 4.I.V 4.R.C 4.I.V	2.0 1.5 1.75 0.8	0	k i ɾ i	8	k i ɾ i
1223	Nubri	ALL	tɕjapt̪a	All:	t ɕ j a p t̪ a	1 3 6 7 1 1 7	ACCXMBZ	TSJAPTA	5	5.T.C 5.S.C 5.J.C 5.A.V 5.P.c 5.T.C 5.A.V	2.0 1.5 1.5 1.5 1.1 1.75 0.8	0	t ɕ j a p t̪ a	7	t ɕ j a p t̪ a
1475	Sherpa	ALL	jukəj	All:	j u k ə j	6 7 1 7 6	AXBYN	JYKEJ	6	6.J.C 6.Y.V 6.K.C 6.E.V 6.J.c	2.0 1.5 1.75 1.3 0.8	0	j u k ə j	10	j u k ə j
1718	Tsum	ALL	tɕjop	All:	t ɕ j o p	1 3 6 7 1	ACCXN	TSJUP	7	7.T.C 7.S.C 7.J.C 7.U.V 7.P.c	2.0 1.5 1.5 1.5 0.8	0	t ɕ j o p	7	t ɕ j o p - -
1984	Yolmo	ALL	ndzamaɹaŋ	All:	n d z a m a ɹ a ŋ	4 1 3 7 4 7 5 7 4	ACCYBYBYN	NTSAMARAN	8	8.N.C 8.T.C 8.S.C 8.A.V 8.M.C 8.A.V 8.R.C 8.A.V 8.N.c	2.0 1.5 1.5 1.3 1.75 1.3 1.75 1.3 0.8	0	n d z a m a ɹ a ŋ	9	n d z a m a ɹ a ŋ
#
110	Gyalsumdo	ANT	tomaɹ	Ant:Low-Rise	t o m a ɹ	1 7 4 7 5	AXBYN	TUMAR	1	1.T.C 1.U.V 1.M.C 1.A.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	t o m a ɹ	14	- t o m a ɹ
372	Jirel	ANT	tʰoŋmatsi	Ant:	tʰ o ŋ m a t s i	1 7 4 4 7 1 3 7	AXMBYBCZ	TUNMATSI	2	2.T.C 2.U.V 2.N.c 2.M.C 2.A.V 2.T.C 2.S.C 2.I.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	0	tʰ o ŋ m a t s i	17	tʰ o ŋ m a t s i
629	Kagate	ANT	tomak	Ant:Mid	t o m a k	1 7 4 7 1	AXBYN	TUMAK	3	3.T.C 3.U.V 3.M.C 3.A.V 3.K.c	2.0 1.5 1.75 1.3 0.8	0	t o m a k	14	- t o m a k
886	Lowa	ANT	mbudaɲa	Ant:	m b u d a ɲ a	4 1 7 1 7 4 7	ACYBYBZ	MPYTANA	4	4.M.C 4.P.C 4.Y.V 4.T.C 4.A.V 4.N.C 4.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	m b u d a ɲ a	16	m b u d a ɲ a
1139	Nubri	ANT	hɹomo	Ant:(Low-)Rise	h ɹ o m o	3 5 7 4 7	ACXBZ	HRUMU	5	5.H.C 5.R.C 5.U.V 5.M.C 5.U.V	2.0 1.5 1.5 1.75 0.8	0	h ɹ o m o	14	h ɹ o m o -
1393	Sherpa	ANT	tʰəksəŋma	Ant:	tʰ ə k s ə ŋ m a	1 7 1 3 7 4 4 7	AXBCYMBZ	TEKSENMA	6	6.T.C 6.E.V 6.K.C 6.S.C 6.E.V 6.N.c 6.M.C 6.A.V	2.0 1.5 1.75 1.5 1.3 1.1 1.75 0.8	0	tʰ ə k s ə ŋ m a	15	tʰ ə k s ə ŋ m a
1636	Tsum	ANT	tɹomu	Ant:Low-Rise	t ɹ o m u	1 5 7 4 7	ACXBZ	TRUMY	7	7.T.C 7.R.C 7.U.V 7.M.C 7.Y.V	2.0 1.5 1.5 1.75 0.8	0	t ɹ o m u	14	t ɹ o m u -
1900	Yolmo	ANT	tomaŋ	Ant:Mid-Rise	t o m a ŋ	1 7 4 7 4	AXBYN	TUMAN	8	8.T.C 8.U.V 8.M.C 8.A.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	t o m a ŋ	14	- t o m a ŋ
#
15	Gyalsumdo	ARM OR HAND	laɡpa	Arm/Hand:Low-Rise	l a ɡ p a	5 7 1 1 7	AXMBZ	LAKPA	1	1.L.C 1.A.V 1.K.c 1.P.C 1.A.V	2.0 1.5 1.1 1.75 0.8	0	l a ɡ p a	18	l a ɡ p a
281	Jirel	ARM OR HAND	lakpa	Arm/Hand:Low-Rise	l a k p a	5 7 1 1 7	AXMBZ	LAKPA	2	2.L.C 2.A.V 2.K.c 2.P.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	l a k p a	18	l a k p a
542	Kagate	ARM OR HAND	laɡpa	Arm/Hand:Low-Rise	l a ɡ p a	5 7 1 1 7	AXMBZ	LAKPA	3	3.L.C 3.A.V 3.K.c 3.P.C 3.A.V	2.0 1.5 1.1 1.75 0.8	0	l a ɡ p a	18	l a ɡ p a
794	Lowa	ARM OR HAND	laɡpa	Arm/Hand:Fall-Rise	l a ɡ p a	5 7 1 1 7	AXMBZ	LAKPA	4	4.L.C 4.A.V 4.K.c 4.P.C 4.A.V	2.0 1.5 1.1 1.75 0.8	0	l a ɡ p a	18	l a ɡ p a
1053	Nubri	ARM OR HAND	lakpa	Arm/Hand:(Low-)Rise	l a k p a	5 7 1 1 7	AXMBZ	LAKPA	5	5.L.C 5.A.V 5.K.c 5.P.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	l a k p a	18	l a k p a
1304	Sherpa	ARM OR HAND	laɡpa	Arm/Hand:Low-Rise	l a ɡ p a	5 7 1 1 7	AXMBZ	LAKPA	6	6.L.C 6.A.V 6.K.c 6.P.C 6.A.V	2.0 1.5 1.1 1.75 0.8	0	l a ɡ p a	18	l a ɡ p a
1549	Tsum	ARM OR HAND	lakpa	Arm/Hand:Low-Rise	l a k p a	5 7 1 1 7	AXMBZ	LAKPA	7	7.L.C 7.A.V 7.K.c 7.P.C 7.A.V	2.0 1.5 1.1 1.75 0.8	0	l a k p a	18	l a k p a
1813	Yolmo	ARM OR HAND	laɡpa	Arm/Hand:(Mid-)Fall	l a ɡ p a	5 7 1 1 7	AXMBZ	LAKPA	8	8.L.C 8.A.V 8.K.c 8.P.C 8.A.V	2.0 1.5 1.1 1.75 0.8	0	l a ɡ p a	18	l a ɡ p a
#
64	Gyalsumdo	ASH	kɔkt̪al	Ash:Low-Rise	k ɔ k t̪ a l	1 7 1 1 7 5	AXMBYN	KUKTAL	1	1.K.C 1.U.V 1.K.c 1.T.C 1.A.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	k ɔ k t̪ a l	20	k ɔ k t̪ a l
327	Jirel	ASH	t̪ʰala	Ash:Mid	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	2	2.T.C 2.A.V 2.L.C 2.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	19	- - - - t̪ʰ a l a
586	Kagate	ASH	t̪ʰala	Ash:Mid	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	3	3.T.C 3.A.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	19	- - - - t̪ʰ a l a
841	Lowa	ASH	koɡt̪ʰa	Ash:Fall-Rise	k o ɡ t̪ʰ a	1 7 1 1 7	AXMBZ	KUKTA	4	4.K.C 4.U.V 4.K.c 4.T.C 4.A.V	2.0 1.5 1.1 1.75 0.8	0	k o ɡ t̪ʰ a	20	k o ɡ t̪ʰ a -
1097	Nubri	ASH	kot̪ʰal	Ash:(Low-)Rise	k o t̪ʰ a l	1 7 1 7 5	AXBYN	KUTAL	5	5.K.C 5.U.V 5.T.C 5.A.V 5.L.c	2.0 1.5 1.75 1.3 0.8	0	k o t̪ʰ a l	20	k o - t̪ʰ a l
1350	Sherpa	ASH	kʰəsit̪ʰala	Ash:	kʰ ə s i t̪ʰ a l a	1 7 3 7 1 7 5 7	AXBYBYBZ	KESITALA	6	6.K.C 6.E.V 6.S.C 6.I.V 6.T.C 6.A.V 6.L.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	kʰ ə s i t̪ʰ a l a	19	kʰ ə s i t̪ʰ a l a
1594	Tsum	ASH	kozal	Ash:Low-Rise	k o z a l	1 7 3 7 5	AXBYN	KUSAL	7	7.K.C 7.U.V 7.S.C 7.A.V 7.L.c	2.0 1.5 1.75 1.3 0.8	0	k o z a l	20	k o - z a l
1858	Yolmo	ASH	t̪ʰala	Ash:Mid-High	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	8	8.T.C 8.A.V 8.L.C 8.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	19	- - - - t̪ʰ a l a
#
82	Gyalsumdo	AUBERGINE	penda	Eggplant:	p e n d a	1 7 4 1 7	AXMBZ	PENTA	1	1.P.C 1.E.V 1.N.c 1.T.C 1.A.V	2.0 1.5 1.1 1.75 0.8	0	p e n d a	21	p - e n d a
343	Jirel	AUBERGINE	pənda	Eggplant:	p ə n d a	1 7 4 1 7	AXMBZ	PENTA	2	2.P.C 2.E.V 2.N.c 2.T.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	p ə n d a	21	p - ə n d a
602	Kagate	AUBERGINE	bjanta	Eggplant:	b j a n t a	1 6 7 4 1 7	ACXMBZ	PJANTA	3	3.P.C 3.J.C 3.A.V 3.N.c 3.T.C 3.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	b j a n t a	21	b j a n t a
858	Lowa	AUBERGINE	t̪oluma	Eggplant:	t̪ o l u m a	1 7 5 7 4 7	AXBYBZ	TULYMA	4	4.T.C 4.U.V 4.L.C 4.Y.V 4.M.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t̪ o l u m a	22	t̪ o l u m a
1113	Nubri	AUBERGINE	pɛnta	Eggplant:	p ɛ n t a	1 7 4 1 7	AXMBZ	PENTA	5	5.P.C 5.E.V 5.N.c 5.T.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	p ɛ n t a	21	p - ɛ n t a
1366	Sherpa	AUBERGINE	bənta	Eggplant:	b ə n t a	1 7 4 1 7	AXMBZ	PENTA	6	6.P.C 6.E.V 6.N.c 6.T.C 6.A.V	2.0 1.5 1.1 1.75 0.8	0	b ə n t a	21	b - ə n t a
1610	Tsum	AUBERGINE	bənda	Eggplant:	b ə n d a	1 7 4 1 7	AXMBZ	PENTA	7	7.P.C 7.E.V 7.N.c 7.T.C 7.A.V	2.0 1.5 1.1 1.75 0.8	0	b ə n d a	21	b - ə n d a
1874	Yolmo	AUBERGINE	bãⁿda	Eggplant:	b ãⁿ d a	1 7 1 7	AXBZ	PATA	8	8.P.C 8.A.V 8.T.C 8.A.V	2.0 1.5 1.75 0.8	0	b ãⁿ d a	21	b - ãⁿ - d a
#
41	Gyalsumdo	AXE	t̪aɹi	Axe:High	t̪ a ɹ i	1 7 5 7	AXBZ	TARI	1	1.T.C 1.A.V 1.R.C 1.I.V	2.0 1.5 1.75 0.8	0	t̪ a ɹ i	23	t̪ a ɹ i
304	Jirel	AXE	t̪əɹi	Axe:High	t̪ ə ɹ i	1 7 5 7	AXBZ	TERI	2	2.T.C 2.E.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	0	t̪ ə ɹ i	23	t̪ ə ɹ i
564	Kagate	AXE	t̪əri	Axe:High	t̪ ə r i	1 7 5 7	AXBZ	TERI	3	3.T.C 3.E.V 3.R.C 3.I.V	2.0 1.5 1.75 0.8	0	t̪ ə r i	23	t̪ ə r i
818	Lowa	AXE	t̪iɾi	Axe:High	t̪ i ɾ i	1 7 5 7	AXBZ	TIRI	4	4.T.C 4.I.V 4.R.C 4.I.V	2.0 1.5 1.75 0.8	0	t̪ i ɾ i	23	t̪ i ɾ i
1075	Nubri	AXE	t̪aɹi	Axe:High	t̪ a ɹ i	1 7 5 7	AXBZ	TARI	5	5.T.C 5.A.V 5.R.C 5.I.V	2.0 1.5 1.75 0.8	0	t̪ a ɹ i	23	t̪ a ɹ i
1327	Sherpa	AXE	t̪əɹi	Axe:Mid-Low	t̪ ə ɹ i	1 7 5 7	AXBZ	TERI	6	6.T.C 6.E.V 6.R.C 6.I.V	2.0 1.5 1.75 0.8	0	t̪ ə ɹ i	23	t̪ ə ɹ i
1572	Tsum	AXE	t̪aɾi	Axe:Mid-Rise	t̪ a ɾ i	1 7 5 7	AXBZ	TARI	7	7.T.C 7.A.V 7.R.C 7.I.V	2.0 1.5 1.75 0.8	0	t̪ a ɾ i	23	t̪ a ɾ i
1835	Yolmo	AXE	t̪aɾi	Axe:High	t̪ a ɾ i	1 7 5 7	AXBZ	TARI	8	8.T.C 8.A.V 8.R.C 8.I.V	2.0 1.5 1.75 0.8	0	t̪ a ɾ i	23	t̪ a ɾ i
#
145	Gyalsumdo	BAD	majabu	Bad:	m a j a b u	4 7 6 7 1 7	AXBYBZ	MAJAPY	1	1.M.C 1.A.V 1.J.C 1.A.V 1.P.C 1.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	m a j a b u	24	- m a j a - b u
404	Jirel	BAD	meleba	Bad:	m e l e b a	4 7 5 7 1 7	AXBYBZ	MELEPA	2	2.M.C 2.E.V 2.L.C 2.E.V 2.P.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	m e l e b a	24	- m e l e - b a
663	Kagate	BAD	majiba	Bad:	m a j i b a	4 7 6 7 1 7	AXBYBZ	MAJIPA	3	3.M.C 3.A.V 3.J.C 3.I.V 3.P.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	m a j i b a	24	- m a j i - b a
664	Kagate	BAD	marikpa	Bad:	m a r i k p a	4 7 5 7 1 1 7	AXBYMBZ	MARIKPA	3	3.M.C 3.A.V 3.R.C 3.I.V 3.K.c 3.P.C 3.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	m a r i k p a	24	- m a r i k p a
919	Lowa	BAD	a	Bad:Mid	a	7	X	A	4	4.A.V	1.5	0	a	26	a
920	Lowa	BAD	ŋempa	Bad:(Low-)Rise	ŋ e m p a	4 7 4 1 7	AXMBZ	NEMPA	4	4.N.C 4.E.V 4.M.c 4.P.C 4.A.V	2.0 1.5 1.1 1.75 0.8	0	ŋ e m p a	25	ŋ e m p a
1171	Nubri	BAD	ɦawɛ	Bad:(Low-)Rise	ɦ a w ɛ	3 7 6 7	AXBZ	HAWE	5	5.H.C 5.A.V 5.W.C 5.E.V	2.0 1.5 1.75 0.8	0	ɦ a w ɛ	27	ɦ a w ɛ
1425	Sherpa	BAD	melokpa	Bad:	m e l o k p a	4 7 5 7 1 1 7	AXBYMBZ	MELUKPA	6	6.M.C 6.E.V 6.L.C 6.U.V 6.K.c 6.P.C 6.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	m e l o k p a	24	- m e l o k p a
1668	Tsum	BAD	nepo	Bad:Mid-Rise	n e p o	4 7 1 7	AXBZ	NEPU	7	7.N.C 7.E.V 7.P.C 7.U.V	2.0 1.5 1.75 0.8	0	n e p o	25	n e - p o
1932	Yolmo	BAD	tsokpa	Bad:High	t s o k p a	1 3 7 1 1 7	ACXMBZ	TSUKPA	8	8.T.C 8.S.C 8.U.V 8.K.c 8.P.C 8.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	t s o k p a	24	t s o - - k p a
#
76	Gyalsumdo	BANANA	keɹa	Banana:Mid	k e ɹ a	1 7 5 7	AXBZ	KERA	1	1.K.C 1.E.V 1.R.C 1.A.V	2.0 1.5 1.75 0.8	0	k e ɹ a	28	k e ɹ a
338	Jirel	BANANA	ɹeŋaɕiŋ	Banana:	ɹ e ŋ a ɕ i ŋ	5 7 4 7 3 7 4	AXBYBYN	RENASIN	2	2.R.C 2.E.V 2.N.C 2.A.V 2.S.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	ɹ e ŋ a ɕ i ŋ	30	ɹ e ŋ a ɕ i ŋ
597	Kagate	BANANA	alamu	Banana:	a l a m u	7 5 7 4 7	XBYBZ	ALAMY	3	3.A.V 3.L.C 3.A.V 3.M.C 3.Y.V	1.5 1.75 1.3 1.75 0.8	0	a l a m u	29	a l a m u
853	Lowa	BANANA	keɾa	Banana:High	k e ɾ a	1 7 5 7	AXBZ	KERA	4	4.K.C 4.E.V 4.R.C 4.A.V	2.0 1.5 1.75 0.8	0	k e ɾ a	28	k e ɾ a
1108	Nubri	BANANA	kela	Banana:Mid	k e l a	1 7 5 7	AXBZ	KELA	5	5.K.C 5.E.V 5.L.C 5.A.V	2.0 1.5 1.75 0.8	0	k e l a	28	k e l a
1361	Sherpa	BANANA	kera	Banana:	k e r a	1 7 5 7	AXBZ	KERA	6	6.K.C 6.E.V 6.R.C 6.A.V	2.0 1.5 1.75 0.8	0	k e r a	28	k e r a
1605	Tsum	BANANA	keɾa	Banana:	k e ɾ a	1 7 5 7	AXBZ	KERA	7	7.K.C 7.E.V 7.R.C 7.A.V	2.0 1.5 1.75 0.8	0	k e ɾ a	28	k e ɾ a
1869	Yolmo	BANANA	keɾa	Banana:	k e ɾ a	1 7 5 7	AXBZ	KERA	8	8.K.C 8.E.V 8.R.C 8.A.V	2.0 1.5 1.75 0.8	0	k e ɾ a	28	k e ɾ a
#
78	Gyalsumdo	BARLEY	tsəu	Barley:High	t s əu	1 3 7	ACX	TSE	1	1.T.C 1.S.C 1.E.V	2.0 1.5 1.5	0	t s əu	31	- t s əu
340	Jirel	BARLEY	ndzəu	Barley:Mid	n d z əu	4 1 3 7	ACCZ	NTSE	2	2.N.C 2.T.C 2.S.C 2.E.V	2.0 1.5 1.5 0.8	0	n d z əu	31	n d z əu
599	Kagate	BARLEY	wa	Barley:High	w a	6 7	AX	WA	3	3.W.C 3.A.V	2.0 1.5	0	w a	33	w a
855	Lowa	BARLEY	ne	Barley:(Low-)Rise	n e	4 7	AX	NE	4	4.N.C 4.E.V	2.0 1.5	0	n e	32	n e
1110	Nubri	BARLEY	n̪e:	Barley:(Low-)Rise	n̪ e:	4 7	AX	NE	5	5.N.C 5.E.V	2.0 1.5	0	n̪ e:	32	n̪ e:
1363	Sherpa	BARLEY	dzəu	Barley:	d z əu	1 3 7	ACX	TSE	6	6.T.C 6.S.C 6.E.V	2.0 1.5 1.5	0	d z əu	31	- d z əu
1607	Tsum	BARLEY	tsau	Barley:	t s au	1 3 7	ACX	TSA	7	7.T.C 7.S.C 7.A.V	2.0 1.5 1.5	0	t s au	31	- t s au
1871	Yolmo	BARLEY	dzəu	Barley:	d z əu	1 3 7	ACX	TSE	8	8.T.C 8.S.C 8.E.V	2.0 1.5 1.5	0	d z əu	31	- d z əu
#
202	Gyalsumdo	BE HUNGRY	t̪oɡɛ	To be hungry:High	t̪ o ɡ ɛ	1 7 1 7	AXBZ	TUKE	1	1.T.C 1.U.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	t̪ o ɡ ɛ	35	- t̪ o ɡ - ɛ
462	Jirel	BE HUNGRY	t̪oaba	To be hungry:High	t̪ oa b a	1 7 1 7	AXBZ	TUPA	2	2.T.C 2.U.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	t̪ oa b a	34	t̪ oa b - - a - - - - -
463	Jirel	BE HUNGRY	t̪oabalabat̪e	To be hungry:High	t̪ oa b a l a b a t̪ e	1 7 1 7 5 7 1 7 1 7	AXBYBYBYBZ	TUPALAPATE	2	2.T.C 2.U.V 2.P.C 2.A.V 2.L.C 2.A.V 2.P.C 2.A.V 2.T.C 2.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	0	t̪ oa b a l a b a t̪ e	34	t̪ oa b a l a b a t̪ - e
718	Kagate	BE HUNGRY	d̪opat̪odze	To be hungry:	d̪ o p a t̪ o d z e	1 7 1 7 1 7 1 3 7	AXBYBYBCZ	TUPATUTSE	3	3.T.C 3.U.V 3.P.C 3.A.V 3.T.C 3.U.V 3.T.C 3.S.C 3.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 1.5 0.8	0	d̪ o p a t̪ o d z e	34	d̪ o p - - a t̪ o d z e
979	Lowa	BE HUNGRY	nd̪okje	To be hungry:	n d̪ o k j e	4 1 7 1 6 7	ACYBCZ	NTUKJE	4	4.N.C 4.T.C 4.U.V 4.K.C 4.J.C 4.E.V	2.0 1.5 1.3 1.75 1.5 0.8	0	n d̪ o k j e	35	n d̪ o k j e
1226	Nubri	BE HUNGRY	topat̪ɔ	To be hungry:	t o p a t̪ ɔ	1 7 1 7 1 7	AXBYBZ	TUPATU	5	5.T.C 5.U.V 5.P.C 5.A.V 5.T.C 5.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t o p a t̪ ɔ	34	t o p - - a t̪ ɔ - - -
1478	Sherpa	BE HUNGRY	hləwalaŋgu	To be hungry:	h l ə w a l a ŋ g u	3 5 7 6 7 5 7 4 1 7	ACXBYBYMBZ	HLEWALANKY	6	6.H.C 6.L.C 6.E.V 6.W.C 6.A.V 6.L.C 6.A.V 6.N.c 6.K.C 6.Y.V	2.0 1.5 1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	0	h l ə w a l a ŋ g u	36	h l ə w a l a ŋ g u
1722	Tsum	BE HUNGRY	t̪oso	To be hungry:High-Fall	t̪ o s o	1 7 3 7	AXBZ	TUSU	7	7.T.C 7.U.V 7.S.C 7.U.V	2.0 1.5 1.75 0.8	0	t̪ o s o	35	- t̪ o - s o
1987	Yolmo	BE HUNGRY	tepat̪od̪e	To be hungry:Low-Rise	t e p a t̪ o d̪ e	1 7 1 7 1 7 1 7	AXBYBYBZ	TEPATUTE	8	8.T.C 8.E.V 8.P.C 8.A.V 8.T.C 8.U.V 8.T.C 8.E.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	t e p a t̪ o d̪ e	34	t e p - - a t̪ o d̪ - e
#
247	Gyalsumdo	BEAM	kuŋkju	Beam (main wooden beam):Low-Rise	k u ŋ k j u	1 7 4 1 6 7	AXMBCZ	KYNKJY	1	1.K.C 1.Y.V 1.N.c 1.K.C 1.J.C 1.Y.V	2.0 1.5 1.1 1.75 1.5 0.8	0	k u ŋ k j u	40	k u ŋ k j u
509	Jirel	BEAM	d̪əlin	Beam (main wooden beam):	d̪ ə l i n	1 7 5 7 4	AXBYN	TELIN	2	2.T.C 2.E.V 2.L.C 2.I.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	d̪ ə l i n	39	d̪ ə l i n
759	Kagate	BEAM	maid̪an	Beam (main wooden beam):	m ai d̪ a n	4 7 1 7 4	AXBYN	MATAN	3	3.M.C 3.A.V 3.T.C 3.A.V 3.N.c	2.0 1.5 1.75 1.3 0.8	0	m ai d̪ a n	41	m ai d̪ a n
1019	Lowa	BEAM	t̪uŋma	Beam (main wooden beam):(Mid-)Rise	t̪ u ŋ m a	1 7 4 4 7	AXMBZ	TYNMA	4	4.T.C 4.Y.V 4.N.c 4.M.C 4.A.V	2.0 1.5 1.1 1.75 0.8	0	t̪ u ŋ m a	37	t̪ u ŋ m a
1269	Nubri	BEAM	kuŋɕiŋ	Beam (main wooden beam):	k u ŋ ɕ i ŋ	1 7 4 3 7 4	AXMBYN	KYNSIN	5	5.K.C 5.Y.V 5.N.c 5.S.C 5.I.V 5.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	k u ŋ ɕ i ŋ	38	k u ŋ ɕ i ŋ
1517	Sherpa	BEAM	d̪uŋma	Beam (main wooden beam):Mid-Low	d̪ u ŋ m a	1 7 4 4 7	AXMBZ	TYNMA	6	6.T.C 6.Y.V 6.N.c 6.M.C 6.A.V	2.0 1.5 1.1 1.75 0.8	0	d̪ u ŋ m a	37	d̪ u ŋ m a
1773	Tsum	BEAM	t̪uŋ	Beam (main wooden beam):Mid-Rise	t̪ u ŋ	1 7 4	AXN	TYN	7	7.T.C 7.Y.V 7.N.c	2.0 1.5 0.8	0	t̪ u ŋ	37	t̪ u ŋ - -
2030	Yolmo	BEAM	t̪uŋma	Beam (main wooden beam):Low-Rise	t̪ u ŋ m a	1 7 4 4 7	AXMBZ	TYNMA	8	8.T.C 8.Y.V 8.N.c 8.M.C 8.A.V	2.0 1.5 1.1 1.75 0.8	0	t̪ u ŋ m a	37	t̪ u ŋ m a
#
256	Gyalsumdo	BEAR	t̪om	Bear:Mid	t̪ o m	1 7 4	AXN	TUM	1	1.T.C 1.U.V 1.M.c	2.0 1.5 0.8	0	t̪ o m	42	t̪ o m
518	Jirel	BEAR	t̪om	Bear:Mid	t̪ o m	1 7 4	AXN	TUM	2	2.T.C 2.U.V 2.M.c	2.0 1.5 0.8	0	t̪ o m	42	t̪ o m
