# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SEGMENTS	COGID
770	Kagate	DUNG (ANIMAL FAECES)	tɕʰja	Manure:High	t ɕʰ j a	1 3 6 7	ACCX	TSJA	3	3.T.C 3.S.C 3.J.C 3.A.V	2.0 1.5 1.5 1.5	0	t ɕʰ j a	138
1031	Lowa	DUNG (ANIMAL FAECES)	ly	Manure:Mid	l y	5 7	AX	LY	4	4.L.C 4.Y.V	2.0 1.5	0	l y	137
1280	Nubri	DUNG (ANIMAL FAECES)	ly	Manure:(Low-)Rise	l y	5 7	AX	LY	5	5.L.C 5.Y.V	2.0 1.5	0	l y	137
1527	Sherpa	DUNG (ANIMAL FAECES)	tɕʰja	Manure:Low	t ɕʰ j a	1 3 6 7	ACCX	TSJA	6	6.T.C 6.S.C 6.J.C 6.A.V	2.0 1.5 1.5 1.5	0	t ɕʰ j a	138
1785	Tsum	DUNG (ANIMAL FAECES)	lyʔ	Manure:Low-Rise	l y ʔ	5 7 1	AXN	LYH	7	7.L.C 7.Y.V 7.H.c	2.0 1.5 0.8	0	l y ʔ	137
2041	Yolmo	DUNG (ANIMAL FAECES)	li	Manure:Low-Rise	l i	5 7	AX	LI	8	8.L.C 8.I.V	2.0 1.5	0	l i	137
#
66	Gyalsumdo	DUST	t̪ʰala	Dust:Mid	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	1	1.T.C 1.A.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	139
329	Jirel	DUST	d̪ulo	Dust:	d̪ u l o	1 7 5 7	AXBZ	TYLU	2	2.T.C 2.Y.V 2.L.C 2.U.V	2.0 1.5 1.75 0.8	0	d̪ u l o	139
588	Kagate	DUST	t̪ʰaldzuk	Dust:High	t̪ʰ a l d z u k	1 7 5 1 3 7 1	AXMBCYN	TALTSYK	3	3.T.C 3.A.V 3.L.c 3.T.C 3.S.C 3.Y.V 3.K.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	0	t̪ʰ a l d z u k	140
844	Lowa	DUST	t̪ʰala	Dust:Mid	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	4	4.T.C 4.A.V 4.L.C 4.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	139
1099	Nubri	DUST	t̪ʰala	Dust:Mid	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	5	5.T.C 5.A.V 5.L.C 5.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	139
1352	Sherpa	DUST	t̪ʰald̪uk	Dust:	t̪ʰ a l d̪ u k	1 7 5 1 7 1	AXMBYN	TALTYK	6	6.T.C 6.A.V 6.L.c 6.T.C 6.Y.V 6.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	t̪ʰ a l d̪ u k	140
1596	Tsum	DUST	t̪ʰala	Dust:Mid-Rise	t̪ʰ a l a	1 7 5 7	AXBZ	TALA	7	7.T.C 7.A.V 7.L.C 7.A.V	2.0 1.5 1.75 0.8	0	t̪ʰ a l a	139
1860	Yolmo	DUST	t̪ʰalbi	Dust:	t̪ʰ a l b i	1 7 5 1 7	AXMBZ	TALPI	8	8.T.C 8.A.V 8.L.c 8.P.C 8.I.V	2.0 1.5 1.1 1.75 0.8	0	t̪ʰ a l b i	140
#
6	Gyalsumdo	EAR	amtɕo	Ear:Mid	a m t ɕ o	7 4 1 3 7	XMBCZ	AMTSU	1	1.A.V 1.M.c 1.T.C 1.S.C 1.U.V	1.5 1.1 1.75 1.5 0.8	0	a m t ɕ o	141
7	Gyalsumdo	EAR	amdʑo	Ear:Mid	a m d ʑ o	7 4 1 3 7	XMBCZ	AMTSU	1	1.A.V 1.M.c 1.T.C 1.S.C 1.U.V	1.5 1.1 1.75 1.5 0.8	0	a m d ʑ o	141
274	Jirel	EAR	n̪amdʑjok	Ear:Mid-High	n̪ a m d ʑ j o k	4 7 4 1 3 6 7 1	AXMBCCYN	NAMTSJUK	2	2.N.C 2.A.V 2.M.c 2.T.C 2.S.C 2.J.C 2.U.V 2.K.c	2.0 1.5 1.1 1.75 1.5 1.5 1.3 0.8	0	n̪ a m d ʑ j o k	141
534	Kagate	EAR	namdzjo	Ear:Mid	n a m d z j o	4 7 4 1 3 6 7	AXMBCCZ	NAMTSJU	3	3.N.C 3.A.V 3.M.c 3.T.C 3.S.C 3.J.C 3.U.V	2.0 1.5 1.1 1.75 1.5 1.5 0.8	0	n a m d z j o	141
787	Lowa	EAR	amtɕjoʔ	Ear:(Mid-)Rise	a m t ɕ j o ʔ	7 4 1 3 6 7 1	XMBCCYN	AMTSJUH	4	4.A.V 4.M.c 4.T.C 4.S.C 4.J.C 4.U.V 4.H.c	1.5 1.1 1.75 1.5 1.5 1.3 0.8	0	a m t ɕ j o ʔ	141
1046	Nubri	EAR	amtɕjoʔ	Ear:Mid	a m t ɕ j o ʔ	7 4 1 3 6 7 1	XMBCCYN	AMTSJUH	5	5.A.V 5.M.c 5.T.C 5.S.C 5.J.C 5.U.V 5.H.c	1.5 1.1 1.75 1.5 1.5 1.3 0.8	0	a m t ɕ j o ʔ	141
1297	Sherpa	EAR	namdzjok	Ear:Low	n a m d z j o k	4 7 4 1 3 6 7 1	AXMBCCYN	NAMTSJUK	6	6.N.C 6.A.V 6.M.c 6.T.C 6.S.C 6.J.C 6.U.V 6.K.c	2.0 1.5 1.1 1.75 1.5 1.5 1.3 0.8	0	n a m d z j o k	141
1542	Tsum	EAR	amdʑjoʔ	Ear:High	a m d ʑ j o ʔ	7 4 1 3 6 7 1	XMBCCYN	AMTSJUH	7	7.A.V 7.M.c 7.T.C 7.S.C 7.J.C 7.U.V 7.H.c	1.5 1.1 1.75 1.5 1.5 1.3 0.8	0	a m d ʑ j o ʔ	141
1805	Yolmo	EAR	nəmdʑjo	Ear:Mid-High	n ə m d ʑ j o	4 7 4 1 3 6 7	AXMBCCZ	NEMTSJU	8	8.N.C 8.E.V 8.M.c 8.T.C 8.S.C 8.J.C 8.U.V	2.0 1.5 1.1 1.75 1.5 1.5 0.8	0	n ə m d ʑ j o	141
#
199	Gyalsumdo	EAT	se	To eat:Low-Rise	s e	3 7	AX	SE	1	1.S.C 1.E.V	2.0 1.5	0	s e	142
457	Jirel	EAT	so	To eat:	s o	3 7	AX	SU	2	2.S.C 2.U.V	2.0 1.5	0	s o	142
458	Jirel	EAT	soba	To eat:	s o b a	3 7 1 7	AXBZ	SUPA	2	2.S.C 2.U.V 2.P.C 2.A.V	2.0 1.5 1.75 0.8	0	s o b a	142
459	Jirel	EAT	sabla	To eat:	s a b l a	3 7 1 5 7	AXBCZ	SAPLA	2	2.S.C 2.A.V 2.P.C 2.L.C 2.A.V	2.0 1.5 1.75 1.5 0.8	0	s a b l a	143
716	Kagate	EAT	sadze	To eat:Low-Rise	s a d z e	3 7 1 3 7	AXBCZ	SATSE	3	3.S.C 3.A.V 3.T.C 3.S.C 3.E.V	2.0 1.5 1.75 1.5 0.8	0	s a d z e	143
976	Lowa	EAT	saje	To eat:(Low-)Rise	s a j e	3 7 6 7	AXBZ	SAJE	4	4.S.C 4.A.V 4.J.C 4.E.V	2.0 1.5 1.75 0.8	0	s a j e	143
1224	Nubri	EAT	seji	To eat:(Low-)Rise	s e j i	3 7 6 7	AXBZ	SEJI	5	5.S.C 5.E.V 5.J.C 5.I.V	2.0 1.5 1.75 0.8	0	s e j i	143
1476	Sherpa	EAT	sap	To eat:Low-Rise	s a p	3 7 1	AXN	SAP	6	6.S.C 6.A.V 6.P.c	2.0 1.5 0.8	0	s a p	143
1719	Tsum	EAT	so	To eat:Low-Rise	s o	3 7	AX	SU	7	7.S.C 7.U.V	2.0 1.5	0	s o	142
1720	Tsum	EAT	seso	To eat:Low-Rise	s e s o	3 7 3 7	AXBZ	SESU	7	7.S.C 7.E.V 7.S.C 7.U.V	2.0 1.5 1.75 0.8	0	s e s o	143
1985	Yolmo	EAT	so	To eat:Mid	s o	3 7	AX	SU	8	8.S.C 8.U.V	2.0 1.5	0	s o	142
#
97	Gyalsumdo	EGG	koŋa	Egg:Low-Rise	k o ŋ a	1 7 4 7	AXBZ	KUNA	1	1.K.C 1.U.V 1.N.C 1.A.V	2.0 1.5 1.75 0.8	0	k o ŋ a	144
358	Jirel	EGG	tsʰemend̪ok	Egg:	t sʰ e m e n d̪ o k	1 3 7 4 7 4 1 7 1	ACXBYMBYN	TSEMENTUK	2	2.T.C 2.S.C 2.E.V 2.M.C 2.E.V 2.N.c 2.T.C 2.U.V 2.K.c	2.0 1.5 1.5 1.75 1.3 1.1 1.75 1.3 0.8	0	t sʰ e m e n d̪ o k	145
359	Jirel	EGG	tsʰeɡoŋa	Egg:	t sʰ e ɡ o ŋ a	1 3 7 1 7 4 7	ACXBYBZ	TSEKUNA	2	2.T.C 2.S.C 2.E.V 2.K.C 2.U.V 2.N.C 2.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	t sʰ e ɡ o ŋ a	144
617	Kagate	EGG	tɕjamuɡoŋa	Egg:	t ɕ j a m u ɡ o ŋ a	1 3 6 7 4 7 1 7 4 7	ACCXBYBYBZ	TSJAMYKUNA	3	3.T.C 3.S.C 3.J.C 3.A.V 3.M.C 3.Y.V 3.K.C 3.U.V 3.N.C 3.A.V	2.0 1.5 1.5 1.5 1.75 1.3 1.75 1.3 1.75 0.8	0	t ɕ j a m u ɡ o ŋ a	144
874	Lowa	EGG	koŋa	Egg:(Low-)Rise	k o ŋ a	1 7 4 7	AXBZ	KUNA	4	4.K.C 4.U.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	0	k o ŋ a	144
1128	Nubri	EGG	koõ	Egg:(Low-)Rise	k oõ	1 7	AX	KU	5	5.K.C 5.U.V	2.0 1.5	0	k oõ	144
1381	Sherpa	EGG	tɕʰeɡoŋa	Egg:	t ɕʰ e ɡ o ŋ a	1 3 7 1 7 4 7	ACXBYBZ	TSEKUNA	6	6.T.C 6.S.C 6.E.V 6.K.C 6.U.V 6.N.C 6.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	t ɕʰ e ɡ o ŋ a	144
1625	Tsum	EGG	koã	Egg:Low-Rise	k oã	1 7	AX	KU	7	7.K.C 7.U.V	2.0 1.5	0	k oã	144
1889	Yolmo	EGG	koŋa	Egg:Low-Rise	k o ŋ a	1 7 4 7	AXBZ	KUNA	8	8.K.C 8.U.V 8.N.C 8.A.V	2.0 1.5 1.75 0.8	0	k o ŋ a	144
#
173	Gyalsumdo	EIGHT	ke	Eight:Low-Rise	k e	1 7	AX	KE	1	1.K.C 1.E.V	2.0 1.5	0	k e	146
433	Jirel	EIGHT	ŋɡet̪	Eight:Low-Rise	ŋ ɡ e t̪	4 1 7 1	ACYN	NKET	2	2.N.C 2.K.C 2.E.V 2.T.c	2.0 1.5 1.3 0.8	0	ŋ ɡ e t̪	146
691	Kagate	EIGHT	ke	Eight:Rise	k e	1 7	AX	KE	3	3.K.C 3.E.V	2.0 1.5	0	k e	146
948	Lowa	EIGHT	ke	Eight:Mid	k e	1 7	AX	KE	4	4.K.C 4.E.V	2.0 1.5	0	k e	146
1198	Nubri	EIGHT	ke	Eight:(Mid-)Low	k e	1 7	AX	KE	5	5.K.C 5.E.V	2.0 1.5	0	k e	146
1199	Nubri	EIGHT	kxe	Eight:(Mid-)Low	k x e	1 3 7	ACX	KGE	5	5.K.C 5.G.C 5.E.V	2.0 1.5 1.5	0	k x e	146
1452	Sherpa	EIGHT	ɡeʔ	Eight:Low-Rise	ɡ e ʔ	1 7 1	AXN	KEH	6	6.K.C 6.E.V 6.H.c	2.0 1.5 0.8	0	ɡ e ʔ	146
1695	Tsum	EIGHT	keʔ	Eight:Low-Rise	k e ʔ	1 7 1	AXN	KEH	7	7.K.C 7.E.V 7.H.c	2.0 1.5 0.8	0	k e ʔ	146
1959	Yolmo	EIGHT	ke	Eight:Mid-High	k e	1 7	AX	KE	8	8.K.C 8.E.V	2.0 1.5	0	k e	146
#
16	Gyalsumdo	ELBOW	temaɲuŋ	Elbow:	t e m a ɲ u ŋ	1 7 4 7 4 7 4	AXBYBYN	TEMANYN	1	1.T.C 1.E.V 1.M.C 1.A.V 1.N.C 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	t e m a ɲ u ŋ	153
282	Jirel	ELBOW	kuin̪a	Elbow:	k ui n̪ a	1 7 4 7	AXBZ	KYNA	2	2.K.C 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	0	k ui n̪ a	152
543	Kagate	ELBOW	uti	Elbow:High	u t i	7 1 7	XBZ	YTI	3	3.Y.V 3.T.C 3.I.V	1.5 1.75 0.8	0	u t i	151
795	Lowa	ELBOW	tamo	Elbow:(Low-)Rise	t a m o	1 7 4 7	AXBZ	TAMU	4	4.T.C 4.A.V 4.M.C 4.U.V	2.0 1.5 1.75 0.8	0	t a m o	150
1054	Nubri	ELBOW	tsʰikt̪oʔ	Elbow:Mid(-High)	t sʰ i k t̪ o ʔ	1 3 7 1 1 7 1	ACXMBYN	TSIKTUH	5	5.T.C 5.S.C 5.I.V 5.K.c 5.T.C 5.U.V 5.H.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	t sʰ i k t̪ o ʔ	148
1305	Sherpa	ELBOW	laɡpatsʰi	Elbow:	l a ɡ p a t sʰ i	5 7 1 1 7 1 3 7	AXMBYBCZ	LAKPATSI	6	6.L.C 6.A.V 6.K.c 6.P.C 6.A.V 6.T.C 6.S.C 6.I.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	0	l a ɡ p a t sʰ i	147
1550	Tsum	ELBOW	tɹejoʔ	Elbow:Mid-Rise	t ɹ e j o ʔ	1 5 7 6 7 1	ACXBYN	TREJUH	7	7.T.C 7.R.C 7.E.V 7.J.C 7.U.V 7.H.c	2.0 1.5 1.5 1.75 1.3 0.8	0	t ɹ e j o ʔ	149
1814	Yolmo	ELBOW	laɡpatsi	Elbow:	l a ɡ p a t s i	5 7 1 1 7 1 3 7	AXMBYBCZ	LAKPATSI	8	8.L.C 8.A.V 8.K.c 8.P.C 8.A.V 8.T.C 8.S.C 8.I.V	2.0 1.5 1.1 1.75 1.3 1.75 1.5 0.8	0	l a ɡ p a t s i	147
#
176	Gyalsumdo	ELEVEN	tɕuktɕik	Eleven:	t ɕ u k t ɕ i k	1 3 7 1 1 3 7 1	ACXMBCYN	TSYKTSIK	1	1.T.C 1.S.C 1.Y.V 1.K.c 1.T.C 1.S.C 1.I.V 1.K.c	2.0 1.5 1.5 1.1 1.75 1.5 1.3 0.8	0	t ɕ u k t ɕ i k	154
436	Jirel	ELEVEN	tɕutɕik	Eleven:	t ɕ u t ɕ i k	1 3 7 1 3 7 1	ACXBCYN	TSYTSIK	2	2.T.C 2.S.C 2.Y.V 2.T.C 2.S.C 2.I.V 2.K.c	2.0 1.5 1.5 1.75 1.5 1.3 0.8	0	t ɕ u t ɕ i k	154
694	Kagate	ELEVEN	tɕjudʑik	Eleven:	t ɕ j u d ʑ i k	1 3 6 7 1 3 7 1	ACCXBCYN	TSJYTSIK	3	3.T.C 3.S.C 3.J.C 3.Y.V 3.T.C 3.S.C 3.I.V 3.K.c	2.0 1.5 1.5 1.5 1.75 1.5 1.3 0.8	0	t ɕ j u d ʑ i k	154
951	Lowa	ELEVEN	tɕuɡtɕik	Eleven:	t ɕ u ɡ t ɕ i k	1 3 7 1 1 3 7 1	ACXMBCYN	TSYKTSIK	4	4.T.C 4.S.C 4.Y.V 4.K.c 4.T.C 4.S.C 4.I.V 4.K.c	2.0 1.5 1.5 1.1 1.75 1.5 1.3 0.8	0	t ɕ u ɡ t ɕ i k	154
1202	Nubri	ELEVEN	tɕjudʑik	Eleven:	t ɕ j u d ʑ i k	1 3 6 7 1 3 7 1	ACCXBCYN	TSJYTSIK	5	5.T.C 5.S.C 5.J.C 5.Y.V 5.T.C 5.S.C 5.I.V 5.K.c	2.0 1.5 1.5 1.5 1.75 1.5 1.3 0.8	0	t ɕ j u d ʑ i k	154
1455	Sherpa	ELEVEN	tɕjudzik	Eleven:	t ɕ j u d z i k	1 3 6 7 1 3 7 1	ACCXBCYN	TSJYTSIK	6	6.T.C 6.S.C 6.J.C 6.Y.V 6.T.C 6.S.C 6.I.V 6.K.c	2.0 1.5 1.5 1.5 1.75 1.5 1.3 0.8	0	t ɕ j u d z i k	154
1698	Tsum	ELEVEN	tɕutɕi	Eleven:	t ɕ u t ɕ i	1 3 7 1 3 7	ACXBCZ	TSYTSI	7	7.T.C 7.S.C 7.Y.V 7.T.C 7.S.C 7.I.V	2.0 1.5 1.5 1.75 1.5 0.8	0	t ɕ u t ɕ i	154
1962	Yolmo	ELEVEN	tɕjuʑi	Eleven:	t ɕ j u ʑ i	1 3 6 7 3 7	ACCXBZ	TSJYSI	8	8.T.C 8.S.C 8.J.C 8.Y.V 8.S.C 8.I.V	2.0 1.5 1.5 1.5 1.75 0.8	0	t ɕ j u ʑ i	154
#
134	Gyalsumdo	EVENING	kɔŋmo	Evening:Low-Rise	k ɔ ŋ m o	1 7 4 4 7	AXMBZ	KUNMU	1	1.K.C 1.U.V 1.N.c 1.M.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	k ɔ ŋ m o	155
394	Jirel	EVENING	ŋɡwase	Evening:	ŋ ɡ w a s e	4 1 6 7 3 7	ACCYBZ	NKWASE	2	2.N.C 2.K.C 2.W.C 2.A.V 2.S.C 2.E.V	2.0 1.5 1.5 1.3 1.75 0.8	1	ŋ ɡ w a s e	157
653	Kagate	EVENING	kuŋɕe	Evening:	k u ŋ ɕ e	1 7 4 3 7	AXMBZ	KYNSE	3	3.K.C 3.Y.V 3.N.c 3.S.C 3.E.V	2.0 1.5 1.1 1.75 0.8	0	k u ŋ ɕ e	156
908	Lowa	EVENING	komo	Evening:(Low-)Rise	k o m o	1 7 4 7	AXBZ	KUMU	4	4.K.C 4.U.V 4.M.C 4.U.V	2.0 1.5 1.75 0.8	0	k o m o	155
1161	Nubri	EVENING	koŋmo	Evening:(Low-)Rise	k o ŋ m o	1 7 4 4 7	AXMBZ	KUNMU	5	5.K.C 5.U.V 5.N.c 5.M.C 5.U.V	2.0 1.5 1.1 1.75 0.8	1	k o ŋ m o	155
1415	Sherpa	EVENING	ɡuŋse	Evening:Low-Rise	ɡ u ŋ s e	1 7 4 3 7	AXMBZ	KYNSE	6	6.K.C 6.Y.V 6.N.c 6.S.C 6.E.V	2.0 1.5 1.1 1.75 0.8	0	ɡ u ŋ s e	156
1658	Tsum	EVENING	kuŋmu	Evening:Low-Rise	k u ŋ m u	1 7 4 4 7	AXMBZ	KYNMY	7	7.K.C 7.Y.V 7.N.c 7.M.C 7.Y.V	2.0 1.5 1.1 1.75 0.8	0	k u ŋ m u	155
1922	Yolmo	EVENING	kuŋse	Evening:Mid-Rise	k u ŋ s e	1 7 4 3 7	AXMBZ	KYNSE	8	8.K.C 8.Y.V 8.N.c 8.S.C 8.E.V	2.0 1.5 1.1 1.75 0.8	0	k u ŋ s e	156
#
5	Gyalsumdo	EYE	mi	Eye:High-Fall	m i	4 7	AX	MI	1	1.M.C 1.I.V	2.0 1.5	1	m i	158
273	Jirel	EYE	mik	Eye:High	m i k	4 7 1	AXN	MIK	2	2.M.C 2.I.V 2.K.c	2.0 1.5 0.8	0	m i k	158
533	Kagate	EYE	mi	Eye:High	m i	4 7	AX	MI	3	3.M.C 3.I.V	2.0 1.5	1	m i	158
786	Lowa	EYE	mik	Eye:(Mid-)Fall	m i k	4 7 1	AXN	MIK	4	4.M.C 4.I.V 4.K.c	2.0 1.5 0.8	0	m i k	158
1045	Nubri	EYE	mik	Eye:Mid	m i k	4 7 1	AXN	MIK	5	5.M.C 5.I.V 5.K.c	2.0 1.5 0.8	0	m i k	158
1296	Sherpa	EYE	mik	Eye:Mid	m i k	4 7 1	AXN	MIK	6	6.M.C 6.I.V 6.K.c	2.0 1.5 0.8	0	m i k	158
1541	Tsum	EYE	miʔ	Eye:High	m i ʔ	4 7 1	AXN	MIH	7	7.M.C 7.I.V 7.H.c	2.0 1.5 0.8	0	m i ʔ	158
1804	Yolmo	EYE	mi	Eye:High	m i	4 7	AX	MI	8	8.M.C 8.I.V	2.0 1.5	1	m i	158
#
4	Gyalsumdo	FACE	ŋot̪oŋ	Face:Low-Rise	ŋ o t̪ o ŋ	4 7 1 7 4	AXBYN	NUTUN	1	1.N.C 1.U.V 1.T.C 1.U.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	ŋ o t̪ o ŋ	159
272	Jirel	FACE	tɕʰet̪	Face:Mid	t ɕʰ e t̪	1 3 7 1	ACXN	TSET	2	2.T.C 2.S.C 2.E.V 2.T.c	2.0 1.5 1.5 0.8	0	t ɕʰ e t̪	160
532	Kagate	FACE	t̪oŋba	Face:Mid	t̪ o ŋ b a	1 7 4 1 7	AXMBZ	TUNPA	3	3.T.C 3.U.V 3.N.c 3.P.C 3.A.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ b a	159
785	Lowa	FACE	ŋot̪oŋ	Face:Fall-Rise	ŋ o t̪ o ŋ	4 7 1 7 4	AXBYN	NUTUN	4	4.N.C 4.U.V 4.T.C 4.U.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	ŋ o t̪ o ŋ	159
1044	Nubri	FACE	tɕuŋu	Face:(Low-)Rise	t ɕ u ŋ u	1 3 7 4 7	ACXBZ	TSYNY	5	5.T.C 5.S.C 5.Y.V 5.N.C 5.Y.V	2.0 1.5 1.5 1.75 0.8	0	t ɕ u ŋ u	161
1295	Sherpa	FACE	ŋot̪oŋ	Face:Low-Rise	ŋ o t̪ o ŋ	4 7 1 7 4	AXBYN	NUTUN	6	6.N.C 6.U.V 6.T.C 6.U.V 6.N.c	2.0 1.5 1.75 1.3 0.8	0	ŋ o t̪ o ŋ	159
1540	Tsum	FACE	tɕeʔ	Face:(High-)Rise	t ɕ e ʔ	1 3 7 1	ACXN	TSEH	7	7.T.C 7.S.C 7.E.V 7.H.c	2.0 1.5 1.5 0.8	0	t ɕ e ʔ	160
1803	Yolmo	FACE	t̪oŋba	Face:Low-Rise	t̪ o ŋ b a	1 7 4 1 7	AXMBZ	TUNPA	8	8.T.C 8.U.V 8.N.c 8.P.C 8.A.V	2.0 1.5 1.1 1.75 0.8	0	t̪ o ŋ b a	159
#
28	Gyalsumdo	FAECES (EXCREMENT)	kjaɡpa	Faeces:Mid	k j a ɡ p a	1 6 7 1 1 7	ACXMBZ	KJAKPA	1	1.K.C 1.J.C 1.A.V 1.K.c 1.P.C 1.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	k j a ɡ p a	162
292	Jirel	FAECES (EXCREMENT)	kjakpa	Faeces:High	k j a k p a	1 6 7 1 1 7	ACXMBZ	KJAKPA	2	2.K.C 2.J.C 2.A.V 2.K.c 2.P.C 2.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	k j a k p a	162
553	Kagate	FAECES (EXCREMENT)	kjakpa	Faeces:High	k j a k p a	1 6 7 1 1 7	ACXMBZ	KJAKPA	3	3.K.C 3.J.C 3.A.V 3.K.c 3.P.C 3.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	k j a k p a	162
806	Lowa	FAECES (EXCREMENT)	kjakpa	Faeces:(Mid-)High	k j a k p a	1 6 7 1 1 7	ACXMBZ	KJAKPA	4	4.K.C 4.J.C 4.A.V 4.K.c 4.P.C 4.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	k j a k p a	162
807	Lowa	FAECES (EXCREMENT)	tsa	Faeces:High-Fall	t s a	1 3 7	ACX	TSA	4	4.T.C 4.S.C 4.A.V	2.0 1.5 1.5	0	t s a	164
1064	Nubri	FAECES (EXCREMENT)	aʔ	Faeces:High	a ʔ	7 1	XN	AH	5	5.A.V 5.H.c	1.5 0.8	0	a ʔ	163
1315	Sherpa	FAECES (EXCREMENT)	kjakpa	Faeces:Low-Rise	k j a k p a	1 6 7 1 1 7	ACXMBZ	KJAKPA	6	6.K.C 6.J.C 6.A.V 6.K.c 6.P.C 6.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	k j a k p a	162
1560	Tsum	FAECES (EXCREMENT)	aʔ	Faeces:High	a ʔ	7 1	XN	AH	7	7.A.V 7.H.c	1.5 0.8	0	a ʔ	163
1824	Yolmo	FAECES (EXCREMENT)	kjakpa	Faeces:High-Fall	k j a k p a	1 6 7 1 1 7	ACXMBZ	KJAKPA	8	8.K.C 8.J.C 8.A.V 8.K.c 8.P.C 8.A.V	2.0 1.5 1.5 1.1 1.75 0.8	0	k j a k p a	162
#
155	Gyalsumdo	FAR	t̪ʰaɹiŋbu	Far:	t̪ʰ a ɹ i ŋ b u	1 7 5 7 4 1 7	AXBYMBZ	TARINPY	1	1.T.C 1.A.V 1.R.C 1.I.V 1.N.c 1.P.C 1.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	t̪ʰ a ɹ i ŋ b u	165
414	Jirel	FAR	t̪ʰaɹid̪u	Far:	t̪ʰ a ɹ i d̪ u	1 7 5 7 1 7	AXBYBZ	TARITY	2	2.T.C 2.A.V 2.R.C 2.I.V 2.T.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t̪ʰ a ɹ i d̪ u	165
415	Jirel	FAR	t̪ʰaɹipa	Far:	t̪ʰ a ɹ i p a	1 7 5 7 1 7	AXBYBZ	TARIPA	2	2.T.C 2.A.V 2.R.C 2.I.V 2.P.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	t̪ʰ a ɹ i p a	165
674	Kagate	FAR	t̪ʰariŋbu	Far:	t̪ʰ a r i ŋ b u	1 7 5 7 4 1 7	AXBYMBZ	TARINPY	3	3.T.C 3.A.V 3.R.C 3.I.V 3.N.c 3.P.C 3.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	t̪ʰ a r i ŋ b u	165
930	Lowa	FAR	t̪ʰaɡɾiŋa	Far:	t̪ʰ a ɡ ɾ i ŋ a	1 7 1 5 7 4 7	AXBCYBZ	TAKRINA	4	4.T.C 4.A.V 4.K.C 4.R.C 4.I.V 4.N.C 4.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	t̪ʰ a ɡ ɾ i ŋ a	165
1181	Nubri	FAR	t̪ʰaɹiŋpo	Far:	t̪ʰ a ɹ i ŋ p o	1 7 5 7 4 1 7	AXBYMBZ	TARINPU	5	5.T.C 5.A.V 5.R.C 5.I.V 5.N.c 5.P.C 5.U.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	t̪ʰ a ɹ i ŋ p o	165
1435	Sherpa	FAR	t̪ʰakriŋbu	Far:	t̪ʰ a k r i ŋ b u	1 7 1 5 7 4 1 7	AXBCYMBZ	TAKRINPY	6	6.T.C 6.A.V 6.K.C 6.R.C 6.I.V 6.N.c 6.P.C 6.Y.V	2.0 1.5 1.75 1.5 1.3 1.1 1.75 0.8	0	t̪ʰ a k r i ŋ b u	165
1678	Tsum	FAR	t̪ʰaɹiŋmu	Far:	t̪ʰ a ɹ i ŋ m u	1 7 5 7 4 4 7	AXBYMBZ	TARINMY	7	7.T.C 7.A.V 7.R.C 7.I.V 7.N.c 7.M.C 7.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0	t̪ʰ a ɹ i ŋ m u	165
