S. N.	Tsum Transcription	Gloss in English	Gloss in Nepali	Possible Tone 
201	[t̪ø]/[t̪eso]	To look	हेर्नु	High-Fall
202	[ŋa]	I	म	Low-Rise
203	[kʰjøʔ]	You (informal)	तँ	High
204	[kʰeɹaŋ]	You (formal)	तपाइँ	High
205	[kʰo]	He	उ	High-Fall
206	[mo]	She	उनी	(Low-)Rise
207	[ɲoɹoŋ]/[ɲoɹoŋkja]	We (inclusive)	हामी (समावेशी)	
208		We (exclusive)	हामी (असमावेशी)	
209	[kʰeɹaŋkja]	You (plural)	तिमीहरु	
210	[kʰuŋkja]	They	उनीहरु	
211	[kʰuɹu]	Load	भारी	High
212	[pʰe]/[tsampa]	Flour (eaten as food)	पिठो	High-Fall/High
213	[seɹa]/[tɕʰjaɹwa]	Hailstone	असिना	High
214	[kjuã]	Intestine	आन्द्रा	Low-Rise
215	[ild̪oʔ]	Yard	आँगन	Mid-Rise
216	[waʔ]/[waso]	To uproot	उखेल्नु	High
217	[t̪ʰap]	Oven	चुल्हो	High
218	[t̪iŋba]	Heel	कुर्कुच्चो	High
219	[t̪otse]	Spade	कोदालो	(Mid-)Rise
220	[t̪a]	Horse	घोडा	High-Fall
221	[kʰuɹu]	Load	भारी	
222	[t̪ʰoŋtsu]/[t̪ʰoŋtsuso]	To plough	जोत्नु	High
223	[kamɡja]	Bond	तमसुक	Low-Rise
224	[t̪uŋ]	Beam (main wooden beam)	निदाल	Mid-Rise
225	[mit̪aʔ]	Rope used to tie animals	दाम्लो	
226	[kja]	Bread	दाह्री	Mid-Rise
227	[t̪op]/[t̪ʰit̪aŋso]	To measure	नाप्नु	
228	[ndɹap]	Plank	फल्याक	Low-Rise
229	[mijuŋ]	Hole	प्वाल	High
230	[t̪ʰoŋ]	Plough (noun)	हलो	High
231	[kʰaʑøʔ]	Lid (cover)	बिर्को	Low-Rise
232	[joa]	Handle	बिँड	Low-Rise
233	[t̪om]	Bear	भालु	Low-Rise
234	[hlande]	Ghost	भुत	Mid-Rise
235	[lyʔ]	Manure	मल	Low-Rise
236	[pakut]	Bread	रोटी	Low-Rise
237	[ɹo]/[pʰuŋbo]	Corpse	लास	Low-Rise/High
238	[pʰaʔ]	Pig	सुँगुर	High
239	[lod̪oʔ]/[t̪ond̪o]	Grains	अन्न	Low-Rise/Mid-Rise
240	[perka]	Stick	लठ्ठी	Low-Rise
241	[ŋulʑju]/[ŋulnaʔ]	Sweat	पसिना	High
242	[tɹoʔ]	To chew	चपाउनु	
243	[ɲiʔ]/[ɲitsoŋ]	To swallow	निल्नु	(Low-)Rise
244	[kjut]/[kjuɾtsoŋ]	To throw	फ्याँक्नु	
